table_i,table_j,Sim_T
ORDERS.28,ORDERS.29,0.673045
ORDERS.20,ORDERS.23,0.67303
CUST_HIST,ORDERS.14,0.673021
ORDERS.29,prod_df.25,0.672988
ORDERS.25,ORDERS.31,0.67293
orders_df.20,prod_df.25,0.672891
PRODUCTS.25,orders_df.29,0.67285
ORDERS.20,prod_df.25,0.672755
ORDERS.29,PRODUCTS.25,0.672728
PRODUCTS.25,orders_df.20,0.672627
ORDERS.20,PRODUCTS.25,0.672499
orders_df.23,orders_df.25,0.670678
ORDERS.23,orders_df.25,0.670522
ORDERS.25,orders_df.23,0.670519
ORDERS.23,ORDERS.25,0.670369
orders_df.25,prod_df.25,0.67025
ORDERS.25,prod_df.25,0.670092
PRODUCTS.25,orders_df.25,0.669988
ORDERS.25,PRODUCTS.25,0.66984
custhist_df,orders_df.20,0.668132
orders_df,orders_df.20,0.6681
ORDERLINES,orders_df.20,0.668095
orderlines_df,orders_df.20,0.668025
ORDERS,orders_df.20,0.668012
ORDERS.20,custhist_df,0.667991
ORDERS.20,orders_df,0.66796
ORDERLINES,ORDERS.20,0.667955
ORDERS.20,orderlines_df,0.667887
ORDERS,ORDERS.20,0.667874
CUST_HIST,orders_df.20,0.667697
CUST_HIST,ORDERS.20,0.667569
INVENTORY,ORDERLINES,0.6637
INVENTORY,orderlines_df,0.663686
ORDERLINES,inv_df,0.663511
inv_df,orderlines_df,0.663497
orders_df.31,orders_df.313,0.662044
ORDERS.313,orders_df.31,0.66196
ORDERS.31,orders_df.313,0.661876
ORDERS.31,ORDERS.313,0.661795
INVENTORY,orders_df,0.658779
INVENTORY,ORDERS,0.658718
inv_df,orders_df,0.658583
ORDERS,inv_df,0.658525
ORDERLINES.1,ORDERS.10,0.65757
ORDERLINES.1,orders_df.10,0.657365
orderlines_df.1,orders_df.10,0.657177
ORDERS.10,orderlines_df.1,0.656991
CUSTOMER,inv_df,0.65146
CUSTOMER,INVENTORY,0.651435
INVENTORY,cust_df,0.651383
cust_df,inv_df,0.65126
