table_i,table_j,n_cols_i,n_cols_j,n_cross_pairs,n_matches,raw_sim,M_max,CR,Sim_T,norm_changed
ORDERS.25,orders_df.25,0,0,1,1,0.954465,1,1.0,0.954465,False
PRODUCTS.25,prod_df.25,0,0,1,1,0.954438,1,1.0,0.954438,False
ORDERS.123,orders_df.123,0,0,1,1,0.954432,1,1.0,0.954432,False
ORDERS.350,orders_df.350,0,0,1,1,0.954374,1,1.0,0.954374,False
CUSTOMER.1,ORDERLINES.1,0,0,2,1,0.916928,1,1.0,0.916928,False
CUSTOMER.1,orderlines_df.1,0,0,2,1,0.916491,1,1.0,0.916491,False
ORDERLINES.1,cust_df.1,0,0,2,1,0.915789,1,1.0,0.915789,False
cust_df.1,orderlines_df.1,0,0,2,1,0.915425,1,1.0,0.915425,False
ORDERLINES,orderlines_df,40,40,1444,38,0.954738,40,0.95,0.907001,True
CUSTOMER,cust_df,36,36,1089,33,0.957433,36,0.916667,0.877647,True
PRODUCTS,prod_df,7,7,36,6,0.956217,7,0.857143,0.819614,True
ORDERLINES,custhist_df,40,36,1368,36,0.769069,36,1.0,0.769069,False
CUST_HIST,ORDERLINES,36,40,1368,36,0.768918,36,1.0,0.768918,False
custhist_df,orderlines_df,36,40,1368,36,0.768864,36,1.0,0.768864,False
CUST_HIST,orderlines_df,36,40,1368,36,0.768644,36,1.0,0.768644,False
ORDERS,custhist_df,72,36,1296,36,0.764126,36,1.0,0.764126,False
CUST_HIST,ORDERS,36,72,1296,36,0.763887,36,1.0,0.763887,False
custhist_df,orders_df,36,72,1296,36,0.762371,36,1.0,0.762371,False
CUST_HIST,orders_df,36,72,1296,36,0.762127,36,1.0,0.762127,False
ORDERLINES,orders_df,40,72,1368,36,0.806648,40,0.9,0.725983,True
ORDERLINES,ORDERS,40,72,1368,36,0.806591,40,0.9,0.725932,True
orderlines_df,orders_df,40,72,1368,36,0.80642,40,0.9,0.725778,True
ORDERS,orderlines_df,72,40,1368,36,0.806337,40,0.9,0.725704,True
orders_df.28,orders_df.289,0,0,1,1,0.721258,1,1.0,0.721258,False
ORDERS.28,orders_df.289,0,0,1,1,0.721148,1,1.0,0.721148,False
orders_df.379,orders_df.384,0,0,1,1,0.721143,1,1.0,0.721143,False
ORDERS.289,orders_df.28,0,0,1,1,0.721134,1,1.0,0.721134,False
ORDERS.28,ORDERS.289,0,0,1,1,0.721112,1,1.0,0.721112,False
ORDERS.379,orders_df.384,0,0,1,1,0.721035,1,1.0,0.721035,False
ORDERS.384,orders_df.379,0,0,1,1,0.720989,1,1.0,0.720989,False
ORDERS.379,ORDERS.384,0,0,1,1,0.720957,1,1.0,0.720957,False
orders_df.102,orders_df.2,0,0,1,1,0.720689,1,1.0,0.720689,False
orders_df.134,orders_df.184,0,0,1,1,0.720606,1,1.0,0.720606,False
ORDERS.102,orders_df.2,0,0,1,1,0.720592,1,1.0,0.720592,False
ORDERS.184,orders_df.134,0,0,1,1,0.720551,1,1.0,0.720551,False
orders_df.10,orders_df.170,0,0,1,1,0.720523,1,1.0,0.720523,False
ORDERS.2,orders_df.102,0,0,1,1,0.720515,1,1.0,0.720515,False
orders_df.10,orders_df.102,0,0,1,1,0.720486,1,1.0,0.720486,False
ORDERS.170,orders_df.10,0,0,1,1,0.720423,1,1.0,0.720423,False
ORDERS.102,ORDERS.2,0,0,1,1,0.720421,1,1.0,0.720421,False
ORDERS.134,orders_df.184,0,0,1,1,0.720416,1,1.0,0.720416,False
ORDERS.102,orders_df.10,0,0,1,1,0.720392,1,1.0,0.720392,False
ORDERS.134,ORDERS.184,0,0,1,1,0.720364,1,1.0,0.720364,False
ORDERS.10,orders_df.170,0,0,1,1,0.720349,1,1.0,0.720349,False
ORDERS.10,orders_df.102,0,0,1,1,0.720308,1,1.0,0.720308,False
ORDERS.10,ORDERS.170,0,0,1,1,0.720252,1,1.0,0.720252,False
ORDERS.10,ORDERS.102,0,0,1,1,0.720217,1,1.0,0.720217,False
orders_df.102,orders_df.170,0,0,1,1,0.719582,1,1.0,0.719582,False
ORDERS.102,orders_df.170,0,0,1,1,0.719489,1,1.0,0.719489,False
ORDERS.170,orders_df.102,0,0,1,1,0.719481,1,1.0,0.719481,False
ORDERS.102,ORDERS.170,0,0,1,1,0.71939,1,1.0,0.71939,False
orders_df.313,orders_df.416,0,0,2,1,0.716688,1,1.0,0.716688,False
ORDERS.313,orders_df.416,0,0,2,1,0.716643,1,1.0,0.716643,False
ORDERS.416,orders_df.313,0,0,2,1,0.716603,1,1.0,0.716603,False
ORDERS.313,ORDERS.416,0,0,2,1,0.716558,1,1.0,0.716558,False
INVENTORY,custhist_df,3,36,108,3,0.680512,3,1.0,0.680512,False
custhist_df,inv_df,36,3,108,3,0.680307,3,1.0,0.680307,False
CUST_HIST,INVENTORY,36,3,108,3,0.680133,3,1.0,0.680133,False
CUST_HIST,inv_df,36,3,108,3,0.680004,3,1.0,0.680004,False
orders_df.28,prod_df.25,0,0,1,1,0.674662,1,1.0,0.674662,False
ORDERS.28,prod_df.25,0,0,1,1,0.674555,1,1.0,0.674555,False
PRODUCTS.25,orders_df.28,0,0,1,1,0.674395,1,1.0,0.674395,False
orders_df.23,prod_df.25,0,0,1,1,0.674335,1,1.0,0.674335,False
ORDERS.28,PRODUCTS.25,0,0,1,1,0.674294,1,1.0,0.674294,False
ORDERS.23,prod_df.25,0,0,1,1,0.674178,1,1.0,0.674178,False
orders_df.67,prod_df.25,0,0,1,1,0.674082,1,1.0,0.674082,False
PRODUCTS.25,orders_df.23,0,0,1,1,0.67407,1,1.0,0.67407,False
orders_df.34,orders_df.8,0,0,2,1,0.674037,1,1.0,0.674037,False
ORDERS.8,orders_df.34,0,0,2,1,0.674017,1,1.0,0.674017,False
ORDERS.34,orders_df.8,0,0,2,1,0.673947,1,1.0,0.673947,False
orders_df,orders_df.14,72,0,36,1,0.673941,1,1.0,0.673941,False
ORDERS.67,prod_df.25,0,0,1,1,0.67394,1,1.0,0.67394,False
ORDERS.34,ORDERS.8,0,0,2,1,0.673928,1,1.0,0.673928,False
ORDERS.23,PRODUCTS.25,0,0,1,1,0.673922,1,1.0,0.673922,False
PRODUCTS.25,orders_df.67,0,0,1,1,0.673816,1,1.0,0.673816,False
ORDERS,orders_df.14,72,0,36,1,0.673758,1,1.0,0.673758,False
ORDERS.14,orders_df,0,72,36,1,0.673748,1,1.0,0.673748,False
orders_df.2,orders_df.29,0,0,1,1,0.673695,1,1.0,0.673695,False
ORDERS.67,PRODUCTS.25,0,0,1,1,0.673681,1,1.0,0.673681,False
custhist_df,orders_df.14,36,0,36,1,0.673586,1,1.0,0.673586,False
ORDERS,ORDERS.14,72,0,36,1,0.673575,1,1.0,0.673575,False
ORDERS.29,orders_df.2,0,0,1,1,0.673562,1,1.0,0.673562,False
ORDERS.2,orders_df.29,0,0,1,1,0.673522,1,1.0,0.673522,False
ORDERS.0,ORDERS.20,0,0,1,1,0.673455,1,1.0,0.673455,False
orders_df.0,orders_df.20,0,0,1,1,0.673432,1,1.0,0.673432,False
ORDERS.0,orders_df.20,0,0,1,1,0.673405,1,1.0,0.673405,False
ORDERS.2,ORDERS.29,0,0,1,1,0.673394,1,1.0,0.673394,False
ORDERS.14,custhist_df,0,36,36,1,0.673386,1,1.0,0.673386,False
orders_df.20,orders_df.23,0,0,1,1,0.67332,1,1.0,0.67332,False
ORDERS.20,orders_df.0,0,0,1,1,0.673297,1,1.0,0.673297,False
orders_df.28,orders_df.29,0,0,1,1,0.673281,1,1.0,0.673281,False
orders_df.25,orders_df.31,0,0,2,1,0.673225,1,1.0,0.673225,False
CUST_HIST,orders_df.14,36,0,36,1,0.673206,1,1.0,0.673206,False
ORDERS.20,orders_df.23,0,0,1,1,0.673183,1,1.0,0.673183,False
ORDERS.28,orders_df.29,0,0,1,1,0.673173,1,1.0,0.673173,False
ORDERS.23,orders_df.20,0,0,1,1,0.673162,1,1.0,0.673162,False
ORDERS.29,orders_df.28,0,0,1,1,0.67315,1,1.0,0.67315,False
orders_df.29,prod_df.25,0,0,1,1,0.673117,1,1.0,0.673117,False
ORDERS.31,orders_df.25,0,0,2,1,0.673087,1,1.0,0.673087,False
ORDERS.25,orders_df.31,0,0,2,1,0.673064,1,1.0,0.673064,False
ORDERS.28,ORDERS.29,0,0,1,1,0.673045,1,1.0,0.673045,False
ORDERS.20,ORDERS.23,0,0,1,1,0.67303,1,1.0,0.67303,False
CUST_HIST,ORDERS.14,36,0,36,1,0.673021,1,1.0,0.673021,False
ORDERS.29,prod_df.25,0,0,1,1,0.672988,1,1.0,0.672988,False
ORDERS.25,ORDERS.31,0,0,2,1,0.67293,1,1.0,0.67293,False
orders_df.20,prod_df.25,0,0,1,1,0.672891,1,1.0,0.672891,False
PRODUCTS.25,orders_df.29,0,0,1,1,0.67285,1,1.0,0.67285,False
ORDERS.20,prod_df.25,0,0,1,1,0.672755,1,1.0,0.672755,False
ORDERS.29,PRODUCTS.25,0,0,1,1,0.672728,1,1.0,0.672728,False
PRODUCTS.25,orders_df.20,0,0,1,1,0.672627,1,1.0,0.672627,False
ORDERS.20,PRODUCTS.25,0,0,1,1,0.672499,1,1.0,0.672499,False
orders_df.23,orders_df.25,0,0,1,1,0.670678,1,1.0,0.670678,False
ORDERS.23,orders_df.25,0,0,1,1,0.670522,1,1.0,0.670522,False
ORDERS.25,orders_df.23,0,0,1,1,0.670519,1,1.0,0.670519,False
ORDERS.23,ORDERS.25,0,0,1,1,0.670369,1,1.0,0.670369,False
orders_df.25,prod_df.25,0,0,1,1,0.67025,1,1.0,0.67025,False
ORDERS.25,prod_df.25,0,0,1,1,0.670092,1,1.0,0.670092,False
PRODUCTS.25,orders_df.25,0,0,1,1,0.669988,1,1.0,0.669988,False
ORDERS.25,PRODUCTS.25,0,0,1,1,0.66984,1,1.0,0.66984,False
custhist_df,orders_df.20,36,0,36,1,0.668132,1,1.0,0.668132,False
orders_df,orders_df.20,72,0,36,1,0.6681,1,1.0,0.6681,False
ORDERLINES,orders_df.20,40,0,38,1,0.668095,1,1.0,0.668095,False
orderlines_df,orders_df.20,40,0,38,1,0.668025,1,1.0,0.668025,False
ORDERS,orders_df.20,72,0,36,1,0.668012,1,1.0,0.668012,False
ORDERS.20,custhist_df,0,36,36,1,0.667991,1,1.0,0.667991,False
ORDERS.20,orders_df,0,72,36,1,0.66796,1,1.0,0.66796,False
ORDERLINES,ORDERS.20,40,0,38,1,0.667955,1,1.0,0.667955,False
ORDERS.20,orderlines_df,0,40,38,1,0.667887,1,1.0,0.667887,False
ORDERS,ORDERS.20,72,0,36,1,0.667874,1,1.0,0.667874,False
CUST_HIST,orders_df.20,36,0,36,1,0.667697,1,1.0,0.667697,False
CUST_HIST,ORDERS.20,36,0,36,1,0.667569,1,1.0,0.667569,False
INVENTORY,ORDERLINES,3,40,114,3,0.6637,3,1.0,0.6637,False
INVENTORY,orderlines_df,3,40,114,3,0.663686,3,1.0,0.663686,False
ORDERLINES,inv_df,40,3,114,3,0.663511,3,1.0,0.663511,False
inv_df,orderlines_df,3,40,114,3,0.663497,3,1.0,0.663497,False
orders_df.31,orders_df.313,0,0,4,2,0.662044,2,1.0,0.662044,False
ORDERS.313,orders_df.31,0,0,4,2,0.66196,2,1.0,0.66196,False
ORDERS.31,orders_df.313,0,0,4,2,0.661876,2,1.0,0.661876,False
ORDERS.31,ORDERS.313,0,0,4,2,0.661795,2,1.0,0.661795,False
INVENTORY,orders_df,3,72,108,3,0.658779,3,1.0,0.658779,False
INVENTORY,ORDERS,3,72,108,3,0.658718,3,1.0,0.658718,False
inv_df,orders_df,3,72,108,3,0.658583,3,1.0,0.658583,False
ORDERS,inv_df,72,3,108,3,0.658525,3,1.0,0.658525,False
ORDERLINES.1,ORDERS.10,0,0,2,1,0.65757,1,1.0,0.65757,False
ORDERLINES.1,orders_df.10,0,0,2,1,0.657365,1,1.0,0.657365,False
orderlines_df.1,orders_df.10,0,0,2,1,0.657177,1,1.0,0.657177,False
ORDERS.10,orderlines_df.1,0,0,2,1,0.656991,1,1.0,0.656991,False
CUSTOMER,inv_df,36,3,99,3,0.65146,3,1.0,0.65146,False
CUSTOMER,INVENTORY,36,3,99,3,0.651435,3,1.0,0.651435,False
INVENTORY,cust_df,3,36,99,3,0.651383,3,1.0,0.651383,False
cust_df,inv_df,36,3,99,3,0.65126,3,1.0,0.65126,False
INVENTORY,prod_df,3,7,18,3,0.624671,3,1.0,0.624671,False
inv_df,prod_df,3,7,18,3,0.624452,3,1.0,0.624452,False
INVENTORY,PRODUCTS,3,7,18,3,0.624294,3,1.0,0.624294,False
PRODUCTS,inv_df,7,3,18,3,0.624108,3,1.0,0.624108,False
INVENTORY,orders_df.123,3,0,3,1,0.604902,1,1.0,0.604902,False
orders_df.31,orders_df.384,0,0,2,1,0.60489,1,1.0,0.60489,False
orders_df.14,orders_df.184,0,0,1,1,0.604849,1,1.0,0.604849,False
ORDERS.244,orders_df.20,0,0,1,1,0.604812,1,1.0,0.604812,False
ORDERS.184,orders_df.14,0,0,1,1,0.604793,1,1.0,0.604793,False
ORDERS.244,orders_df.264,0,0,1,1,0.604791,1,1.0,0.604791,False
orders_df.20,orders_df.244,0,0,1,1,0.604789,1,1.0,0.604789,False
orders_df.244,orders_df.264,0,0,1,1,0.604767,1,1.0,0.604767,False
orders_df.362,orders_df.392,0,0,1,1,0.604765,1,1.0,0.604765,False
ORDERLINES.1,orders_df.111,0,0,2,1,0.604764,1,1.0,0.604764,False
orders_df.10,orders_df.134,0,0,1,1,0.604762,1,1.0,0.604762,False
INVENTORY,ORDERS.123,3,0,3,1,0.604745,1,1.0,0.604745,False
inv_df,orders_df.123,3,0,3,1,0.604741,1,1.0,0.604741,False
ORDERS.384,orders_df.31,0,0,2,1,0.604736,1,1.0,0.604736,False
orders_df.134,orders_df.34,0,0,1,1,0.604736,1,1.0,0.604736,False
ORDERS.244,orders_df.392,0,0,1,1,0.604717,1,1.0,0.604717,False
orders_df.244,orders_df.392,0,0,1,1,0.604693,1,1.0,0.604693,False
ORDERS.31,orders_df.384,0,0,2,1,0.604691,1,1.0,0.604691,False
ORDERS.20,ORDERS.244,0,0,1,1,0.604674,1,1.0,0.604674,False
ORDERS.14,orders_df.184,0,0,1,1,0.60466,1,1.0,0.60466,False
ORDERS.20,orders_df.244,0,0,1,1,0.604651,1,1.0,0.604651,False
ORDERS.34,orders_df.134,0,0,1,1,0.604649,1,1.0,0.604649,False
ORDERS.244,ORDERS.264,0,0,1,1,0.604645,1,1.0,0.604645,False
ORDERS.392,orders_df.362,0,0,1,1,0.604643,1,1.0,0.604643,False
ORDERS.362,orders_df.392,0,0,1,1,0.604639,1,1.0,0.604639,False
ORDERS.264,orders_df.244,0,0,1,1,0.604623,1,1.0,0.604623,False
ORDERLINES.1,orders_df.134,0,0,2,1,0.604623,1,1.0,0.604623,False
orders_df.0,orders_df.2,0,0,1,1,0.604618,1,1.0,0.604618,False
ORDERS.14,ORDERS.184,0,0,1,1,0.604607,1,1.0,0.604607,False
ORDERLINES.1,ORDERS.111,0,0,2,1,0.604607,1,1.0,0.604607,False
ORDERS.244,ORDERS.392,0,0,1,1,0.604592,1,1.0,0.604592,False
ORDERS.0,orders_df.2,0,0,1,1,0.604591,1,1.0,0.604591,False
ORDERS.123,inv_df,0,3,3,1,0.604589,1,1.0,0.604589,False
ORDERS.10,orders_df.134,0,0,1,1,0.604586,1,1.0,0.604586,False
orders_df.102,orders_df.392,0,0,1,1,0.604574,1,1.0,0.604574,False
ORDERS.134,orders_df.10,0,0,1,1,0.604574,1,1.0,0.604574,False
ORDERS.392,orders_df.244,0,0,1,1,0.604568,1,1.0,0.604568,False
ORDERS.289,ORDERS.379,0,0,1,1,0.604564,1,1.0,0.604564,False
orders_df.289,orders_df.379,0,0,1,1,0.604551,1,1.0,0.604551,False
ORDERS.134,orders_df.34,0,0,1,1,0.604546,1,1.0,0.604546,False
ORDERS.31,ORDERS.384,0,0,2,1,0.604543,1,1.0,0.604543,False
ORDERS.0,ORDERS.2,0,0,1,1,0.604538,1,1.0,0.604538,False
orders_df.28,orders_df.384,0,0,1,1,0.60452,1,1.0,0.60452,False
ORDERS.362,ORDERS.392,0,0,1,1,0.60452,1,1.0,0.60452,False
orders_df.313,orders_df.379,0,0,2,1,0.604503,1,1.0,0.604503,False
ORDERS.102,orders_df.392,0,0,1,1,0.604478,1,1.0,0.604478,False
orderlines_df.1,orders_df.111,0,0,2,1,0.604471,1,1.0,0.604471,False
ORDERS.134,ORDERS.34,0,0,1,1,0.604463,1,1.0,0.604463,False
ORDERS.392,orders_df.102,0,0,1,1,0.604449,1,1.0,0.604449,False
ORDERS.2,orders_df.0,0,0,1,1,0.604448,1,1.0,0.604448,False
ORDERS.379,orders_df.289,0,0,1,1,0.604443,1,1.0,0.604443,False
ORDERS.289,orders_df.379,0,0,1,1,0.604428,1,1.0,0.604428,False
ORDERLINES.1,ORDERS.134,0,0,2,1,0.604417,1,1.0,0.604417,False
ORDERS.28,orders_df.384,0,0,1,1,0.604409,1,1.0,0.604409,False
ORDERS.10,ORDERS.134,0,0,1,1,0.604405,1,1.0,0.604405,False
ORDERS.379,orders_df.313,0,0,2,1,0.604397,1,1.0,0.604397,False
ORDERS.313,orders_df.379,0,0,2,1,0.604382,1,1.0,0.604382,False
ORDERS.384,orders_df.28,0,0,1,1,0.604365,1,1.0,0.604365,False
orders_df.31,orders_df.379,0,0,2,1,0.604361,1,1.0,0.604361,False
ORDERS.102,ORDERS.392,0,0,1,1,0.604356,1,1.0,0.604356,False
orderlines_df.1,orders_df.134,0,0,2,1,0.604327,1,1.0,0.604327,False
ORDERS.111,orderlines_df.1,0,0,2,1,0.604323,1,1.0,0.604323,False
ORDERS.313,ORDERS.379,0,0,2,1,0.604312,1,1.0,0.604312,False
orders_df.289,orders_df.384,0,0,1,1,0.604286,1,1.0,0.604286,False
ORDERS.28,ORDERS.384,0,0,1,1,0.604258,1,1.0,0.604258,False
ORDERS.379,orders_df.31,0,0,2,1,0.604255,1,1.0,0.604255,False
orders_df.313,orders_df.384,0,0,2,1,0.604237,1,1.0,0.604237,False
orders_df.14,orders_df.339,0,0,1,1,0.604203,1,1.0,0.604203,False
ORDERS.31,orders_df.379,0,0,2,1,0.604167,1,1.0,0.604167,False
ORDERS.289,orders_df.384,0,0,1,1,0.60416,1,1.0,0.60416,False
ORDERS.289,ORDERS.384,0,0,1,1,0.604158,1,1.0,0.604158,False
ORDERS.134,orderlines_df.1,0,0,2,1,0.604133,1,1.0,0.604133,False
ORDERS.384,orders_df.289,0,0,1,1,0.604129,1,1.0,0.604129,False
ORDERS.313,orders_df.384,0,0,2,1,0.604113,1,1.0,0.604113,False
orders_df,orders_df.416,72,0,36,1,0.6041,1,1.0,0.6041,False
ORDERS.384,orders_df.313,0,0,2,1,0.604082,1,1.0,0.604082,False
ORDERS.31,ORDERS.379,0,0,2,1,0.604066,1,1.0,0.604066,False
ORDERS.339,orders_df.14,0,0,1,1,0.604047,1,1.0,0.604047,False
ORDERS.14,orders_df.339,0,0,1,1,0.604015,1,1.0,0.604015,False
ORDERS.416,orders_df,0,72,36,1,0.604011,1,1.0,0.604011,False
orders_df.350,orders_df.5,0,0,1,1,0.60398,1,1.0,0.60398,False
orders_df.134,orders_df.14,0,0,1,1,0.603978,1,1.0,0.603978,False
ORDERS.313,ORDERS.384,0,0,2,1,0.603961,1,1.0,0.603961,False
orders_df.0,orders_df.170,0,0,1,1,0.603932,1,1.0,0.603932,False
ORDERS.244,orders_df.2,0,0,1,1,0.603925,1,1.0,0.603925,False
orders_df.170,orders_df.2,0,0,1,1,0.603916,1,1.0,0.603916,False
ORDERS.0,orders_df.170,0,0,1,1,0.603906,1,1.0,0.603906,False
orders_df.2,orders_df.244,0,0,1,1,0.603901,1,1.0,0.603901,False
ORDERS,orders_df.416,72,0,36,1,0.603898,1,1.0,0.603898,False
orders_df.350,orders_df.73,0,0,1,1,0.603872,1,1.0,0.603872,False
orders_df.123,orders_df.14,0,0,1,1,0.60387,1,1.0,0.60387,False
ORDERS.14,ORDERS.339,0,0,1,1,0.603865,1,1.0,0.603865,False
ORDERS,ORDERS.416,72,0,36,1,0.603857,1,1.0,0.603857,False
ORDERS.0,ORDERS.170,0,0,1,1,0.603838,1,1.0,0.603838,False
ORDERS.170,orders_df.0,0,0,1,1,0.603833,1,1.0,0.603833,False
ORDERS.350,orders_df.5,0,0,1,1,0.603821,1,1.0,0.603821,False
ORDERS.170,orders_df.2,0,0,1,1,0.603813,1,1.0,0.603813,False
ORDERS.5,orders_df.350,0,0,1,1,0.603813,1,1.0,0.603813,False
ORDERLINES.1,orders_df.184,0,0,2,1,0.603796,1,1.0,0.603796,False
ORDERS.73,orders_df.350,0,0,1,1,0.60379,1,1.0,0.60379,False
ORDERS.14,orders_df.134,0,0,1,1,0.60379,1,1.0,0.60379,False
ORDERS.134,orders_df.14,0,0,1,1,0.603787,1,1.0,0.603787,False
ORDERS.2,ORDERS.244,0,0,1,1,0.60375,1,1.0,0.60375,False
ORDERS.2,orders_df.170,0,0,1,1,0.603745,1,1.0,0.603745,False
ORDERS.123,orders_df.14,0,0,1,1,0.60374,1,1.0,0.60374,False
orders_df.2,orders_df.392,0,0,1,1,0.603739,1,1.0,0.603739,False
ORDERLINES.1,ORDERS.184,0,0,2,1,0.603736,1,1.0,0.603736,False
ORDERS.2,orders_df.244,0,0,1,1,0.603727,1,1.0,0.603727,False
ORDERS.350,orders_df.73,0,0,1,1,0.603715,1,1.0,0.603715,False
ORDERS.14,orders_df.123,0,0,1,1,0.603686,1,1.0,0.603686,False
ORDERS.350,ORDERS.5,0,0,1,1,0.603659,1,1.0,0.603659,False
ORDERS.170,ORDERS.2,0,0,1,1,0.603646,1,1.0,0.603646,False
orders_df.289,orders_df.29,0,0,1,1,0.603637,1,1.0,0.603637,False
ORDERS.350,ORDERS.73,0,0,1,1,0.603636,1,1.0,0.603636,False
orders_df.0,orders_df.102,0,0,1,1,0.603618,1,1.0,0.603618,False
ORDERS.392,orders_df.2,0,0,1,1,0.603612,1,1.0,0.603612,False
ORDERS.134,ORDERS.14,0,0,1,1,0.603606,1,1.0,0.603606,False
ORDERS.0,orders_df.102,0,0,1,1,0.603591,1,1.0,0.603591,False
orders_df.339,orders_df.9,0,0,1,1,0.603579,1,1.0,0.603579,False
ORDERS.0,ORDERS.102,0,0,1,1,0.603578,1,1.0,0.603578,False
ORDERS.2,orders_df.392,0,0,1,1,0.603564,1,1.0,0.603564,False
ORDERS.123,ORDERS.14,0,0,1,1,0.603561,1,1.0,0.603561,False
ORDERS.102,orders_df.0,0,0,1,1,0.603525,1,1.0,0.603525,False
ORDERS.244,orders_df.0,0,0,1,1,0.60352,1,1.0,0.60352,False
ORDERS.289,orders_df.29,0,0,1,1,0.603513,1,1.0,0.603513,False
ORDERS.29,orders_df.289,0,0,1,1,0.603505,1,1.0,0.603505,False
orderlines_df.1,orders_df.184,0,0,2,1,0.603499,1,1.0,0.603499,False
ORDERS.244,orders_df.289,0,0,1,1,0.603498,1,1.0,0.603498,False
orders_df.0,orders_df.244,0,0,1,1,0.603497,1,1.0,0.603497,False
ORDERS.0,ORDERS.244,0,0,1,1,0.603493,1,1.0,0.603493,False
orders_df.244,orders_df.289,0,0,1,1,0.603474,1,1.0,0.603474,False
ORDERS.0,orders_df.244,0,0,1,1,0.60347,1,1.0,0.60347,False
ORDERS.184,orderlines_df.1,0,0,2,1,0.603443,1,1.0,0.603443,False
ORDERS.2,ORDERS.392,0,0,1,1,0.603442,1,1.0,0.603442,False
ORDERS.289,ORDERS.29,0,0,1,1,0.603439,1,1.0,0.603439,False
ORDERS.339,orders_df.9,0,0,1,1,0.60342,1,1.0,0.60342,False
ORDERS.244,orders_df.23,0,0,1,1,0.603406,1,1.0,0.603406,False
ORDERS.9,orders_df.339,0,0,1,1,0.60339,1,1.0,0.60339,False
orders_df.123,orders_df.29,0,0,1,1,0.603389,1,1.0,0.603389,False
ORDERS.0,ORDERS.392,0,0,1,1,0.603382,1,1.0,0.603382,False
orders_df.23,orders_df.244,0,0,1,1,0.603382,1,1.0,0.603382,False
ORDERS.244,ORDERS.289,0,0,1,1,0.603373,1,1.0,0.603373,False
ORDERS.289,orders_df.244,0,0,1,1,0.603349,1,1.0,0.603349,False
orders_df.0,orders_df.392,0,0,1,1,0.603334,1,1.0,0.603334,False
custhist_df,orders_df.9,36,0,36,1,0.603318,1,1.0,0.603318,False
ORDERS.0,orders_df.392,0,0,1,1,0.603307,1,1.0,0.603307,False
