,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
cust_df.44,0.218737,0.228082,0.091150,0.076576,0.086941,0.111602,0.083873,0.177055,0.208512,0.374824,0.233516,0.118731,0.203906,0.265947,0.066295,0.129863,0.228495,0.196146,0.302352,0.121986,0.139826,0.151322,0.208256,0.102364,0.089827,0.238517,0.064522,0.093920,0.216173,0.197786,0.239514,0.086050,0.036465,0.128676,0.044663,0.072427,0.048900,0.070928,0.226981
cust_df.80000,0.255276,0.272094,0.052318,0.051693,0.076383,0.106571,0.157637,0.149621,0.196637,0.379298,0.221386,0.106372,0.238964,0.359766,0.143422,0.130725,0.234942,0.146978,0.314668,0.098874,0.144523,0.173044,0.179704,0.063551,0.066915,0.219975,0.084424,0.096355,0.234421,0.199325,0.249900,0.078735,0.007305,0.103623,0.060455,0.077211,0.064869,0.111879,0.191147
cust_df.F,0.297532,0.277746,0.056888,0.079237,0.113046,0.110371,0.136508,0.185766,0.183768,0.399684,0.209264,0.142146,0.216316,0.326170,0.145324,0.170612,0.256090,0.170579,0.283004,0.140638,0.166192,0.233861,0.172728,0.056879,0.089992,0.276904,0.074774,0.106187,0.224118,0.223277,0.287172,0.097345,0.052183,0.116305,0.042407,0.085653,0.030158,0.078329,0.214661
cust_df.1,0.217130,0.223224,0.091427,0.073368,0.082187,0.102959,0.083256,0.172996,0.207977,0.380499,0.228314,0.115693,0.202687,0.264585,0.067026,0.131130,0.226642,0.191192,0.300029,0.123748,0.137803,0.154077,0.208925,0.098257,0.077863,0.240156,0.058884,0.091944,0.211657,0.195394,0.241280,0.084600,0.041097,0.126030,0.049645,0.072744,0.057469,0.067445,0.238171
cust_df.RNPOJG,0.306362,0.292782,0.089091,0.123991,0.114628,0.115612,0.090419,0.183353,0.214657,0.353625,0.221095,0.151073,0.138719,0.336568,0.116863,0.175754,0.253314,0.155697,0.265729,0.165127,0.189287,0.249101,0.181938,0.037704,0.085602,0.303370,0.069523,0.119376,0.223837,0.219436,0.273543,0.131213,0.081247,0.124722,0.096878,0.117931,0.046222,0.096476,0.250657
cust_df.FQIVBKWIZC,0.320708,0.294065,0.066406,0.098911,0.109917,0.099558,0.086016,0.168441,0.208496,0.379922,0.219722,0.130051,0.125005,0.340897,0.096729,0.152082,0.248640,0.131890,0.239129,0.120161,0.165128,0.242316,0.159941,0.013283,0.067509,0.279901,0.052243,0.099788,0.209559,0.190452,0.256209,0.113841,0.047842,0.115959,0.058689,0.087002,0.012202,0.092542,0.259279
cust_df.1287944454 Dell Way,0.217253,0.241714,0.097873,0.121861,0.132503,0.107453,0.044178,0.166467,0.170986,0.346499,0.177323,0.144064,0.092786,0.282624,0.066629,0.173115,0.292622,0.133997,0.237876,0.131099,0.159350,0.197587,0.151129,0.019873,0.061635,0.288896,0.044763,0.097232,0.266740,0.160520,0.216050,0.102753,0.116490,0.086556,0.083163,0.083068,0.044633,0.064715,0.198327
cust_df.XCXNWIS,0.297786,0.277799,0.047095,0.087420,0.090010,0.079707,0.064868,0.168294,0.178080,0.342415,0.191833,0.112648,0.110088,0.310026,0.075741,0.141197,0.228703,0.121060,0.220215,0.110170,0.157050,0.232242,0.153861,0.025615,0.075865,0.263828,0.036755,0.080781,0.193620,0.183850,0.262865,0.113937,0.029075,0.092892,0.060594,0.072648,0.007637,0.081572,0.243789
cust_df.ND,0.262029,0.238820,0.037793,0.066894,0.104310,0.088219,0.094673,0.163453,0.144719,0.314656,0.158312,0.126927,0.141374,0.265117,0.114399,0.168990,0.208634,0.136414,0.227496,0.105130,0.148074,0.171595,0.127395,0.047669,0.060276,0.253956,0.030152,0.075932,0.197631,0.200278,0.236832,0.109899,0.046335,0.086320,0.079005,0.124135,0.038871,0.109803,0.224729
cust_df.42572,0.210644,0.232406,0.093284,0.090135,0.103490,0.119556,0.143588,0.161878,0.202162,0.361501,0.220930,0.146293,0.219835,0.266264,0.118551,0.142618,0.234718,0.156148,0.315640,0.145074,0.152170,0.172295,0.184723,0.072106,0.078329,0.241696,0.087150,0.096033,0.226105,0.200106,0.242394,0.094898,0.051533,0.105868,0.045424,0.058969,0.045459,0.065620,0.206042
cust_df.US,0.259299,0.232168,0.019183,0.043548,0.103916,0.072350,0.074263,0.180092,0.175666,0.335332,0.196045,0.115693,0.137447,0.280715,0.095323,0.137240,0.214720,0.143273,0.237340,0.093154,0.147083,0.201441,0.138989,0.034910,0.056004,0.247324,0.026540,0.062598,0.200911,0.182238,0.227926,0.080448,0.008627,0.082014,0.042126,0.110291,0.008481,0.098364,0.231442
cust_df.1.1,0.235905,0.241233,0.085232,0.079143,0.095304,0.094884,0.141616,0.139464,0.169091,0.359416,0.184925,0.116567,0.197745,0.276507,0.132158,0.156221,0.233845,0.145485,0.310583,0.165365,0.170354,0.186627,0.192309,0.072063,0.063182,0.242892,0.077509,0.073250,0.214285,0.204287,0.258464,0.108855,0.042843,0.139163,0.053407,0.080771,0.056491,0.081966,0.216711
cust_df.FQIVBKWIZC@dell.com,0.254346,0.264169,0.046825,0.113265,0.094123,0.101375,0.046054,0.145614,0.170171,0.334212,0.189614,0.118711,0.086559,0.296724,0.059954,0.109356,0.251216,0.107468,0.219375,0.090961,0.143678,0.201889,0.139154,0.012318,0.055683,0.237179,0.038813,0.072433,0.218511,0.156486,0.200022,0.078949,0.059068,0.115661,0.045944,0.093430,0.026190,0.077280,0.223154
cust_df.1287944454,0.218772,0.228852,0.043931,0.048391,0.065745,0.068345,0.076596,0.152706,0.190063,0.333841,0.216939,0.106130,0.156003,0.255365,0.067201,0.136234,0.229939,0.140336,0.271122,0.106029,0.153132,0.172562,0.174076,0.055014,0.073439,0.249560,0.044080,0.057495,0.210493,0.183531,0.223470,0.060492,0.013943,0.083253,0.039362,0.048646,0.038042,0.048551,0.206420
cust_df.1890860486775636,0.187195,0.217482,0.023887,0.030308,0.101218,0.086627,0.155575,0.139081,0.151333,0.294981,0.183700,0.135714,0.188362,0.264407,0.154282,0.142090,0.270343,0.128008,0.280374,0.103419,0.147140,0.177141,0.158247,0.074145,0.081077,0.246070,0.071064,0.059342,0.257699,0.194197,0.206640,0.028541,0.021997,0.068600,0.040031,0.057018,0.043860,0.082849,0.147199
cust_df.2012/06,0.277865,0.246567,0.023065,0.014165,0.049558,0.059442,0.067240,0.151691,0.138436,0.388360,0.156435,0.075633,0.162379,0.317981,0.098208,0.131227,0.190568,0.119125,0.261513,0.077604,0.086486,0.212210,0.136401,0.023988,0.034281,0.255728,0.018543,0.083364,0.175597,0.148521,0.252052,0.095340,-0.011283,0.126148,0.033473,0.041541,-0.002656,0.080693,0.191793
cust_df.user1,0.275118,0.266929,0.046660,0.049425,0.032411,0.041726,0.042515,0.163099,0.183396,0.361389,0.198607,0.056863,0.129539,0.300178,0.044670,0.106571,0.188684,0.130000,0.233309,0.073667,0.137716,0.169189,0.132825,-0.004090,0.038926,0.210021,-0.002561,0.085413,0.177062,0.178788,0.217491,0.074885,-0.003578,0.077029,0.048380,0.061719,0.037561,0.109597,0.237834
cust_df.49,0.224250,0.228786,0.110651,0.095450,0.110557,0.136961,0.104887,0.189958,0.235148,0.392216,0.258570,0.145579,0.223023,0.268784,0.081020,0.141824,0.247951,0.201507,0.327838,0.145340,0.167322,0.168419,0.231081,0.124792,0.108856,0.257917,0.086006,0.110902,0.232874,0.216482,0.253939,0.099977,0.070543,0.144068,0.068676,0.085312,0.064052,0.083992,0.238704
cust_df.M,0.323274,0.298861,0.072687,0.081992,0.130028,0.126448,0.137926,0.179331,0.210125,0.423594,0.226977,0.153440,0.208526,0.348542,0.144516,0.170294,0.263389,0.171096,0.287163,0.153203,0.169343,0.236888,0.187486,0.050937,0.080720,0.279261,0.076051,0.120625,0.230561,0.220699,0.298567,0.113806,0.065855,0.139646,0.058000,0.088716,0.040389,0.095634,0.224433
CUST_HIST.7888,0.175278,0.170635,0.084229,0.083665,0.083764,0.100474,0.074752,0.157876,0.191825,0.310036,0.199002,0.108331,0.164742,0.200695,0.089949,0.164773,0.216117,0.164608,0.301681,0.160025,0.144610,0.167035,0.170372,0.079406,0.080278,0.270805,0.061859,0.091775,0.210322,0.193237,0.213756,0.096066,0.034258,0.114342,0.069989,0.084504,0.067107,0.107033,0.207360
CUST_HIST.1,0.199654,0.189130,0.110607,0.083782,0.101660,0.121252,0.071597,0.144248,0.196004,0.383789,0.203218,0.112812,0.175334,0.241103,0.095440,0.169128,0.220983,0.206343,0.302751,0.156745,0.129288,0.163557,0.199493,0.092145,0.062587,0.276854,0.071366,0.115920,0.199025,0.178448,0.238817,0.101165,0.045756,0.155834,0.063130,0.090931,0.065584,0.088335,0.223820
CUST_HIST.9117,0.152488,0.165594,0.094104,0.089072,0.096311,0.114702,0.131730,0.156791,0.181089,0.341377,0.190302,0.119974,0.226439,0.206823,0.125689,0.178546,0.203468,0.161839,0.319710,0.155289,0.133509,0.147054,0.159024,0.070644,0.063858,0.260408,0.089515,0.090301,0.192838,0.177637,0.204979,0.077703,0.032634,0.104475,0.054637,0.042831,0.048650,0.078886,0.198155
CUST_HIST.19356,0.146482,0.160814,0.104381,0.097983,0.107616,0.123679,0.134976,0.144897,0.150198,0.325086,0.154955,0.124621,0.204676,0.193137,0.137041,0.176755,0.206066,0.152768,0.306722,0.175034,0.128323,0.161581,0.147409,0.056517,0.053967,0.257608,0.117182,0.109511,0.197364,0.187633,0.191888,0.085674,0.057021,0.114530,0.037459,0.038482,0.054943,0.083606,0.174075
CUST_HIST.1001,0.170397,0.165674,0.104481,0.085323,0.112714,0.128484,0.140249,0.137714,0.169929,0.329461,0.175152,0.133317,0.183720,0.196000,0.158725,0.226079,0.232234,0.137121,0.299773,0.188348,0.146924,0.183493,0.172776,0.073459,0.072705,0.318631,0.111936,0.090955,0.212801,0.199822,0.194895,0.091051,0.065170,0.115267,0.043751,0.055119,0.030101,0.092518,0.183488
CUST_HIST.4380,0.129953,0.134447,0.085864,0.079493,0.089898,0.118709,0.110395,0.150820,0.161256,0.303391,0.173800,0.127504,0.226346,0.164061,0.101238,0.170105,0.214241,0.150752,0.314218,0.151109,0.132746,0.142841,0.149517,0.073569,0.072934,0.264205,0.081153,0.069302,0.210646,0.189649,0.176731,0.080567,0.037819,0.092270,0.042627,0.042711,0.050402,0.074948,0.201262
CUST_HIST.931,0.118214,0.132174,0.137149,0.136268,0.123250,0.126697,0.165204,0.135799,0.153173,0.305108,0.157927,0.135841,0.216709,0.170571,0.165494,0.162250,0.219397,0.135872,0.323507,0.217074,0.140047,0.137548,0.136395,0.065976,0.057013,0.242705,0.121485,0.102228,0.213699,0.198336,0.178244,0.087383,0.077078,0.106170,0.029017,0.043180,0.025982,0.086800,0.150236
CUST_HIST.2001,0.172843,0.175610,0.068903,0.050060,0.066811,0.089461,0.105112,0.152023,0.137605,0.312964,0.136865,0.087099,0.184459,0.222922,0.121579,0.177170,0.196647,0.143729,0.290873,0.129061,0.119601,0.155232,0.150741,0.049452,0.055983,0.275995,0.035278,0.071409,0.190112,0.179872,0.206771,0.089592,-0.002230,0.093998,0.046742,0.060952,0.039209,0.092442,0.197900
CUST_HIST.9702,0.137732,0.149911,0.094467,0.078301,0.099493,0.121905,0.135847,0.142411,0.168435,0.309803,0.178074,0.133695,0.216832,0.185088,0.123360,0.169325,0.216271,0.143488,0.309393,0.155288,0.128974,0.143390,0.154448,0.063349,0.064951,0.261261,0.086946,0.084155,0.210178,0.189741,0.187982,0.075730,0.043173,0.088960,0.037474,0.039092,0.039857,0.073014,0.188447
CUST_HIST.12411,0.140820,0.157591,0.099060,0.086500,0.120892,0.132510,0.144790,0.143225,0.162986,0.318896,0.171812,0.146636,0.213445,0.185785,0.141405,0.173768,0.222093,0.148790,0.311194,0.171091,0.137980,0.155820,0.149210,0.059383,0.057529,0.258685,0.118088,0.105196,0.214196,0.193290,0.191736,0.083394,0.060291,0.106124,0.043147,0.042260,0.055814,0.087462,0.172867
CUST_HIST.3001,0.213302,0.206114,0.100248,0.063542,0.159769,0.167977,0.148537,0.136033,0.199414,0.367176,0.198967,0.175904,0.152951,0.243553,0.177608,0.224866,0.221561,0.150847,0.279904,0.161953,0.136228,0.164452,0.182237,0.072129,0.065216,0.316637,0.082291,0.134797,0.191450,0.174270,0.231831,0.099201,0.053137,0.127967,0.072846,0.071515,0.058201,0.093478,0.185588
CUST_HIST.9972,0.173414,0.180553,0.103425,0.091565,0.118610,0.131098,0.132172,0.155507,0.195044,0.356288,0.203294,0.139758,0.231042,0.216162,0.122973,0.181029,0.220085,0.160579,0.326078,0.163319,0.148996,0.165373,0.184448,0.084283,0.079724,0.266481,0.092715,0.087193,0.206570,0.195824,0.211409,0.080278,0.049601,0.118676,0.045070,0.039198,0.049059,0.086801,0.197299
CUST_HIST.14005,0.182791,0.180563,0.087711,0.085782,0.088046,0.106208,0.084986,0.159736,0.196400,0.318476,0.199873,0.113995,0.172807,0.211843,0.094215,0.166824,0.224517,0.171621,0.303577,0.160862,0.144586,0.171972,0.171256,0.077479,0.074372,0.273540,0.064488,0.095897,0.219386,0.196010,0.211794,0.096426,0.042894,0.120795,0.066636,0.089132,0.067116,0.101249,0.212123
CUST_HIST.4001,0.187890,0.180692,0.094839,0.090533,0.085757,0.105088,0.078983,0.155156,0.194493,0.325051,0.199237,0.112058,0.172790,0.211207,0.100923,0.171681,0.226277,0.161930,0.310061,0.170649,0.147977,0.171527,0.178790,0.078948,0.080171,0.279228,0.069345,0.097255,0.219850,0.198440,0.219525,0.097635,0.047394,0.129056,0.073692,0.097433,0.079106,0.107550,0.213808
CUST_HIST.306,0.176950,0.191508,0.109087,0.100486,0.128037,0.147829,0.120809,0.174762,0.195024,0.375374,0.201771,0.150412,0.217862,0.225771,0.125106,0.202723,0.229352,0.182634,0.339331,0.175679,0.155031,0.175195,0.182466,0.081982,0.090795,0.292283,0.102820,0.110814,0.212433,0.194761,0.222446,0.095667,0.049572,0.139651,0.058618,0.052744,0.060753,0.097954,0.202315
CUST_HIST.15441,0.146086,0.166432,0.105572,0.096050,0.112408,0.120725,0.135210,0.133375,0.160006,0.323091,0.162237,0.124421,0.195288,0.204915,0.139944,0.170974,0.203301,0.153330,0.300339,0.171270,0.119264,0.151857,0.139760,0.053621,0.043053,0.246280,0.114604,0.114666,0.198719,0.176520,0.188268,0.079201,0.049016,0.107456,0.046198,0.046287,0.055990,0.100441,0.155388
CUST_HIST.5001,0.210719,0.188778,0.166805,0.154742,0.086882,0.094111,0.046194,0.137582,0.227015,0.393053,0.203653,0.103491,0.155897,0.228971,0.056554,0.198971,0.228959,0.155899,0.299848,0.220962,0.145910,0.168043,0.206577,0.080875,0.068377,0.290451,0.058350,0.145174,0.204574,0.189295,0.266240,0.158796,0.099538,0.143977,0.092102,0.102599,0.085905,0.100064,0.239580
CUST_HIST.5549,0.176429,0.187170,0.114055,0.098735,0.116870,0.135938,0.114992,0.169727,0.200321,0.368485,0.206437,0.137114,0.214257,0.223102,0.114525,0.195128,0.220921,0.181678,0.334822,0.170968,0.150138,0.170655,0.183771,0.085904,0.082602,0.282976,0.097530,0.108846,0.208143,0.189958,0.221055,0.094117,0.046861,0.129216,0.061329,0.054973,0.065399,0.087738,0.200914
CUST_HIST.16984,0.184953,0.189114,0.075210,0.059062,0.067751,0.086901,0.084595,0.169090,0.176414,0.324396,0.187974,0.090294,0.174722,0.225781,0.105279,0.204418,0.234213,0.177295,0.314945,0.160026,0.164399,0.189754,0.172306,0.073123,0.098869,0.303554,0.065893,0.062443,0.221775,0.212784,0.199730,0.066193,0.009365,0.111836,0.046642,0.067818,0.042588,0.100271,0.198516
CUST_HIST.6001,0.205534,0.203069,0.091968,0.077357,0.107915,0.104519,0.101262,0.152076,0.173547,0.341661,0.185340,0.118255,0.172435,0.237441,0.143886,0.226238,0.243468,0.166750,0.317146,0.179136,0.166362,0.226975,0.175062,0.073966,0.083519,0.312888,0.120497,0.085714,0.227308,0.219044,0.216412,0.088563,0.042733,0.138757,0.062471,0.090529,0.059500,0.123735,0.207987
CUST_HIST.5853,0.179694,0.190168,0.116778,0.099513,0.122301,0.137233,0.121292,0.172353,0.197756,0.365836,0.205765,0.139816,0.218796,0.221680,0.124245,0.202071,0.220449,0.182040,0.337592,0.176280,0.153096,0.171268,0.184836,0.087393,0.093743,0.284619,0.101980,0.107069,0.206922,0.195226,0.226682,0.095592,0.047374,0.132262,0.060227,0.057024,0.068722,0.093417,0.202506
CUST_HIST.8391,0.166786,0.177692,0.111368,0.104193,0.107265,0.134397,0.119664,0.163747,0.199216,0.365678,0.200898,0.130861,0.216863,0.219216,0.119268,0.187261,0.222684,0.166734,0.334947,0.171588,0.146552,0.165137,0.181916,0.082162,0.077766,0.280161,0.094591,0.108501,0.208758,0.187125,0.223005,0.098575,0.048049,0.125037,0.062889,0.054415,0.058074,0.089093,0.200595
CUST_HIST.7001,0.205913,0.190597,0.170409,0.146806,0.110969,0.104541,0.081197,0.124387,0.206687,0.383547,0.208145,0.120001,0.161450,0.221539,0.096832,0.187966,0.242050,0.149066,0.300766,0.225766,0.144934,0.172275,0.204920,0.073587,0.065470,0.271373,0.109140,0.125631,0.210744,0.191882,0.241750,0.120975,0.104562,0.142563,0.082718,0.075522,0.084683,0.097618,0.203915
CUST_HIST.6079,0.170490,0.181134,0.111175,0.092708,0.111224,0.131022,0.114019,0.164105,0.198606,0.364787,0.204826,0.131659,0.210475,0.218011,0.112360,0.187545,0.213850,0.174096,0.328875,0.164849,0.143064,0.164089,0.179534,0.079614,0.076567,0.272702,0.091486,0.102995,0.200545,0.186816,0.218375,0.092600,0.041961,0.122633,0.061897,0.052025,0.063669,0.089727,0.204961
CUST_HIST.9922,0.214470,0.209874,0.091678,0.069921,0.081504,0.108291,0.091190,0.170051,0.206276,0.351618,0.217431,0.105478,0.172601,0.253500,0.117950,0.203025,0.242029,0.175447,0.316452,0.163252,0.151389,0.199545,0.194828,0.082662,0.095026,0.314928,0.079168,0.096368,0.229288,0.204935,0.223507,0.091598,0.030399,0.133096,0.055526,0.080466,0.045594,0.102406,0.217003
CUST_HIST.8001,0.205978,0.204947,0.088000,0.076301,0.099088,0.107403,0.099008,0.147687,0.179654,0.345326,0.186647,0.113664,0.173675,0.243848,0.140153,0.222692,0.244550,0.162534,0.318029,0.179746,0.167690,0.221381,0.178174,0.076770,0.081417,0.313223,0.115789,0.087334,0.227602,0.219486,0.221310,0.091523,0.045515,0.134536,0.065531,0.094579,0.052505,0.125490,0.211115
CUST_HIST.1376,0.125940,0.136222,0.093667,0.083487,0.096501,0.120542,0.128057,0.153820,0.161489,0.309658,0.176408,0.132739,0.231866,0.164646,0.116282,0.176447,0.217682,0.144180,0.317201,0.155574,0.136575,0.151862,0.155842,0.078678,0.076872,0.267593,0.086657,0.068614,0.209795,0.192676,0.187565,0.078240,0.044507,0.096507,0.047457,0.039096,0.043945,0.079020,0.202993
CUST_HIST.1490,0.200564,0.185844,0.079002,0.057974,0.072089,0.097125,0.083703,0.180652,0.184825,0.333091,0.196948,0.089562,0.168348,0.226620,0.107890,0.204992,0.234639,0.181658,0.307693,0.156139,0.157971,0.183719,0.178102,0.078858,0.104147,0.316984,0.076580,0.083067,0.221768,0.205134,0.216028,0.076689,0.012118,0.127898,0.044170,0.081691,0.044217,0.107775,0.202224
CUST_HIST.9001,0.219210,0.197743,0.064634,0.043264,0.090029,0.102379,0.087657,0.135613,0.191288,0.352937,0.201024,0.122027,0.169377,0.231352,0.103553,0.175655,0.237224,0.145385,0.282888,0.139860,0.146863,0.185003,0.184718,0.071224,0.065122,0.279907,0.082866,0.077895,0.213494,0.199816,0.209166,0.072386,0.042243,0.115108,0.060112,0.058075,0.069253,0.101391,0.213383
CUST_HIST.1697,0.147847,0.170750,0.106648,0.096856,0.109567,0.120924,0.147822,0.156117,0.166162,0.326756,0.171578,0.125659,0.219844,0.209218,0.146328,0.189771,0.204348,0.169475,0.312971,0.166099,0.132954,0.139805,0.148482,0.059177,0.070961,0.262998,0.096487,0.097970,0.193242,0.178608,0.197558,0.071724,0.033944,0.100905,0.037184,0.040260,0.040348,0.077177,0.182045
