col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
prod_df.0,PRODUCTS.0,prod_df,PRODUCTS,0.0,0.0,1.0,0.150921,0.957546,0.957546
cust_df.UK,CUSTOMER.UK,cust_df,CUSTOMER,0.0,0.0,1.0,0.147108,0.957355,0.957355
cust_df.password,CUSTOMER.password,cust_df,CUSTOMER,0.0,0.0,1.0,0.147003,0.95735,0.95735
cust_df.42572,CUSTOMER.42572,cust_df,CUSTOMER,0.0,0.0,1.0,0.146181,0.957309,0.957309
cust_df.10001,CUSTOMER.10001,cust_df,CUSTOMER,0.0,0.0,1.0,0.145998,0.9573,0.9573
cust_df.user1,CUSTOMER.user1,cust_df,CUSTOMER,0.0,0.0,1.0,0.145622,0.957281,0.957281
CUST_HIST.306,custhist_df.306,CUST_HIST,custhist_df,0.0,0.0,1.0,0.144162,0.957208,0.957208
cust_df.XCXNWIS,CUSTOMER.XCXNWIS,cust_df,CUSTOMER,0.0,0.0,1.0,0.138727,0.956936,0.956936
CUST_HIST.8391,custhist_df.8391,CUST_HIST,custhist_df,0.0,0.0,1.0,0.137996,0.9569,0.9569
inv_df.138,INVENTORY.138,inv_df,INVENTORY,0.0,0.0,1.0,0.137988,0.956899,0.956899
inv_df.1,INVENTORY.1,inv_df,INVENTORY,0.0,0.0,1.0,0.137826,0.956891,0.956891
CUST_HIST.5853,custhist_df.5853,CUST_HIST,custhist_df,0.0,0.0,1.0,0.137404,0.95687,0.95687
CUST_HIST.6079,custhist_df.6079,CUST_HIST,custhist_df,0.0,0.0,1.0,0.137326,0.956866,0.956866
CUST_HIST.3001,custhist_df.3001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.136679,0.956834,0.956834
prod_df.1,PRODUCTS.1,prod_df,PRODUCTS,0.0,0.0,1.0,0.136627,0.956831,0.956831
inv_df.9,INVENTORY.9,inv_df,INVENTORY,0.0,0.0,1.0,0.136237,0.956812,0.956812
cust_df.US,CUSTOMER.US,cust_df,CUSTOMER,0.0,0.0,1.0,0.135984,0.956799,0.956799
cust_df.1467048332,CUSTOMER.1467048332,cust_df,CUSTOMER,0.0,0.0,1.0,0.1342,0.95671,0.95671
custhist_df.10001,CUSTOMER.10001,custhist_df,CUSTOMER,0.0,0.0,1.0,0.134112,0.956706,0.956706
cust_df.SLZCISTEWL@dell.com,CUSTOMER.SLZCISTEWL@dell.com,cust_df.SLZCISTEWL@dell,CUSTOMER.SLZCISTEWL@dell,0.0,0.0,1.0,0.133969,0.956698,0.956698
cust_df.1467048332 Dell Way,CUSTOMER.1467048332 Dell Way,cust_df,CUSTOMER,0.0,0.0,1.0,0.133377,0.956669,0.956669
cust_df.2,CUSTOMER.2,cust_df,CUSTOMER,0.0,0.0,1.0,0.132653,0.956633,0.956633
CUSTOMER.1,ORDERLINES.1,CUSTOMER,ORDERLINES,0.0,0.0,1.0,0.13184,0.956592,0.956592
CUST_HIST.6941,custhist_df.6941,CUST_HIST,custhist_df,0.0,0.0,1.0,0.131844,0.956592,0.956592
CUST_HIST.9972,custhist_df.9972,CUST_HIST,custhist_df,0.0,0.0,1.0,0.131798,0.95659,0.95659
cust_df.44,CUSTOMER.44,cust_df,CUSTOMER,0.0,0.0,1.0,0.13099,0.956549,0.956549
CUST_HIST.1,custhist_df.1,CUST_HIST,custhist_df,0.0,0.0,1.0,0.130369,0.956518,0.956518
CUST_HIST.5549,custhist_df.5549,CUST_HIST,custhist_df,0.0,0.0,1.0,0.130309,0.956515,0.956515
prod_df.14,PRODUCTS.14,prod_df,PRODUCTS,0.0,0.0,1.0,0.130209,0.95651,0.95651
INVENTORY.1,prod_df.1,INVENTORY,prod_df,0.0,0.0,1.0,0.129998,0.9565,0.9565
CUST_HIST.9117,custhist_df.9117,CUST_HIST,custhist_df,0.0,0.0,1.0,0.129756,0.956488,0.956488
CUSTOMER.1,PRODUCTS.1,CUSTOMER,PRODUCTS,0.0,0.0,1.0,0.129719,0.956486,0.956486
CUST_HIST.11001,custhist_df.11001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.129619,0.956481,0.956481
cust_df.1287944454 Dell Way,CUSTOMER.1287944454 Dell Way,cust_df,CUSTOMER,0.0,0.0,1.0,0.129406,0.95647,0.95647
CUSTOMER.1,prod_df.1,CUSTOMER,prod_df,0.0,0.0,1.0,0.129028,0.956451,0.956451
CUST_HIST.7259,custhist_df.7259,CUST_HIST,custhist_df,0.0,0.0,1.0,0.128181,0.956409,0.956409
inv_df.1,prod_df.1,inv_df,prod_df,0.0,0.0,1.0,0.128093,0.956405,0.956405
custhist_df.7001,ORDERLINES.7001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.126876,0.956344,0.956344
INVENTORY.1,PRODUCTS.1,INVENTORY,PRODUCTS,0.0,0.0,1.0,0.125692,0.956285,0.956285
prod_df.1976,PRODUCTS.1976,prod_df,PRODUCTS,0.0,0.0,1.0,0.125551,0.956278,0.956278
INVENTORY.1,orderlines_df.1,INVENTORY,orderlines_df,0.0,0.0,1.0,0.125506,0.956275,0.956275
CUST_HIST.10001,CUSTOMER.10001,CUST_HIST,CUSTOMER,0.0,0.0,1.0,0.125025,0.956251,0.956251
INVENTORY.1,ORDERLINES.1,INVENTORY,ORDERLINES,0.0,0.0,1.0,0.124979,0.956249,0.956249
inv_df.1,PRODUCTS.1,inv_df,PRODUCTS,0.0,0.0,1.0,0.124966,0.956248,0.956248
CUSTOMER.1,orderlines_df.1,CUSTOMER,orderlines_df,0.0,0.0,1.0,0.124611,0.956231,0.956231
cust_df.ND,CUSTOMER.ND,cust_df,CUSTOMER,0.0,0.0,1.0,0.124604,0.95623,0.95623
CUSTOMER.10001,ORDERLINES.10001,CUSTOMER,ORDERLINES,0.0,0.0,1.0,0.123648,0.956182,0.956182
CUSTOMER.1,inv_df.1,CUSTOMER,inv_df,0.0,0.0,1.0,0.123603,0.95618,0.95618
CUST_HIST.7001,ORDERLINES.7001,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.123437,0.956172,0.956172
inv_df.1,orderlines_df.1,inv_df,orderlines_df,0.0,0.0,1.0,0.123432,0.956172,0.956172
ORDERLINES.1,ORDERS.1,ORDERLINES,ORDERS,0.0,0.0,1.0,0.123031,0.956152,0.956152
inv_df.1,ORDERLINES.1,inv_df,ORDERLINES,0.0,0.0,1.0,0.122913,0.956146,0.956146
INVENTORY.1,ORDERS.1,INVENTORY,ORDERS,0.0,0.0,1.0,0.122604,0.95613,0.95613
cust_df.1,ORDERLINES.1,cust_df,ORDERLINES,0.0,0.0,1.0,0.122069,0.956103,0.956103
cust_df.10001,custhist_df.10001,cust_df,custhist_df,0.0,0.0,1.0,0.12188,0.956094,0.956094
cust_df.FQIVBKWIZC@dell.com,CUSTOMER.FQIVBKWIZC@dell.com,cust_df.FQIVBKWIZC@dell,CUSTOMER.FQIVBKWIZC@dell,0.0,0.0,1.0,0.121823,0.956091,0.956091
cust_df.1287944454,CUSTOMER.1287944454,cust_df,CUSTOMER,0.0,0.0,1.0,0.121664,0.956083,0.956083
CUST_HIST.1001,custhist_df.1001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.121643,0.956082,0.956082
CUST_HIST.6001,custhist_df.6001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.121373,0.956069,0.956069
CUST_HIST.1,CUSTOMER.1,CUST_HIST,CUSTOMER,0.02915,0.0073040711113338385,1.0,0.15772,0.95606,0.95606
INVENTORY.1,orders_df.1,INVENTORY,orders_df,0.0,0.0,1.0,0.120816,0.956041,0.956041
inv_df.1,ORDERS.1,inv_df,ORDERS,0.0,0.0,1.0,0.120578,0.956029,0.956029
CUSTOMER.1,ORDERS.1,CUSTOMER,ORDERS,0.0,0.0,1.0,0.120439,0.956022,0.956022
cust_df.1,PRODUCTS.1,cust_df,PRODUCTS,0.0,0.0,1.0,0.120106,0.956005,0.956005
CUST_HIST.9001,custhist_df.9001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.120046,0.956002,0.956002
cust_df.1,prod_df.1,cust_df,prod_df,0.0,0.0,1.0,0.119465,0.955973,0.955973
ORDERLINES.1,orderlines_df.1,ORDERLINES,orderlines_df,0.0,0.0,1.0,0.118902,0.955945,0.955945
inv_df.1,orders_df.1,inv_df,orders_df,0.0,0.0,1.0,0.118819,0.955941,0.955941
cust_df.00000,CUSTOMER.00000,cust_df,CUSTOMER,0.0,0.0,1.0,0.118574,0.955929,0.955929
custhist_df.7001,orders_df.7001,custhist_df,orders_df,0.0,0.0,1.0,0.118485,0.955924,0.955924
CUSTOMER.10001,orders_df.10001,CUSTOMER,orders_df,0.0,0.0,1.0,0.118218,0.955911,0.955911
custhist_df.5001,orders_df.5001,custhist_df,orders_df,0.0,0.0,1.0,0.116799,0.95584,0.95584
custhist_df.306,ORDERLINES.306,custhist_df,ORDERLINES,0.0,0.0,1.0,0.116742,0.955837,0.955837
orderlines_df.1,prod_df.1,orderlines_df,prod_df,0.0,0.0,1.0,0.116421,0.955821,0.955821
CUST_HIST.12934,custhist_df.12934,CUST_HIST,custhist_df,0.0,0.0,1.0,0.116032,0.955802,0.955802
ORDERLINES.1,prod_df.1,ORDERLINES,prod_df,0.0,0.0,1.0,0.115932,0.955797,0.955797
CUST_HIST.5001,orders_df.5001,CUST_HIST,orders_df,0.0,0.0,1.0,0.115878,0.955794,0.955794
cust_df.1,orderlines_df.1,cust_df,orderlines_df,0.0,0.0,1.0,0.115376,0.955769,0.955769
CUST_HIST.7001,orders_df.7001,CUST_HIST,orders_df,0.0,0.0,1.0,0.115273,0.955764,0.955764
custhist_df.8391,orders_df.8391,custhist_df,orders_df,0.0,0.0,1.0,0.114739,0.955737,0.955737
cust_df.1281093623023480,CUSTOMER.1281093623023480,cust_df,CUSTOMER,0.0,0.0,1.0,0.114477,0.955724,0.955724
cust_df.1,inv_df.1,cust_df,inv_df,0.0,0.0,1.0,0.114442,0.955722,0.955722
CUST_HIST.306,ORDERLINES.306,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.114104,0.955705,0.955705
CUST_HIST.1697,custhist_df.1697,CUST_HIST,custhist_df,0.0,0.0,1.0,0.113943,0.955697,0.955697
CUSTOMER.1,INVENTORY.1,CUSTOMER,INVENTORY,0.0,0.0,1.0,0.113754,0.955688,0.955688
ORDERS.1,prod_df.1,ORDERS,prod_df,0.0,0.0,1.0,0.113729,0.955686,0.955686
cust_df.10001,CUST_HIST.10001,cust_df,CUST_HIST,0.0,0.0,1.0,0.113622,0.955681,0.955681
custhist_df.3001,ORDERLINES.3001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.113262,0.955663,0.955663
ORDERLINES.1.2,orderlines_df.1.2,ORDERLINES.1,orderlines_df.1,0.0,0.0,1.0,0.113208,0.95566,0.95566
custhist_df.5001,ORDERLINES.5001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.112919,0.955646,0.955646
custhist_df.9117,ORDERLINES.9117,custhist_df,ORDERLINES,0.0,0.0,1.0,0.112755,0.955638,0.955638
orderlines_df.1,PRODUCTS.1,orderlines_df,PRODUCTS,0.0,0.0,1.0,0.112565,0.955628,0.955628
CUSTOMER.10001,ORDERS.10001,CUSTOMER,ORDERS,0.0,0.0,1.0,0.11255,0.955628,0.955628
cust_df.10001,ORDERLINES.10001,cust_df,ORDERLINES,0.0,0.0,1.0,0.112371,0.955619,0.955619
cust_df.1,INVENTORY.1,cust_df,INVENTORY,0.0,0.0,1.0,0.112318,0.955616,0.955616
ORDERLINES.1,PRODUCTS.1,ORDERLINES,PRODUCTS,0.0,0.0,1.0,0.112092,0.955605,0.955605
orders_df.1,prod_df.1,orders_df,prod_df,0.0,0.0,1.0,0.11207,0.955603,0.955603
CUST_HIST.5001,ORDERLINES.5001,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.112028,0.955601,0.955601
CUST_HIST.3001,ORDERLINES.3001,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.11172,0.955586,0.955586
CUST_HIST.9922,custhist_df.9922,CUST_HIST,custhist_df,0.0,0.0,1.0,0.1116,0.95558,0.95558
CUSTOMER.1,orders_df.1,CUSTOMER,orders_df,0.0,0.0,1.0,0.111596,0.95558,0.95558
cust_df.1,ORDERS.1,cust_df,ORDERS,0.0,0.0,1.0,0.111513,0.955576,0.955576
CUST_HIST.8001,custhist_df.8001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.111477,0.955574,0.955574
custhist_df.3001,orders_df.3001,custhist_df,orders_df,0.0,0.0,1.0,0.111259,0.955563,0.955563
custhist_df.5001,ORDERS.5001,custhist_df,ORDERS,0.0,0.0,1.0,0.111242,0.955562,0.955562
custhist_df.1001,ORDERLINES.1001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.111021,0.955551,0.955551
custhist_df.11001,ORDERLINES.11001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.110796,0.95554,0.95554
custhist_df.5001,orderlines_df.5001,custhist_df,orderlines_df,0.0,0.0,1.0,0.110602,0.95553,0.95553
custhist_df.8391,ORDERS.8391,custhist_df,ORDERS,0.0,0.0,1.0,0.110587,0.955529,0.955529
custhist_df.6079,ORDERLINES.6079,custhist_df,ORDERLINES,0.0,0.0,1.0,0.110578,0.955529,0.955529
CUST_HIST.15441,custhist_df.15441,CUST_HIST,custhist_df,0.0,0.0,1.0,0.110468,0.955523,0.955523
custhist_df.9972,ORDERLINES.9972,custhist_df,ORDERLINES,0.0,0.0,1.0,0.110417,0.955521,0.955521
CUST_HIST.5001,ORDERS.5001,CUST_HIST,ORDERS,0.0,0.0,1.0,0.110365,0.955518,0.955518
custhist_df.6079,orderlines_df.6079,custhist_df,orderlines_df,0.0,0.0,1.0,0.110314,0.955516,0.955516
prod_df.PENELOPE GUINESS,PRODUCTS.PENELOPE GUINESS,prod_df,PRODUCTS,0.0,0.0,1.0,0.110254,0.955513,0.955513
custhist_df.11001,orders_df.11001,custhist_df,orders_df,0.0,0.0,1.0,0.110152,0.955508,0.955508
ORDERS.1,PRODUCTS.1,ORDERS,PRODUCTS,0.0,0.0,1.0,0.109962,0.955498,0.955498
orderlines_df.1,ORDERS.1,orderlines_df,ORDERS,0.0,0.0,1.0,0.109799,0.95549,0.95549
CUST_HIST.5549,ORDERLINES.5549,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.109806,0.95549,0.95549
CUST_HIST.3001,orders_df.3001,CUST_HIST,orders_df,0.0,0.0,1.0,0.109744,0.955487,0.955487
CUST_HIST.5001,orderlines_df.5001,CUST_HIST,orderlines_df,0.0,0.0,1.0,0.10973,0.955486,0.955486
custhist_df.7259,ORDERLINES.7259,custhist_df,ORDERLINES,0.0,0.0,1.0,0.109645,0.955482,0.955482
CUSTOMER.10001,orderlines_df.10001,CUSTOMER,orderlines_df,0.0,0.0,1.0,0.109543,0.955477,0.955477
cust_df.1,CUST_HIST.1,cust_df,CUST_HIST,0.02915,0.0073040711113338385,1.0,0.146031,0.955476,0.955476
custhist_df.1001,orderlines_df.1001,custhist_df,orderlines_df,0.0,0.0,1.0,0.109079,0.955454,0.955454
custhist_df.6001,ORDERLINES.6001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.108424,0.955421,0.955421
orders_df.1,PRODUCTS.1,orders_df,PRODUCTS,0.0,0.0,1.0,0.108358,0.955418,0.955418
orderlines_df.1,orders_df.1,orderlines_df,orders_df,0.0,0.0,1.0,0.108198,0.95541,0.95541
custhist_df.6001,orderlines_df.6001,custhist_df,orderlines_df,0.0,0.0,1.0,0.108177,0.955409,0.955409
custhist_df.3001,orderlines_df.3001,custhist_df,orderlines_df,0.0,0.0,1.0,0.108135,0.955407,0.955407
CUST_HIST.1376,custhist_df.1376,CUST_HIST,custhist_df,0.0,0.0,1.0,0.107885,0.955394,0.955394
custhist_df.9972,orderlines_df.9972,custhist_df,orderlines_df,0.0,0.0,1.0,0.107819,0.955391,0.955391
ORDERLINES.1,orders_df.1,ORDERLINES,orders_df,0.0,0.0,1.0,0.107743,0.955387,0.955387
CUST_HIST.16984,custhist_df.16984,CUST_HIST,custhist_df,0.0,0.0,1.0,0.107674,0.955384,0.955384
ORDERLINES.1.1,orderlines_df.1.1,ORDERLINES.1,orderlines_df.1,0.0,0.0,1.0,0.107648,0.955382,0.955382
CUST_HIST.8001,ORDERLINES.8001,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.107569,0.955378,0.955378
cust_df.10001,orders_df.10001,cust_df,orders_df,0.0,0.0,1.0,0.107436,0.955372,0.955372
custhist_df.3001,ORDERS.3001,custhist_df,ORDERS,0.0,0.0,1.0,0.107433,0.955372,0.955372
CUST_HIST.6079,ORDERLINES.6079,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.10715,0.955358,0.955358
ORDERLINES.3,orderlines_df.3,ORDERLINES,orderlines_df,0.0,0.0,1.0,0.106987,0.955349,0.955349
custhist_df.4001,ORDERLINES.4001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.10697,0.955348,0.955348
custhist_df.9117,orderlines_df.9117,custhist_df,orderlines_df,0.0,0.0,1.0,0.106906,0.955345,0.955345
custhist_df.5853,orderlines_df.5853,custhist_df,orderlines_df,0.0,0.0,1.0,0.106727,0.955336,0.955336
CUST_HIST.3001,orderlines_df.3001,CUST_HIST,orderlines_df,0.0,0.0,1.0,0.106662,0.955333,0.955333
custhist_df.7001,orderlines_df.7001,custhist_df,orderlines_df,0.0,0.0,1.0,0.106542,0.955327,0.955327
custhist_df.7259,orderlines_df.7259,custhist_df,orderlines_df,0.0,0.0,1.0,0.106498,0.955325,0.955325
CUST_HIST.8391,orders_df.8391,CUST_HIST,orders_df,0.0,0.0,1.0,0.106474,0.955324,0.955324
CUST_HIST.9972,ORDERLINES.9972,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.106348,0.955317,0.955317
custhist_df.5853,ORDERLINES.5853,custhist_df,ORDERLINES,0.0,0.0,1.0,0.106321,0.955316,0.955316
custhist_df.6941,orderlines_df.6941,custhist_df,orderlines_df,0.0,0.0,1.0,0.10613,0.955306,0.955306
CUST_HIST.4380,custhist_df.4380,CUST_HIST,custhist_df,0.0,0.0,1.0,0.106028,0.955301,0.955301
custhist_df.306,orderlines_df.306,custhist_df,orderlines_df,0.0,0.0,1.0,0.105845,0.955292,0.955292
CUST_HIST.4001,custhist_df.4001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.105754,0.955288,0.955288
ORDERS.1,orders_df.1,ORDERS,orders_df,0.0,0.0,1.0,0.105696,0.955285,0.955285
ORDERLINES.2009/08/16,orders_df.2009/08/16,ORDERLINES,orders_df,0.0,0.0,1.0,0.105707,0.955285,0.955285
custhist_df.11001,orderlines_df.11001,custhist_df,orderlines_df,0.0,0.0,1.0,0.105684,0.955284,0.955284
custhist_df.12934,orders_df.12934,custhist_df,orders_df,0.00146,0.00036582997675977373,1.0,0.107514,0.955284,0.955284
custhist_df.7001,ORDERS.7001,custhist_df,ORDERS,0.0,0.0,1.0,0.105492,0.955275,0.955275
ORDERLINES.4001,ORDERS.4001,ORDERLINES,ORDERS,0.0,0.0,1.0,0.105487,0.955274,0.955274
CUST_HIST.14005,custhist_df.14005,CUST_HIST,custhist_df,0.0,0.0,1.0,0.105456,0.955273,0.955273
CUST_HIST.9001,orders_df.9001,CUST_HIST,orders_df,0.0,0.0,1.0,0.105438,0.955272,0.955272
custhist_df.6941,ORDERLINES.6941,custhist_df,ORDERLINES,0.0,0.0,1.0,0.105412,0.955271,0.955271
custhist_df.5549,ORDERLINES.5549,custhist_df,ORDERLINES,0.0,0.0,1.0,0.105381,0.955269,0.955269
CUST_HIST.1490,custhist_df.1490,CUST_HIST,custhist_df,0.0,0.0,1.0,0.105313,0.955266,0.955266
custhist_df.6001,orders_df.6001,custhist_df,orders_df,0.0,0.0,1.0,0.105285,0.955264,0.955264
CUST_HIST.931,custhist_df.931,CUST_HIST,custhist_df,0.0,0.0,1.0,0.105259,0.955263,0.955263
custhist_df.4001,orderlines_df.4001,custhist_df,orderlines_df,0.0,0.0,1.0,0.105185,0.955259,0.955259
ORDERLINES.9001,ORDERS.9001,ORDERLINES,ORDERS,0.0,0.0,1.0,0.105138,0.955257,0.955257
custhist_df.1697,ORDERLINES.1697,custhist_df,ORDERLINES,0.0,0.0,1.0,0.105061,0.955253,0.955253
custhist_df.1376,ORDERLINES.1376,custhist_df,ORDERLINES,0.0,0.0,1.0,0.104983,0.955249,0.955249
ORDERLINES.4001,orderlines_df.4001,ORDERLINES,orderlines_df,0.0,0.0,1.0,0.104655,0.955233,0.955233
CUST_HIST.9001,ORDERLINES.9001,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.104523,0.955226,0.955226
custhist_df.11001,ORDERS.11001,custhist_df,ORDERS,0.0,0.0,1.0,0.104495,0.955225,0.955225
CUST_HIST.10001,custhist_df.10001,CUST_HIST,custhist_df,0.0,0.0,1.0,0.104371,0.955219,0.955219
CUST_HIST.12411,custhist_df.12411,CUST_HIST,custhist_df,0.0,0.0,1.0,0.104324,0.955216,0.955216
cust_df.1890860486775636,CUSTOMER.1890860486775636,cust_df,CUSTOMER,0.0,0.0,1.0,0.10422,0.955211,0.955211
custhist_df.9001,ORDERLINES.9001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.104124,0.955206,0.955206
CUST_HIST.3001,ORDERS.3001,CUST_HIST,ORDERS,0.0,0.0,1.0,0.10397,0.955198,0.955198
custhist_df.12934,ORDERS.12934,custhist_df,ORDERS,0.00146,0.00036582997675977373,1.0,0.105684,0.955193,0.955193
custhist_df.5549,orderlines_df.5549,custhist_df,orderlines_df,0.0,0.0,1.0,0.103815,0.955191,0.955191
CUST_HIST.7001,orderlines_df.7001,CUST_HIST,orderlines_df,0.0,0.0,1.0,0.103654,0.955183,0.955183
CUST_HIST.7259,ORDERLINES.7259,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.103463,0.955173,0.955173
CUST_HIST.6941,orderlines_df.6941,CUST_HIST,orderlines_df,0.0,0.0,1.0,0.103399,0.95517,0.95517
ORDERLINES.3001,ORDERS.3001,ORDERLINES,ORDERS,0.0,0.0,1.0,0.103352,0.955168,0.955168
cust_df.1,orders_df.1,cust_df,orders_df,0.0,0.0,1.0,0.103325,0.955166,0.955166
ORDERLINES.6001,ORDERS.6001,ORDERLINES,ORDERS,0.0,0.0,1.0,0.103265,0.955163,0.955163
custhist_df.8001,ORDERLINES.8001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.103211,0.955161,0.955161
custhist_df.10001,ORDERLINES.10001,custhist_df,ORDERLINES,0.0,0.0,1.0,0.103222,0.955161,0.955161
custhist_df.1,CUSTOMER.1,custhist_df,CUSTOMER,0.02915,0.0073040711113338385,1.0,0.139596,0.955154,0.955154
CUST_HIST.6001,ORDERLINES.6001,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.103055,0.955153,0.955153
CUST_HIST.6001,orderlines_df.6001,CUST_HIST,orderlines_df,0.0,0.0,1.0,0.102942,0.955147,0.955147
CUST_HIST.9702,custhist_df.9702,CUST_HIST,custhist_df,0.0,0.0,1.0,0.102788,0.955139,0.955139
CUST_HIST.8001,orders_df.8001,CUST_HIST,orders_df,0.0,0.0,1.0,0.102755,0.955138,0.955138
CUST_HIST.6079,orderlines_df.6079,CUST_HIST,orderlines_df,0.0,0.0,1.0,0.102762,0.955138,0.955138
CUST_HIST.6941,ORDERLINES.6941,CUST_HIST,ORDERLINES,0.0,0.0,1.0,0.102699,0.955135,0.955135
custhist_df.4001,orders_df.4001,custhist_df,orders_df,0.0,0.0,1.0,0.102691,0.955135,0.955135
CUST_HIST.7001,ORDERS.7001,CUST_HIST,ORDERS,0.0,0.0,1.0,0.102632,0.955132,0.955132
CUST_HIST.8391,ORDERS.8391,CUST_HIST,ORDERS,0.0,0.0,1.0,0.102621,0.955131,0.955131
custhist_df.12411,orders_df.12411,custhist_df,orders_df,0.001826,0.0004575380394269499,1.0,0.104588,0.955115,0.955115
cust_df.10001,ORDERS.10001,cust_df,ORDERS,0.0,0.0,1.0,0.102284,0.955114,0.955114
ORDERS.4001,orders_df.4001,ORDERS,orders_df,0.0,0.0,1.0,0.102257,0.955113,0.955113
ORDERLINES.4001,orders_df.4001,ORDERLINES,orders_df,0.0,0.0,1.0,0.102174,0.955109,0.955109
ORDERLINES.2,orderlines_df.2,ORDERLINES,orderlines_df,0.0,0.0,1.0,0.102165,0.955108,0.955108
custhist_df.9702,orderlines_df.9702,custhist_df,orderlines_df,0.0,0.0,1.0,0.101793,0.95509,0.95509
custhist_df.1376,orderlines_df.1376,custhist_df,orderlines_df,0.0,0.0,1.0,0.101788,0.955089,0.955089
ORDERLINES.6001,orderlines_df.6001,ORDERLINES,orderlines_df,0.0,0.0,1.0,0.101691,0.955085,0.955085
custhist_df.1001,orders_df.1001,custhist_df,orders_df,0.0,0.0,1.0,0.101651,0.955083,0.955083
custhist_df.9001,orders_df.9001,custhist_df,orders_df,0.0,0.0,1.0,0.101613,0.955081,0.955081
ORDERLINES.2009/08/16,orderlines_df.2009/08/16,ORDERLINES,orderlines_df,0.0,0.0,1.0,0.101622,0.955081,0.955081
