,customer.c_custkey,customer.c_name,customer.c_address,customer.c_nationkey,customer.c_phone,customer.c_acctbal,customer.c_mktsegment,customer.c_comment,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_suppkey,lineitem.l_linenumber,lineitem.l_quantity,lineitem.l_extendedprice,lineitem.l_discount,lineitem.l_tax,lineitem.l_returnflag,lineitem.l_linestatus,lineitem.l_shipdate,lineitem.l_commitdate,lineitem.l_receiptdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_comment,nation.n_nationkey,nation.n_name,nation.n_regionkey,nation.n_comment,orders.o_orderkey,orders.o_custkey,orders.o_orderstatus,orders.o_totalprice,orders.o_orderdate,orders.o_orderpriority,orders.o_clerk,orders.o_shippriority,orders.o_comment,part.p_partkey,part.p_name,part.p_mfgr,part.p_brand,part.p_type,part.p_size,part.p_container,part.p_retailprice,part.p_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_availqty,partsupp.ps_supplycost,partsupp.ps_comment,region.r_regionkey,region.r_name,region.r_comment,supplier.s_suppkey,supplier.s_name,supplier.s_address,supplier.s_nationkey,supplier.s_phone,supplier.s_acctbal,supplier.s_comment
lineitem.l_suppkey,0.555556,0.222222,0.111111,0.363636,0.222222,0.111111,0.166667,0.111111,0.500000,0.555556,1.000000,0.250000,0.400000,0.200000,0.200000,0.222222,0.250000,0.166667,0.400000,0.166667,0.230769,0.285714,0.400000,0.222222,0.363636,0.222222,0.363636,0.111111,0.400000,0.555556,0.076923,0.166667,0.090909,0.200000,0.222222,0.357143,0.111111,0.444444,0.222222,0.111111,0.111111,0.333333,0.333333,0.181818,0.153846,0.111111,0.400000,0.800000,0.181818,0.384615,0.100000,0.363636,0.222222,0.111111,0.888889,0.222222,0.111111,0.363636,0.222222,0.111111,0.111111
lineitem.l_linenumber,0.166667,0.333333,0.083333,0.166667,0.250000,0.166667,0.166667,0.166667,0.333333,0.250000,0.250000,1.000000,0.250000,0.333333,0.333333,0.166667,0.166667,0.500000,0.250000,0.166667,0.230769,0.285714,0.250000,0.250000,0.166667,0.333333,0.166667,0.166667,0.250000,0.166667,0.153846,0.083333,0.250000,0.200000,0.166667,0.142857,0.166667,0.166667,0.333333,0.250000,0.166667,0.166667,0.250000,0.333333,0.076923,0.166667,0.083333,0.083333,0.000000,0.076923,0.083333,0.166667,0.333333,0.166667,0.166667,0.333333,0.083333,0.166667,0.250000,0.166667,0.166667
lineitem.l_quantity,0.400000,0.200000,0.100000,0.272727,0.200000,0.200000,0.083333,0.200000,0.300000,0.500000,0.400000,0.250000,1.000000,0.266667,0.200000,0.300000,0.333333,0.333333,0.300000,0.333333,0.307692,0.285714,0.200000,0.300000,0.272727,0.200000,0.181818,0.200000,0.200000,0.400000,0.230769,0.250000,0.181818,0.266667,0.100000,0.285714,0.200000,0.400000,0.200000,0.100000,0.300000,0.200000,0.200000,0.272727,0.230769,0.200000,0.300000,0.200000,0.363636,0.153846,0.100000,0.181818,0.200000,0.200000,0.300000,0.200000,0.100000,0.272727,0.200000,0.200000,0.200000
lineitem.l_extendedprice,0.133333,0.200000,0.266667,0.200000,0.200000,0.066667,0.200000,0.133333,0.333333,0.200000,0.200000,0.333333,0.266667,1.000000,0.200000,0.200000,0.200000,0.266667,0.266667,0.266667,0.333333,0.266667,0.266667,0.200000,0.200000,0.200000,0.200000,0.133333,0.266667,0.133333,0.133333,0.466667,0.266667,0.266667,0.200000,0.200000,0.133333,0.133333,0.200000,0.133333,0.200000,0.266667,0.200000,0.200000,0.466667,0.133333,0.066667,0.066667,0.000000,0.000000,0.066667,0.200000,0.200000,0.133333,0.133333,0.200000,0.266667,0.200000,0.200000,0.066667,0.133333
lineitem.l_discount,0.200000,0.100000,0.100000,0.181818,0.300000,0.200000,0.333333,0.300000,0.200000,0.200000,0.200000,0.333333,0.200000,0.200000,1.000000,0.200000,0.166667,0.333333,0.200000,0.250000,0.230769,0.428571,0.300000,0.400000,0.181818,0.100000,0.181818,0.300000,0.100000,0.200000,0.230769,0.083333,0.181818,0.266667,0.200000,0.285714,0.300000,0.100000,0.100000,0.100000,0.200000,0.100000,0.200000,0.181818,0.153846,0.300000,0.000000,0.000000,0.090909,0.230769,0.200000,0.181818,0.100000,0.300000,0.100000,0.100000,0.100000,0.181818,0.300000,0.200000,0.300000
lineitem.l_tax,0.222222,0.333333,0.111111,0.181818,0.142857,0.333333,0.166667,0.111111,0.200000,0.333333,0.222222,0.166667,0.300000,0.200000,0.200000,1.000000,0.333333,0.333333,0.300000,0.333333,0.307692,0.214286,0.200000,0.222222,0.181818,0.333333,0.090909,0.111111,0.100000,0.222222,0.230769,0.250000,0.181818,0.066667,0.142857,0.071429,0.111111,0.222222,0.333333,0.166667,0.285714,0.333333,0.166667,0.272727,0.230769,0.111111,0.200000,0.100000,0.181818,0.076923,0.100000,0.090909,0.333333,0.111111,0.111111,0.333333,0.111111,0.181818,0.142857,0.333333,0.111111
lineitem.l_returnflag,0.166667,0.166667,0.166667,0.250000,0.166667,0.166667,0.166667,0.166667,0.250000,0.250000,0.250000,0.166667,0.333333,0.200000,0.166667,0.333333,1.000000,0.166667,0.166667,0.166667,0.384615,0.214286,0.166667,0.250000,0.250000,0.166667,0.333333,0.166667,0.166667,0.166667,0.153846,0.166667,0.166667,0.266667,0.166667,0.142857,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.083333,0.166667,0.307692,0.166667,0.083333,0.083333,0.000000,0.076923,0.083333,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0.250000,0.166667,0.166667,0.166667
lineitem.l_linestatus,0.250000,0.250000,0.250000,0.083333,0.166667,0.166667,0.083333,0.166667,0.250000,0.250000,0.166667,0.500000,0.333333,0.266667,0.333333,0.333333,0.166667,1.000000,0.333333,0.333333,0.384615,0.357143,0.166667,0.250000,0.083333,0.250000,0.083333,0.166667,0.166667,0.250000,0.615385,0.083333,0.333333,0.133333,0.166667,0.142857,0.166667,0.166667,0.250000,0.083333,0.166667,0.166667,0.250000,0.250000,0.076923,0.166667,0.083333,0.000000,0.083333,0.076923,0.083333,0.083333,0.250000,0.166667,0.083333,0.250000,0.250000,0.083333,0.166667,0.166667,0.166667
lineitem.l_shipdate,0.100000,0.300000,0.100000,0.181818,0.300000,0.200000,0.166667,0.200000,0.200000,0.300000,0.400000,0.250000,0.300000,0.266667,0.200000,0.300000,0.166667,0.333333,1.000000,0.583333,0.615385,0.500000,0.700000,0.300000,0.181818,0.300000,0.181818,0.200000,0.100000,0.100000,0.230769,0.250000,0.454545,0.200000,0.100000,0.428571,0.200000,0.200000,0.300000,0.100000,0.200000,0.300000,0.400000,0.181818,0.307692,0.200000,0.200000,0.200000,0.181818,0.230769,0.100000,0.181818,0.300000,0.200000,0.300000,0.300000,0.100000,0.181818,0.300000,0.200000,0.200000
lineitem.l_commitdate,0.250000,0.250000,0.083333,0.166667,0.166667,0.250000,0.083333,0.500000,0.250000,0.250000,0.166667,0.166667,0.333333,0.266667,0.250000,0.333333,0.166667,0.333333,0.583333,1.000000,0.615385,0.285714,0.333333,0.583333,0.166667,0.250000,0.166667,0.500000,0.166667,0.250000,0.230769,0.250000,0.500000,0.200000,0.166667,0.214286,0.500000,0.166667,0.250000,0.166667,0.166667,0.250000,0.250000,0.333333,0.230769,0.500000,0.083333,0.000000,0.166667,0.076923,0.416667,0.166667,0.250000,0.500000,0.083333,0.250000,0.083333,0.166667,0.166667,0.250000,0.500000
lineitem.l_receiptdate,0.230769,0.230769,0.076923,0.153846,0.230769,0.307692,0.153846,0.230769,0.230769,0.230769,0.230769,0.230769,0.307692,0.333333,0.230769,0.307692,0.384615,0.384615,0.615385,0.615385,1.000000,0.285714,0.384615,0.307692,0.153846,0.230769,0.307692,0.230769,0.153846,0.230769,0.307692,0.230769,0.461538,0.266667,0.153846,0.142857,0.230769,0.153846,0.230769,0.076923,0.153846,0.230769,0.230769,0.230769,0.384615,0.230769,0.076923,0.076923,0.153846,0.076923,0.153846,0.307692,0.230769,0.230769,0.153846,0.230769,0.076923,0.153846,0.230769,0.307692,0.230769
lineitem.l_shipinstruct,0.214286,0.142857,0.142857,0.142857,0.214286,0.142857,0.142857,0.214286,0.214286,0.285714,0.285714,0.285714,0.285714,0.266667,0.428571,0.214286,0.214286,0.357143,0.500000,0.285714,0.285714,1.000000,0.428571,0.285714,0.142857,0.142857,0.142857,0.214286,0.142857,0.214286,0.214286,0.214286,0.142857,0.133333,0.142857,0.428571,0.214286,0.214286,0.142857,0.142857,0.142857,0.142857,0.214286,0.214286,0.285714,0.214286,0.214286,0.142857,0.142857,0.214286,0.142857,0.142857,0.142857,0.214286,0.214286,0.142857,0.142857,0.142857,0.214286,0.142857,0.214286
lineitem.l_shipmode,0.100000,0.300000,0.100000,0.181818,0.400000,0.100000,0.166667,0.200000,0.200000,0.200000,0.400000,0.250000,0.200000,0.266667,0.300000,0.200000,0.166667,0.166667,0.700000,0.333333,0.384615,0.428571,1.000000,0.300000,0.181818,0.300000,0.181818,0.200000,0.100000,0.100000,0.076923,0.250000,0.181818,0.200000,0.100000,0.428571,0.200000,0.100000,0.300000,0.200000,0.200000,0.300000,0.400000,0.181818,0.307692,0.200000,0.100000,0.200000,0.090909,0.307692,0.100000,0.181818,0.300000,0.200000,0.300000,0.300000,0.100000,0.181818,0.400000,0.100000,0.200000
lineitem.l_comment,0.222222,0.333333,0.222222,0.181818,0.222222,0.111111,0.416667,0.888889,0.300000,0.222222,0.222222,0.250000,0.300000,0.200000,0.400000,0.222222,0.250000,0.250000,0.300000,0.583333,0.307692,0.285714,0.300000,1.000000,0.181818,0.333333,0.181818,0.888889,0.200000,0.222222,0.230769,0.166667,0.272727,0.200000,0.333333,0.142857,0.888889,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.363636,0.076923,0.888889,0.100000,0.100000,0.181818,0.153846,0.800000,0.181818,0.333333,0.888889,0.111111,0.333333,0.222222,0.181818,0.222222,0.111111,0.888889
nation.n_nationkey,0.363636,0.363636,0.181818,0.909091,0.363636,0.181818,0.250000,0.181818,0.363636,0.454545,0.363636,0.166667,0.272727,0.200000,0.181818,0.181818,0.250000,0.083333,0.181818,0.166667,0.153846,0.142857,0.181818,0.181818,1.000000,0.454545,0.727273,0.272727,0.363636,0.363636,0.076923,0.166667,0.090909,0.266667,0.181818,0.285714,0.181818,0.454545,0.363636,0.090909,0.181818,0.272727,0.272727,0.272727,0.230769,0.181818,0.363636,0.272727,0.181818,0.076923,0.090909,0.636364,0.363636,0.181818,0.363636,0.363636,0.181818,0.909091,0.363636,0.181818,0.181818
nation.n_name,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.250000,0.333333,0.200000,0.333333,0.222222,0.333333,0.200000,0.200000,0.100000,0.333333,0.166667,0.250000,0.300000,0.250000,0.230769,0.142857,0.300000,0.333333,0.454545,1.000000,0.272727,0.444444,0.200000,0.222222,0.153846,0.250000,0.272727,0.133333,0.142857,0.071429,0.333333,0.333333,0.833333,0.166667,0.285714,0.333333,0.333333,0.363636,0.230769,0.333333,0.300000,0.200000,0.181818,0.076923,0.300000,0.181818,0.833333,0.333333,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.333333
nation.n_regionkey,0.363636,0.181818,0.090909,0.636364,0.363636,0.090909,0.166667,0.181818,0.363636,0.363636,0.363636,0.166667,0.181818,0.200000,0.181818,0.090909,0.333333,0.083333,0.181818,0.166667,0.307692,0.142857,0.181818,0.181818,0.727273,0.272727,1.000000,0.272727,0.363636,0.363636,0.230769,0.083333,0.181818,0.400000,0.181818,0.285714,0.181818,0.363636,0.181818,0.181818,0.181818,0.181818,0.272727,0.181818,0.307692,0.181818,0.272727,0.272727,0.181818,0.076923,0.090909,0.909091,0.181818,0.181818,0.363636,0.181818,0.090909,0.636364,0.363636,0.090909,0.181818
nation.n_comment,0.222222,0.333333,0.222222,0.181818,0.222222,0.111111,0.416667,0.888889,0.200000,0.111111,0.111111,0.166667,0.200000,0.133333,0.300000,0.111111,0.166667,0.166667,0.200000,0.500000,0.230769,0.214286,0.200000,0.888889,0.272727,0.444444,0.272727,1.000000,0.200000,0.222222,0.230769,0.166667,0.272727,0.200000,0.333333,0.142857,0.888889,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.363636,0.076923,0.888889,0.100000,0.100000,0.181818,0.153846,0.800000,0.181818,0.333333,0.888889,0.111111,0.333333,0.222222,0.181818,0.222222,0.111111,0.888889
orders.o_orderkey,0.400000,0.200000,0.300000,0.363636,0.200000,0.100000,0.250000,0.200000,0.900000,0.400000,0.400000,0.250000,0.200000,0.266667,0.100000,0.100000,0.166667,0.166667,0.100000,0.166667,0.153846,0.142857,0.100000,0.200000,0.363636,0.200000,0.363636,0.200000,1.000000,0.500000,0.538462,0.333333,0.636364,0.533333,0.500000,0.357143,0.300000,0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,0.272727,0.153846,0.200000,0.300000,0.300000,0.181818,0.076923,0.100000,0.363636,0.200000,0.200000,0.400000,0.200000,0.300000,0.363636,0.200000,0.100000,0.200000
orders.o_custkey,0.888889,0.222222,0.111111,0.363636,0.222222,0.222222,0.250000,0.222222,0.400000,0.555556,0.555556,0.166667,0.400000,0.133333,0.200000,0.222222,0.166667,0.250000,0.100000,0.250000,0.230769,0.214286,0.100000,0.222222,0.363636,0.222222,0.363636,0.222222,0.500000,1.000000,0.307692,0.166667,0.181818,0.200000,0.444444,0.214286,0.333333,0.555556,0.222222,0.111111,0.111111,0.222222,0.333333,0.363636,0.076923,0.222222,0.500000,0.500000,0.181818,0.153846,0.200000,0.363636,0.222222,0.222222,0.555556,0.222222,0.111111,0.363636,0.222222,0.222222,0.222222
orders.o_orderstatus,0.230769,0.153846,0.307692,0.076923,0.076923,0.153846,0.153846,0.230769,0.461538,0.230769,0.076923,0.153846,0.230769,0.133333,0.230769,0.230769,0.153846,0.615385,0.230769,0.230769,0.307692,0.214286,0.076923,0.230769,0.076923,0.153846,0.230769,0.230769,0.538462,0.307692,1.000000,0.153846,0.692308,0.466667,0.307692,0.214286,0.307692,0.230769,0.153846,0.153846,0.230769,0.153846,0.153846,0.153846,0.076923,0.230769,0.153846,0.000000,0.076923,0.000000,0.153846,0.230769,0.153846,0.230769,0.076923,0.153846,0.307692,0.076923,0.076923,0.153846,0.230769
orders.o_totalprice,0.083333,0.250000,0.250000,0.166667,0.250000,0.166667,0.166667,0.166667,0.250000,0.250000,0.166667,0.083333,0.250000,0.466667,0.083333,0.250000,0.166667,0.083333,0.250000,0.250000,0.230769,0.214286,0.250000,0.166667,0.166667,0.250000,0.083333,0.166667,0.333333,0.166667,0.153846,1.000000,0.333333,0.333333,0.333333,0.285714,0.250000,0.250000,0.250000,0.166667,0.166667,0.333333,0.250000,0.333333,0.692308,0.166667,0.166667,0.083333,0.083333,0.153846,0.083333,0.083333,0.250000,0.166667,0.166667,0.250000,0.250000,0.166667,0.250000,0.166667,0.166667
orders.o_orderdate,0.090909,0.272727,0.272727,0.090909,0.181818,0.181818,0.166667,0.272727,0.545455,0.181818,0.090909,0.250000,0.181818,0.266667,0.181818,0.181818,0.166667,0.333333,0.454545,0.500000,0.461538,0.142857,0.181818,0.272727,0.090909,0.272727,0.181818,0.272727,0.636364,0.181818,0.692308,0.333333,1.000000,0.533333,0.363636,0.285714,0.363636,0.181818,0.272727,0.181818,0.272727,0.181818,0.181818,0.090909,0.153846,0.272727,0.090909,0.000000,0.090909,0.076923,0.181818,0.181818,0.272727,0.272727,0.090909,0.272727,0.272727,0.090909,0.181818,0.181818,0.272727
orders.o_orderpriority,0.133333,0.133333,0.200000,0.266667,0.200000,0.066667,0.133333,0.200000,0.466667,0.200000,0.200000,0.200000,0.266667,0.266667,0.266667,0.066667,0.266667,0.133333,0.200000,0.200000,0.266667,0.133333,0.200000,0.200000,0.266667,0.133333,0.400000,0.200000,0.533333,0.200000,0.466667,0.333333,0.533333,1.000000,0.266667,0.666667,0.266667,0.200000,0.133333,0.133333,0.133333,0.133333,0.133333,0.133333,0.333333,0.200000,0.133333,0.133333,0.200000,0.133333,0.133333,0.400000,0.133333,0.200000,0.200000,0.133333,0.200000,0.266667,0.200000,0.066667,0.200000
orders.o_clerk,0.333333,0.142857,0.222222,0.181818,0.142857,0.222222,0.166667,0.333333,0.400000,0.222222,0.222222,0.166667,0.100000,0.200000,0.200000,0.142857,0.166667,0.166667,0.100000,0.166667,0.153846,0.142857,0.100000,0.333333,0.181818,0.142857,0.181818,0.333333,0.500000,0.444444,0.307692,0.333333,0.363636,0.266667,1.000000,0.214286,0.444444,0.222222,0.142857,0.285714,0.142857,0.142857,0.142857,0.272727,0.230769,0.333333,0.200000,0.200000,0.181818,0.153846,0.300000,0.181818,0.142857,0.333333,0.222222,0.142857,0.222222,0.181818,0.142857,0.222222,0.333333
orders.o_shippriority,0.142857,0.071429,0.142857,0.285714,0.214286,0.071429,0.142857,0.142857,0.285714,0.285714,0.357143,0.142857,0.285714,0.200000,0.285714,0.071429,0.142857,0.142857,0.428571,0.214286,0.142857,0.428571,0.428571,0.142857,0.285714,0.071429,0.285714,0.142857,0.357143,0.214286,0.214286,0.285714,0.285714,0.666667,0.214286,1.000000,0.214286,0.285714,0.071429,0.142857,0.142857,0.142857,0.214286,0.142857,0.214286,0.142857,0.285714,0.285714,0.285714,0.285714,0.142857,0.285714,0.071429,0.142857,0.357143,0.071429,0.142857,0.285714,0.214286,0.071429,0.142857
orders.o_comment,0.222222,0.333333,0.222222,0.181818,0.222222,0.111111,0.416667,0.888889,0.200000,0.111111,0.111111,0.166667,0.200000,0.133333,0.300000,0.111111,0.166667,0.166667,0.200000,0.500000,0.230769,0.214286,0.200000,0.888889,0.181818,0.333333,0.181818,0.888889,0.300000,0.333333,0.307692,0.250000,0.363636,0.266667,0.444444,0.214286,1.000000,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.363636,0.076923,0.888889,0.100000,0.100000,0.181818,0.153846,0.800000,0.181818,0.333333,0.888889,0.111111,0.333333,0.222222,0.181818,0.222222,0.111111,0.888889
part.p_partkey,0.555556,0.333333,0.222222,0.454545,0.333333,0.222222,0.166667,0.111111,0.400000,0.888889,0.444444,0.166667,0.400000,0.133333,0.100000,0.222222,0.166667,0.166667,0.200000,0.166667,0.153846,0.214286,0.100000,0.111111,0.454545,0.333333,0.363636,0.111111,0.400000,0.555556,0.230769,0.250000,0.181818,0.200000,0.222222,0.285714,0.111111,1.000000,0.444444,0.222222,0.333333,0.333333,0.333333,0.363636,0.307692,0.222222,0.900000,0.500000,0.363636,0.230769,0.200000,0.363636,0.333333,0.111111,0.444444,0.333333,0.222222,0.454545,0.333333,0.222222,0.111111
part.p_name,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.250000,0.333333,0.200000,0.333333,0.222222,0.333333,0.200000,0.200000,0.100000,0.333333,0.166667,0.250000,0.300000,0.250000,0.230769,0.142857,0.300000,0.333333,0.363636,0.833333,0.181818,0.333333,0.200000,0.222222,0.153846,0.250000,0.272727,0.133333,0.142857,0.071429,0.333333,0.444444,1.000000,0.333333,0.428571,0.500000,0.500000,0.454545,0.307692,0.444444,0.400000,0.300000,0.272727,0.153846,0.400000,0.181818,0.833333,0.333333,0.222222,0.833333,0.222222,0.363636,0.285714,0.111111,0.333333
part.p_mfgr,0.111111,0.166667,0.222222,0.090909,0.142857,0.111111,0.250000,0.222222,0.200000,0.111111,0.111111,0.250000,0.100000,0.133333,0.100000,0.166667,0.166667,0.083333,0.100000,0.166667,0.076923,0.142857,0.200000,0.222222,0.090909,0.166667,0.181818,0.222222,0.200000,0.111111,0.153846,0.166667,0.181818,0.133333,0.285714,0.142857,0.222222,0.222222,0.333333,1.000000,0.285714,0.333333,0.333333,0.272727,0.230769,0.333333,0.200000,0.200000,0.181818,0.153846,0.300000,0.181818,0.166667,0.222222,0.111111,0.166667,0.222222,0.090909,0.142857,0.111111,0.222222
