,customer.c_custkey,customer.c_name,customer.c_address,customer.c_nationkey,customer.c_phone,customer.c_acctbal,customer.c_mktsegment,customer.c_comment,lineitem.l_orderkey,lineitem.l_partkey,lineitem.l_suppkey,lineitem.l_linenumber,lineitem.l_quantity,lineitem.l_extendedprice,lineitem.l_discount,lineitem.l_tax,lineitem.l_returnflag,lineitem.l_linestatus,lineitem.l_shipdate,lineitem.l_commitdate,lineitem.l_receiptdate,lineitem.l_shipinstruct,lineitem.l_shipmode,lineitem.l_comment,nation.n_nationkey,nation.n_name,nation.n_regionkey,nation.n_comment,orders.o_orderkey,orders.o_custkey,orders.o_orderstatus,orders.o_totalprice,orders.o_orderdate,orders.o_orderpriority,orders.o_clerk,orders.o_shippriority,orders.o_comment,part.p_partkey,part.p_name,part.p_mfgr,part.p_brand,part.p_type,part.p_size,part.p_container,part.p_retailprice,part.p_comment,partsupp.ps_partkey,partsupp.ps_suppkey,partsupp.ps_availqty,partsupp.ps_supplycost,partsupp.ps_comment,region.r_regionkey,region.r_name,region.r_comment,supplier.s_suppkey,supplier.s_name,supplier.s_address,supplier.s_nationkey,supplier.s_phone,supplier.s_acctbal,supplier.s_comment
lineitem.l_quantity,0.014703,0.240193,0.216179,0.107600,0.251450,0.253004,0.291822,0.552832,0.014703,0.131414,0.010678,0.014703,0.000000,0.431025,0.054168,0.062405,0.737125,1.104151,0.286402,0.286402,0.286402,0.386285,0.318102,0.213157,0.084004,0.304521,0.084004,0.619562,0.014703,0.027870,0.737125,1.564559,0.286402,0.279877,0.251450,1.878520,0.411281,0.014703,0.262011,0.258440,0.300383,0.217011,0.051305,0.299657,0.134337,0.239918,0.014703,0.140508,0.078234,0.021847,1.089253,0.084004,0.299226,0.615199,0.014703,0.240193,0.192959,0.056425,0.251450,0.082579,0.319236
lineitem.l_extendedprice,0.416793,0.468580,0.444566,0.493311,0.479837,0.549747,0.520210,0.781219,0.416793,0.498856,0.420347,0.416793,0.431025,0.000000,0.439879,0.448116,0.965512,1.332538,0.514789,0.514789,0.514789,0.614672,0.546489,0.441545,0.469715,0.532909,0.469715,0.847949,0.416793,0.403155,0.965512,1.133534,0.514789,0.508264,0.479837,2.106907,0.639668,0.416793,0.490398,0.486828,0.528770,0.445398,0.437016,0.528044,0.544154,0.468305,0.416793,0.525690,0.358962,0.409179,1.317641,0.469715,0.527613,0.843586,0.416793,0.468580,0.421346,0.442136,0.479837,0.390585,0.547623
lineitem.l_discount,0.039465,0.207402,0.183388,0.053634,0.218659,0.199379,0.259032,0.520042,0.039465,0.077789,0.044370,0.039465,0.054168,0.439879,0.000000,0.008237,0.704334,1.071361,0.253611,0.253611,0.253611,0.353495,0.285311,0.180367,0.029885,0.271731,0.029885,0.586771,0.039465,0.047526,0.704334,1.537528,0.253611,0.247087,0.218659,1.845729,0.378491,0.039465,0.229220,0.225650,0.267592,0.184220,0.002863,0.266867,0.188340,0.207127,0.039465,0.086789,0.132401,0.047930,1.056463,0.029885,0.266435,0.582409,0.039465,0.207402,0.160168,0.002490,0.218659,0.053736,0.286446
lineitem.l_tax,0.047702,0.215639,0.191625,0.045398,0.226896,0.191142,0.267269,0.528279,0.047702,0.069552,0.052607,0.047702,0.062405,0.448116,0.008237,0.000000,0.712571,1.079598,0.261848,0.261848,0.261848,0.361732,0.293548,0.188604,0.021649,0.279968,0.021649,0.595008,0.047702,0.055763,0.712571,1.545765,0.261848,0.255324,0.226896,1.853966,0.386728,0.047702,0.237457,0.233887,0.275829,0.192457,0.011100,0.275104,0.196577,0.215364,0.047702,0.078552,0.140638,0.056167,1.064700,0.021649,0.274672,0.590646,0.047702,0.215639,0.168405,0.005980,0.226896,0.061973,0.294683
lineitem.l_returnflag,0.722892,0.608482,0.650316,0.757767,0.587511,0.814203,0.547139,1.045675,0.722892,0.763312,0.726446,0.722892,0.737125,0.965512,0.704334,0.712571,0.000000,0.367026,0.552559,0.552559,0.552559,0.350839,0.520859,0.691476,0.734170,0.534440,0.734170,1.112404,0.722892,0.709254,0.000000,2.063161,0.552559,0.559084,0.587511,1.141395,0.904124,0.722892,0.734666,0.580521,0.538579,0.631664,0.701472,0.539304,0.850253,0.599044,0.722892,0.790146,0.684892,0.715278,1.582096,0.734170,0.539736,1.108042,0.722892,0.608482,0.685801,0.706591,0.587511,0.659113,0.812079
lineitem.l_linestatus,1.089918,0.975509,1.017343,1.124793,0.954538,1.181229,0.914165,1.412701,1.089918,1.130338,1.093473,1.089918,1.104151,1.332538,1.071361,1.079598,0.367026,0.000000,0.919586,0.919586,0.919586,0.717866,0.887886,1.058503,1.101196,0.901466,1.101196,1.479430,1.089918,1.076281,0.367026,2.430187,0.919586,0.926110,0.954538,0.774369,1.271150,1.089918,1.101693,0.947547,0.905605,0.998691,1.068498,0.906331,1.217279,0.966070,1.089918,1.157172,1.051918,1.082305,1.949122,1.101196,0.906762,1.475068,1.089918,0.975509,1.052827,1.073618,0.954538,1.026140,1.179105
lineitem.l_shipdate,0.272169,0.055923,0.097757,0.307044,0.034952,0.363480,0.012713,0.493115,0.272169,0.312589,0.275724,0.272169,0.286402,0.514789,0.253611,0.261848,0.552559,0.919586,0.000000,0.000000,0.000000,0.289355,0.048957,0.138917,0.283447,0.033760,0.283447,0.559845,0.272169,0.258532,0.552559,1.612438,0.000000,0.048187,0.034952,1.693954,0.351564,0.272169,0.182107,0.027962,0.013981,0.079105,0.250749,0.026702,0.399530,0.046484,0.272169,0.339423,0.234169,0.264555,1.029537,0.283447,0.042393,0.555482,0.272169,0.055923,0.133242,0.255869,0.034952,0.208390,0.259519
lineitem.l_commitdate,0.272169,0.055923,0.097757,0.307044,0.034952,0.363480,0.012713,0.493115,0.272169,0.312589,0.275724,0.272169,0.286402,0.514789,0.253611,0.261848,0.552559,0.919586,0.000000,0.000000,0.000000,0.289355,0.048957,0.138917,0.283447,0.033760,0.283447,0.559845,0.272169,0.258532,0.552559,1.612438,0.000000,0.048187,0.034952,1.693954,0.351564,0.272169,0.182107,0.027962,0.013981,0.079105,0.250749,0.026702,0.399530,0.046484,0.272169,0.339423,0.234169,0.264555,1.029537,0.283447,0.042393,0.555482,0.272169,0.055923,0.133242,0.255869,0.034952,0.208390,0.259519
lineitem.l_receiptdate,0.272169,0.055923,0.097757,0.307044,0.034952,0.363480,0.012713,0.493115,0.272169,0.312589,0.275724,0.272169,0.286402,0.514789,0.253611,0.261848,0.552559,0.919586,0.000000,0.000000,0.000000,0.289355,0.048957,0.138917,0.283447,0.033760,0.283447,0.559845,0.272169,0.258532,0.552559,1.612438,0.000000,0.048187,0.034952,1.693954,0.351564,0.272169,0.182107,0.027962,0.013981,0.079105,0.250749,0.026702,0.399530,0.046484,0.272169,0.339423,0.234169,0.264555,1.029537,0.283447,0.042393,0.555482,0.272169,0.055923,0.133242,0.255869,0.034952,0.208390,0.259519
lineitem.l_shipinstruct,0.372053,0.316999,0.299477,0.406927,0.301776,0.463363,0.280721,0.694835,0.372053,0.412472,0.375607,0.372053,0.386285,0.614672,0.353495,0.361732,0.350839,0.717866,0.289355,0.289355,0.289355,0.000000,0.278892,0.350212,0.383331,0.272339,0.383331,0.761565,0.372053,0.358415,0.350839,1.712321,0.289355,0.247695,0.301776,1.492234,0.553284,0.372053,0.399065,0.297660,0.289281,0.318795,0.350632,0.274502,0.499414,0.285202,0.372053,0.439306,0.334053,0.364439,1.231256,0.383331,0.260016,0.757202,0.372053,0.316999,0.334962,0.355752,0.301776,0.308274,0.461239
lineitem.l_shipmode,0.303869,0.104880,0.129457,0.338744,0.083909,0.395180,0.036244,0.524815,0.303869,0.344289,0.307424,0.303869,0.318102,0.546489,0.285311,0.293548,0.520859,0.887886,0.048957,0.048957,0.048957,0.278892,0.000000,0.170617,0.315147,0.015197,0.315147,0.591545,0.303869,0.290231,0.520859,1.644138,0.048957,0.038224,0.083909,1.662254,0.383264,0.303869,0.213807,0.076918,0.034976,0.110805,0.282449,0.022255,0.431230,0.078184,0.303869,0.371123,0.265869,0.296255,1.061236,0.315147,0.018876,0.587182,0.303869,0.104880,0.164942,0.287569,0.083909,0.240090,0.291219
lineitem.l_comment,0.198925,0.082994,0.083217,0.233799,0.103965,0.290235,0.144338,0.354198,0.198925,0.239344,0.202479,0.198925,0.213157,0.441545,0.180367,0.188604,0.691476,1.058503,0.138917,0.138917,0.138917,0.350212,0.170617,0.000000,0.210203,0.157037,0.210203,0.420928,0.198925,0.185287,0.691476,1.539193,0.138917,0.132392,0.103965,1.832871,0.212647,0.198925,0.048853,0.110956,0.152898,0.059812,0.177504,0.152172,0.326286,0.092433,0.198925,0.266178,0.160925,0.191311,0.890619,0.210203,0.151741,0.416565,0.198925,0.082994,0.038119,0.182624,0.103965,0.135146,0.120602
nation.n_nationkey,0.069301,0.237238,0.213224,0.023749,0.248495,0.169494,0.288868,0.549878,0.069301,0.047904,0.074206,0.069301,0.084004,0.469715,0.029885,0.021649,0.734170,1.101196,0.283447,0.283447,0.283447,0.383331,0.315147,0.210203,0.000000,0.301567,0.000000,0.616607,0.069301,0.077362,0.734170,1.567363,0.283447,0.276923,0.248495,1.875565,0.408327,0.069301,0.259056,0.255486,0.297428,0.214056,0.032698,0.296703,0.218176,0.236963,0.069301,0.056904,0.162237,0.077766,1.086299,0.000000,0.296271,0.612245,0.069301,0.237238,0.190004,0.027579,0.248495,0.083572,0.316281
nation.n_name,0.290289,0.089683,0.115876,0.325163,0.068712,0.381599,0.021047,0.511235,0.290289,0.330708,0.293843,0.290289,0.304521,0.532909,0.271731,0.279968,0.534440,0.901466,0.033760,0.033760,0.033760,0.272339,0.015197,0.157037,0.301567,0.000000,0.301567,0.577964,0.290289,0.276651,0.534440,1.630557,0.033760,0.024644,0.068712,1.675835,0.369684,0.290289,0.200226,0.061721,0.022654,0.097224,0.268868,0.007058,0.417650,0.064604,0.290289,0.357542,0.252289,0.282675,1.047656,0.301567,0.012323,0.573602,0.290289,0.089683,0.151361,0.273988,0.068712,0.226510,0.277639
nation.n_regionkey,0.069301,0.237238,0.213224,0.023749,0.248495,0.169494,0.288868,0.549878,0.069301,0.047904,0.074206,0.069301,0.084004,0.469715,0.029885,0.021649,0.734170,1.101196,0.283447,0.283447,0.283447,0.383331,0.315147,0.210203,0.000000,0.301567,0.000000,0.616607,0.069301,0.077362,0.734170,1.567363,0.283447,0.276923,0.248495,1.875565,0.408327,0.069301,0.259056,0.255486,0.297428,0.214056,0.032698,0.296703,0.218176,0.236963,0.069301,0.056904,0.162237,0.077766,1.086299,0.000000,0.296271,0.612245,0.069301,0.237238,0.190004,0.027579,0.248495,0.083572,0.316281
nation.n_comment,0.605329,0.503922,0.462088,0.640204,0.524893,0.696640,0.565265,0.066729,0.605329,0.645749,0.608883,0.605329,0.619562,0.847949,0.586771,0.595008,1.112404,1.479430,0.559845,0.559845,0.559845,0.761565,0.591545,0.420928,0.616607,0.577964,0.616607,0.000000,0.605329,0.591691,1.112404,1.945597,0.559845,0.553320,0.524893,2.253799,0.208280,0.605329,0.377738,0.531883,0.573825,0.480740,0.583908,0.573100,0.732690,0.513360,0.605329,0.672583,0.567329,0.597715,0.469692,0.616607,0.572668,0.221029,0.605329,0.503922,0.426603,0.589028,0.524893,0.541550,0.300325
orders.o_orderkey,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
orders.o_custkey,0.013638,0.212322,0.188308,0.100958,0.223580,0.229020,0.263952,0.524962,0.013638,0.110125,0.017192,0.013638,0.027870,0.403155,0.047526,0.055763,0.709254,1.076281,0.258532,0.258532,0.258532,0.358415,0.290231,0.185287,0.077362,0.276651,0.077362,0.591691,0.013638,0.000000,0.709254,1.536688,0.258532,0.252007,0.223580,1.850649,0.383411,0.013638,0.234140,0.230570,0.272512,0.189141,0.044663,0.271787,0.149643,0.212047,0.013638,0.133337,0.084876,0.006024,1.061383,0.077362,0.271355,0.587329,0.013638,0.212322,0.165088,0.049783,0.223580,0.060374,0.291366
orders.o_orderstatus,0.722892,0.608482,0.650316,0.757767,0.587511,0.814203,0.547139,1.045675,0.722892,0.763312,0.726446,0.722892,0.737125,0.965512,0.704334,0.712571,0.000000,0.367026,0.552559,0.552559,0.552559,0.350839,0.520859,0.691476,0.734170,0.534440,0.734170,1.112404,0.722892,0.709254,0.000000,2.063161,0.552559,0.559084,0.587511,1.141395,0.904124,0.722892,0.734666,0.580521,0.538579,0.631664,0.701472,0.539304,0.850253,0.599044,0.722892,0.790146,0.684892,0.715278,1.582096,0.734170,0.539736,1.108042,0.722892,0.608482,0.685801,0.706591,0.587511,0.659113,0.812079
orders.o_totalprice,1.550326,1.566229,1.542214,1.590960,1.577486,1.647396,1.617858,1.878868,1.550326,1.596505,1.553880,1.550326,1.564559,1.133534,1.537528,1.545765,2.063161,2.430187,1.612438,1.612438,1.612438,1.712321,1.644138,1.539193,1.567363,1.630557,1.567363,1.945597,1.550326,1.536688,2.063161,0.000000,1.612438,1.605913,1.577486,3.204556,1.737317,1.550326,1.588047,1.584476,1.626419,1.543047,1.534665,1.625693,1.677687,1.565954,1.550326,1.623339,1.492495,1.542712,2.415289,1.567363,1.625261,1.941235,1.550326,1.566229,1.518994,1.539785,1.577486,1.488233,1.645272
orders.o_orderdate,0.272169,0.055923,0.097757,0.307044,0.034952,0.363480,0.012713,0.493115,0.272169,0.312589,0.275724,0.272169,0.286402,0.514789,0.253611,0.261848,0.552559,0.919586,0.000000,0.000000,0.000000,0.289355,0.048957,0.138917,0.283447,0.033760,0.283447,0.559845,0.272169,0.258532,0.552559,1.612438,0.000000,0.048187,0.034952,1.693954,0.351564,0.272169,0.182107,0.027962,0.013981,0.079105,0.250749,0.026702,0.399530,0.046484,0.272169,0.339423,0.234169,0.264555,1.029537,0.283447,0.042393,0.555482,0.272169,0.055923,0.133242,0.255869,0.034952,0.208390,0.259519
orders.o_orderpriority,0.265645,0.089738,0.091232,0.300519,0.068767,0.356955,0.035474,0.486591,0.265645,0.306064,0.269199,0.265645,0.279877,0.508264,0.247087,0.255324,0.559084,0.926110,0.048187,0.048187,0.048187,0.247695,0.038224,0.132392,0.276923,0.024644,0.276923,0.553320,0.265645,0.252007,0.559084,1.605913,0.048187,0.000000,0.068767,1.700479,0.345040,0.265645,0.175582,0.064651,0.041587,0.091534,0.244224,0.026807,0.393006,0.057941,0.265645,0.332898,0.227645,0.258031,1.023012,0.276923,0.019348,0.548958,0.265645,0.089738,0.126717,0.249344,0.068767,0.201866,0.252995
orders.o_clerk,0.237217,0.020971,0.090913,0.272092,0.000000,0.328528,0.047665,0.458163,0.237217,0.277637,0.240772,0.237217,0.251450,0.479837,0.218659,0.226896,0.587511,0.954538,0.034952,0.034952,0.034952,0.301776,0.083909,0.103965,0.248495,0.068712,0.248495,0.524893,0.237217,0.223580,0.587511,1.577486,0.034952,0.068767,0.000000,1.728906,0.316612,0.237217,0.147155,0.006990,0.048933,0.044153,0.215797,0.061654,0.364578,0.025587,0.237217,0.304471,0.199217,0.229603,0.994585,0.248495,0.074470,0.520530,0.237217,0.020971,0.098290,0.220917,0.000000,0.173438,0.224567
orders.o_shippriority,1.864287,1.749877,1.791711,1.899162,1.728906,1.955598,1.688534,2.187070,1.864287,1.904707,1.867841,1.864287,1.878520,2.106907,1.845729,1.853966,1.141395,0.774369,1.693954,1.693954,1.693954,1.492234,1.662254,1.832871,1.875565,1.675835,1.875565,2.253799,1.864287,1.850649,1.141395,3.204556,1.693954,1.700479,1.728906,0.000000,2.045519,1.864287,1.876061,1.721916,1.679974,1.773059,1.842867,1.680699,1.991648,1.740439,1.864287,1.931541,1.826287,1.856673,2.723491,1.875565,1.681131,2.249437,1.864287,1.749877,1.827196,1.847986,1.728906,1.800508,1.953474
orders.o_comment,0.397049,0.295641,0.253807,0.431923,0.316612,0.488359,0.356985,0.141551,0.397049,0.437468,0.400603,0.397049,0.411281,0.639668,0.378491,0.386728,0.904124,1.271150,0.351564,0.351564,0.351564,0.553284,0.383264,0.212647,0.408327,0.369684,0.408327,0.208280,0.397049,0.383411,0.904124,1.737317,0.351564,0.345040,0.316612,2.045519,0.000000,0.397049,0.169457,0.323603,0.365545,0.272460,0.375628,0.364820,0.524410,0.305080,0.397049,0.464302,0.359049,0.389435,0.677972,0.408327,0.364388,0.224999,0.397049,0.295641,0.218323,0.380748,0.316612,0.333270,0.092045
part.p_partkey,0.000000,0.225960,0.201946,0.093027,0.237217,0.238771,0.277590,0.538600,0.000000,0.117181,0.004905,0.000000,0.014703,0.416793,0.039465,0.047702,0.722892,1.089918,0.272169,0.272169,0.272169,0.372053,0.303869,0.198925,0.069301,0.290289,0.069301,0.605329,0.000000,0.013638,0.722892,1.550326,0.272169,0.265645,0.237217,1.864287,0.397049,0.000000,0.247778,0.244208,0.286150,0.202778,0.036806,0.285425,0.148875,0.225685,0.000000,0.126181,0.092936,0.008465,1.075021,0.069301,0.284993,0.600967,0.000000,0.225960,0.178726,0.041882,0.237217,0.068237,0.305003
part.p_name,0.247778,0.126184,0.132070,0.282653,0.147155,0.339089,0.187527,0.311008,0.247778,0.288198,0.251332,0.247778,0.262011,0.490398,0.229220,0.237457,0.734666,1.101693,0.182107,0.182107,0.182107,0.399065,0.213807,0.048853,0.259056,0.200226,0.259056,0.377738,0.247778,0.234140,0.734666,1.588047,0.182107,0.175582,0.147155,1.876061,0.169457,0.247778,0.000000,0.154145,0.196088,0.103002,0.226358,0.195362,0.375139,0.135623,0.247778,0.315032,0.209778,0.240164,0.847430,0.259056,0.194930,0.373375,0.247778,0.126184,0.084098,0.231478,0.147155,0.183999,0.105521
part.p_mfgr,0.244208,0.027961,0.090877,0.279082,0.006990,0.335518,0.040674,0.465154,0.244208,0.284627,0.247762,0.244208,0.258440,0.486828,0.225650,0.233887,0.580521,0.947547,0.027962,0.027962,0.027962,0.297660,0.076918,0.110956,0.255486,0.061721,0.255486,0.531883,0.244208,0.230570,0.580521,1.584476,0.027962,0.064651,0.006990,1.721916,0.323603,0.244208,0.154145,0.000000,0.041942,0.051143,0.222787,0.054663,0.371569,0.025550,0.244208,0.311461,0.206208,0.236594,1.001575,0.255486,0.067480,0.527521,0.244208,0.027961,0.105280,0.227907,0.006990,0.180429,0.231558
