table_i,table_j,n_cols_i,n_cols_j,n_cross_pairs,n_matches,raw_sim,M_max,CR,Sim_T,norm_changed
BuyingGroups,CustomerCategories,5,5,25,5,0.760988,5,1.0,0.760988,False
BuyingGroups,SupplierCategories,5,5,25,5,0.760928,5,1.0,0.760928,False
BuyingGroups,PaymentMethods,5,5,25,5,0.760285,5,1.0,0.760285,False
People,TransactionTypes,21,5,105,5,0.760282,5,1.0,0.760282,False
PackageTypes,StateProvinces,5,10,50,5,0.760104,5,1.0,0.760104,False
StockItems,TransactionTypes,25,5,125,5,0.759961,5,1.0,0.759961,False
Colors,DeliveryMethods,5,5,25,5,0.759101,5,1.0,0.759101,False
Cities,DeliveryMethods,8,5,40,5,0.757302,5,1.0,0.757302,False
Cities,PackageTypes,8,5,40,5,0.756975,5,1.0,0.756975,False
DeliveryMethods,PackageTypes,5,5,25,5,0.755816,5,1.0,0.755816,False
BuyingGroups,StateProvinces,5,10,50,5,0.755037,5,1.0,0.755037,False
StockGroups,TransactionTypes,5,5,25,5,0.753675,5,1.0,0.753675,False
StockItemHoldings,StockItemStockGroups,9,5,45,5,0.753453,5,1.0,0.753453,False
BuyingGroups,PackageTypes,5,5,25,5,0.753445,5,1.0,0.753445,False
PaymentMethods,TransactionTypes,5,5,25,5,0.752986,5,1.0,0.752986,False
BuyingGroups,StockItems,5,25,125,5,0.75222,5,1.0,0.75222,False
PaymentMethods,StateProvinces,5,10,50,5,0.751582,5,1.0,0.751582,False
BuyingGroups,Colors,5,5,25,5,0.750162,5,1.0,0.750162,False
PurchaseOrderLines,StockItemStockGroups,12,5,60,5,0.749211,5,1.0,0.749211,False
BuyingGroups,Cities,5,8,40,5,0.748625,5,1.0,0.748625,False
PaymentMethods,SupplierCategories,5,5,25,5,0.748018,5,1.0,0.748018,False
BuyingGroups,TransactionTypes,5,5,25,5,0.747951,5,1.0,0.747951,False
DeliveryMethods,StateProvinces,5,10,50,5,0.746665,5,1.0,0.746665,False
DeliveryMethods,StockItems,5,25,125,5,0.746163,5,1.0,0.746163,False
CustomerCategories,PackageTypes,5,5,25,5,0.745491,5,1.0,0.745491,False
PackageTypes,SupplierCategories,5,5,25,5,0.745421,5,1.0,0.745421,False
Colors,PaymentMethods,5,5,25,5,0.743312,5,1.0,0.743312,False
OrderLines,StockItemStockGroups,12,5,60,5,0.741593,5,1.0,0.741593,False
Cities,PaymentMethods,8,5,40,5,0.741541,5,1.0,0.741541,False
InvoiceLines,StockItemStockGroups,13,5,65,5,0.741527,5,1.0,0.741527,False
DeliveryMethods,StockGroups,5,5,25,5,0.739033,5,1.0,0.739033,False
Colors,TransactionTypes,5,5,25,5,0.734727,5,1.0,0.734727,False
BuyingGroups,DeliveryMethods,5,5,25,5,0.733298,5,1.0,0.733298,False
Colors,PackageTypes,5,5,25,5,0.728203,5,1.0,0.728203,False
PaymentMethods,StockGroups,5,5,25,5,0.721977,5,1.0,0.721977,False
DeliveryMethods,TransactionTypes,5,5,25,5,0.715716,5,1.0,0.715716,False
CustomerCategories,TransactionTypes,5,5,25,5,0.712881,5,1.0,0.712881,False
SupplierCategories,TransactionTypes,5,5,25,5,0.712822,5,1.0,0.712822,False
StockItemTransactions,SupplierTransactions,11,15,165,11,0.71132,11,1.0,0.71132,False
Cities,Customers,8,31,248,8,0.69211,8,1.0,0.69211,False
CustomerTransactions,TransactionTypes,14,5,70,5,0.690252,5,1.0,0.690252,False
SupplierTransactions,TransactionTypes,15,5,75,5,0.690208,5,1.0,0.690208,False
CustomerTransactions,StockItemTransactions,14,11,154,11,0.686435,11,1.0,0.686435,False
PurchaseOrders,Suppliers,12,29,348,12,0.683027,12,1.0,0.683027,False
Cities,Suppliers,8,29,232,8,0.677682,8,1.0,0.677682,False
OrderLines,StockItemHoldings,12,9,108,9,0.670564,9,1.0,0.670564,False
ColdRoomTemperatures,VehicleTemperatures,6,8,48,6,0.664387,6,1.0,0.664387,False
OrderLines,PurchaseOrderLines,12,12,144,12,0.661419,12,1.0,0.661419,False
StockItemStockGroups,StockItems,5,25,125,5,0.660137,5,1.0,0.660137,False
StockItemTransactions,TransactionTypes,11,5,55,5,0.650506,5,1.0,0.650506,False
PurchaseOrders,SupplierTransactions,12,15,180,12,0.648666,12,1.0,0.648666,False
DeliveryMethods,Invoices,5,25,125,5,0.646353,5,1.0,0.646353,False
Cities,StockItems,8,25,200,8,0.645811,8,1.0,0.645811,False
Invoices,StockItemStockGroups,25,5,125,5,0.645683,5,1.0,0.645683,False
PurchaseOrders,StockItemStockGroups,12,5,60,5,0.644818,5,1.0,0.644818,False
InvoiceLines,StockItemTransactions,13,11,143,11,0.640984,11,1.0,0.640984,False
Invoices,StockItemTransactions,25,11,275,11,0.638959,11,1.0,0.638959,False
Orders,StockItemStockGroups,16,5,80,5,0.638892,5,1.0,0.638892,False
StockItemStockGroups,SupplierTransactions,5,15,75,5,0.633479,5,1.0,0.633479,False
CustomerCategories,SpecialDeals,5,14,70,5,0.633066,5,1.0,0.633066,False
InvoiceLines,StockItemHoldings,13,9,117,9,0.630109,9,1.0,0.630109,False
OrderLines,StockItems,12,25,300,12,0.629299,12,1.0,0.629299,False
SpecialDeals,StockGroups,14,5,70,5,0.628576,5,1.0,0.628576,False
InvoiceLines,PurchaseOrderLines,13,12,156,12,0.627101,12,1.0,0.627101,False
ColdRoomTemperatures,Colors,6,5,30,5,0.624629,5,1.0,0.624629,False
BuyingGroups,SpecialDeals,5,14,70,5,0.624332,5,1.0,0.624332,False
PaymentMethods,SupplierTransactions,5,15,75,5,0.623391,5,1.0,0.623391,False
CustomerTransactions,PaymentMethods,14,5,70,5,0.62322,5,1.0,0.62322,False
Cities,People,8,21,168,8,0.623199,8,1.0,0.623199,False
OrderLines,StockItemTransactions,12,11,132,11,0.621706,11,1.0,0.621706,False
OrderLines,SpecialDeals,12,14,168,12,0.616417,12,1.0,0.616417,False
CustomerTransactions,StockItemStockGroups,14,5,70,5,0.615244,5,1.0,0.615244,False
OrderLines,PackageTypes,12,5,60,5,0.615238,5,1.0,0.615238,False
InvoiceLines,SpecialDeals,13,14,182,13,0.613097,13,1.0,0.613097,False
OrderLines,Orders,12,16,192,12,0.611959,12,1.0,0.611959,False
StockItemStockGroups,SystemParameters,5,13,65,5,0.610375,5,1.0,0.610375,False
ColdRoomTemperatures,Customers,6,31,186,6,0.609876,6,1.0,0.609876,False
SpecialDeals,StockItemTransactions,14,11,154,11,0.60708,11,1.0,0.60708,False
ColdRoomTemperatures,CustomerCategories,6,5,30,5,0.60658,5,1.0,0.60658,False
ColdRoomTemperatures,StockItems,6,25,150,6,0.605956,6,1.0,0.605956,False
StockItemHoldings,StockItemTransactions,9,11,99,9,0.605173,9,1.0,0.605173,False
InvoiceLines,StockItems,13,25,325,13,0.604489,13,1.0,0.604489,False
ColdRoomTemperatures,Suppliers,6,29,174,6,0.604001,6,1.0,0.604001,False
Customers,StateProvinces,31,10,310,10,0.603436,10,1.0,0.603436,False
StockItemTransactions,StockItems,11,25,275,11,0.601619,11,1.0,0.601619,False
PackageTypes,PurchaseOrderLines,5,12,60,5,0.601042,5,1.0,0.601042,False
StateProvinces,Suppliers,10,29,290,10,0.601004,10,1.0,0.601004,False
StateProvinces,StockItems,10,25,250,10,0.598748,10,1.0,0.598748,False
ColdRoomTemperatures,StateProvinces,6,10,60,6,0.598117,6,1.0,0.598117,False
DeliveryMethods,SystemParameters,5,13,65,5,0.597981,5,1.0,0.597981,False
Customers,SpecialDeals,31,14,434,14,0.597415,14,1.0,0.597415,False
PurchaseOrderLines,PurchaseOrders,12,12,144,12,0.594159,12,1.0,0.594159,False
ColdRoomTemperatures,People,6,21,126,6,0.593652,6,1.0,0.593652,False
DeliveryMethods,PurchaseOrders,5,12,60,5,0.593099,5,1.0,0.593099,False
ColdRoomTemperatures,DeliveryMethods,6,5,30,5,0.592698,5,1.0,0.592698,False
ColdRoomTemperatures,SupplierCategories,6,5,30,5,0.590736,5,1.0,0.590736,False
PurchaseOrderLines,StockItemHoldings,12,9,108,9,0.58901,9,1.0,0.58901,False
Customers,Invoices,31,25,775,25,0.585902,25,1.0,0.585902,False
SpecialDeals,StockItemHoldings,14,9,126,9,0.585506,9,1.0,0.585506,False
StockGroups,StockItemStockGroups,5,5,25,5,0.584411,5,1.0,0.584411,False
ColdRoomTemperatures,PaymentMethods,6,5,30,5,0.583626,5,1.0,0.583626,False
PurchaseOrderLines,StockItemTransactions,12,11,132,11,0.582307,11,1.0,0.582307,False
PurchaseOrders,SupplierCategories,12,5,60,5,0.581726,5,1.0,0.581726,False
InvoiceLines,PackageTypes,13,5,65,5,0.580733,5,1.0,0.580733,False
SupplierCategories,SupplierTransactions,5,15,75,5,0.579481,5,1.0,0.579481,False
People,StateProvinces,21,10,210,10,0.579201,10,1.0,0.579201,False
CustomerTransactions,Invoices,14,25,350,14,0.577282,14,1.0,0.577282,False
ColdRoomTemperatures,PackageTypes,6,5,30,5,0.576862,5,1.0,0.576862,False
CustomerCategories,Invoices,5,25,125,5,0.576493,5,1.0,0.576493,False
PurchaseOrders,StockItemTransactions,12,11,132,11,0.576231,11,1.0,0.576231,False
CustomerTransactions,InvoiceLines,14,13,182,13,0.575236,13,1.0,0.575236,False
ColdRoomTemperatures,StockGroups,6,5,30,5,0.57444,5,1.0,0.57444,False
Orders,StockItemTransactions,16,11,176,11,0.57143,11,1.0,0.57143,False
CustomerCategories,CustomerTransactions,5,14,70,5,0.571221,5,1.0,0.571221,False
Customers,StockItemStockGroups,31,5,155,5,0.568227,5,1.0,0.568227,False
PurchaseOrderLines,SpecialDeals,12,14,168,12,0.567195,12,1.0,0.567195,False
PurchaseOrderLines,SupplierTransactions,12,15,180,12,0.566468,12,1.0,0.566468,False
Orders,PurchaseOrderLines,16,12,192,12,0.5649,12,1.0,0.5649,False
CustomerCategories,Orders,5,16,80,5,0.564223,5,1.0,0.564223,False
Cities,ColdRoomTemperatures,8,6,48,6,0.563732,6,1.0,0.563732,False
SpecialDeals,SupplierCategories,14,5,70,5,0.561958,5,1.0,0.561958,False
Customers,PurchaseOrders,31,12,372,12,0.561903,12,1.0,0.561903,False
BuyingGroups,ColdRoomTemperatures,5,6,30,5,0.560348,5,1.0,0.560348,False
StockItemHoldings,StockItems,9,25,225,9,0.56027,9,1.0,0.56027,False
InvoiceLines,Invoices,13,25,325,13,0.56027,13,1.0,0.56027,False
Invoices,OrderLines,25,12,300,12,0.558687,12,1.0,0.558687,False
Customers,People,31,21,651,21,0.555845,21,1.0,0.555845,False
ColdRoomTemperatures,TransactionTypes,6,5,30,5,0.554771,5,1.0,0.554771,False
Invoices,SpecialDeals,25,14,350,14,0.554472,14,1.0,0.554472,False
PurchaseOrders,StockItems,12,25,300,12,0.55164,12,1.0,0.55164,False
People,Suppliers,21,29,609,21,0.547064,21,1.0,0.547064,False
DeliveryMethods,SupplierTransactions,5,15,75,5,0.546803,5,1.0,0.546803,False
SpecialDeals,StockItems,14,25,350,14,0.543672,14,1.0,0.543672,False
Invoices,PurchaseOrderLines,25,12,300,12,0.542881,12,1.0,0.542881,False
CustomerTransactions,PurchaseOrders,14,12,168,12,0.541085,12,1.0,0.541085,False
Orders,SpecialDeals,16,14,224,14,0.54065,14,1.0,0.54065,False
CustomerTransactions,DeliveryMethods,14,5,70,5,0.540032,5,1.0,0.540032,False
Invoices,PaymentMethods,25,5,125,5,0.538716,5,1.0,0.538716,False
Colors,Invoices,5,25,125,5,0.537728,5,1.0,0.537728,False
Invoices,SystemParameters,25,13,325,13,0.536605,13,1.0,0.536605,False
InvoiceLines,SupplierTransactions,13,15,195,13,0.534827,13,1.0,0.534827,False
StateProvinces,StockItemStockGroups,10,5,50,5,0.533751,5,1.0,0.533751,False
StockItemStockGroups,Suppliers,5,29,145,5,0.532558,5,1.0,0.532558,False
Colors,Orders,5,16,80,5,0.530633,5,1.0,0.530633,False
Invoices,StockItemHoldings,25,9,225,9,0.530309,9,1.0,0.530309,False
Customers,Orders,31,16,496,16,0.530301,16,1.0,0.530301,False
StockGroups,StockItemTransactions,5,11,55,5,0.529765,5,1.0,0.529765,False
Orders,Suppliers,16,29,464,16,0.528837,16,1.0,0.528837,False
Colors,SpecialDeals,5,14,70,5,0.527286,5,1.0,0.527286,False
People,StockItems,21,25,525,21,0.527113,21,1.0,0.527113,False
StockItemHoldings,SystemParameters,9,13,117,9,0.526837,9,1.0,0.526837,False
Colors,CustomerTransactions,5,14,70,5,0.526205,5,1.0,0.526205,False
StockItemHoldings,SupplierTransactions,9,15,135,9,0.525164,9,1.0,0.525164,False
StockGroups,StockItemHoldings,5,9,45,5,0.524546,5,1.0,0.524546,False
OrderLines,StockGroups,12,5,60,5,0.524538,5,1.0,0.524538,False
Invoices,PackageTypes,25,5,125,5,0.522297,5,1.0,0.522297,False
PackageTypes,SupplierTransactions,5,15,75,5,0.520963,5,1.0,0.520963,False
SupplierTransactions,Suppliers,15,29,435,15,0.52083,15,1.0,0.52083,False
Orders,PackageTypes,16,5,80,5,0.5198,5,1.0,0.5198,False
Colors,PurchaseOrders,5,12,60,5,0.518513,5,1.0,0.518513,False
PaymentMethods,PurchaseOrders,5,12,60,5,0.517958,5,1.0,0.517958,False
CustomerTransactions,StockItemHoldings,14,9,126,9,0.515488,9,1.0,0.515488,False
Invoices,SupplierTransactions,25,15,375,15,0.515225,15,1.0,0.515225,False
CustomerTransactions,PackageTypes,14,5,70,5,0.515123,5,1.0,0.515123,False
PurchaseOrderLines,TransactionTypes,12,5,60,5,0.514843,5,1.0,0.514843,False
PurchaseOrderLines,StockGroups,12,5,60,5,0.513477,5,1.0,0.513477,False
InvoiceLines,StockGroups,13,5,65,5,0.513284,5,1.0,0.513284,False
CustomerCategories,StockItemTransactions,5,11,55,5,0.51274,5,1.0,0.51274,False
PackageTypes,PurchaseOrders,5,12,60,5,0.512706,5,1.0,0.512706,False
CustomerTransactions,SpecialDeals,14,14,196,14,0.512628,14,1.0,0.512628,False
OrderLines,TransactionTypes,12,5,60,5,0.512448,5,1.0,0.512448,False
Customers,StockItemTransactions,31,11,341,11,0.512155,11,1.0,0.512155,False
Cities,StockItemStockGroups,8,5,40,5,0.512041,5,1.0,0.512041,False
Orders,StockItemHoldings,16,9,144,9,0.511742,9,1.0,0.511742,False
PurchaseOrderLines,StockItems,12,25,300,12,0.511368,12,1.0,0.511368,False
Colors,SupplierTransactions,5,15,75,5,0.509391,5,1.0,0.509391,False
CustomerTransactions,Customers,14,31,434,14,0.509105,14,1.0,0.509105,False
StockItemTransactions,SupplierCategories,11,5,55,5,0.509082,5,1.0,0.509082,False
OrderLines,SupplierTransactions,12,15,180,12,0.508237,12,1.0,0.508237,False
CustomerTransactions,OrderLines,14,12,168,12,0.507433,12,1.0,0.507433,False
CustomerTransactions,SupplierCategories,14,5,70,5,0.506664,5,1.0,0.506664,False
Invoices,TransactionTypes,25,5,125,5,0.506095,5,1.0,0.506095,False
DeliveryMethods,Orders,5,16,80,5,0.50601,5,1.0,0.50601,False
CustomerTransactions,PurchaseOrderLines,14,12,168,12,0.505892,12,1.0,0.505892,False
Invoices,SupplierCategories,25,5,125,5,0.505868,5,1.0,0.505868,False
InvoiceLines,TransactionTypes,13,5,65,5,0.504895,5,1.0,0.504895,False
CustomerCategories,SystemParameters,5,13,65,5,0.504688,5,1.0,0.504688,False
OrderLines,PurchaseOrders,12,12,144,12,0.504306,12,1.0,0.504306,False
Cities,Invoices,8,25,200,8,0.502707,8,1.0,0.502707,False
StockItemTransactions,Suppliers,11,29,319,11,0.502134,11,1.0,0.502134,False
Colors,SystemParameters,5,13,65,5,0.501635,5,1.0,0.501635,False
Invoices,StockGroups,25,5,125,5,0.50106,5,1.0,0.50106,False
BuyingGroups,SupplierTransactions,5,15,75,5,0.500771,5,1.0,0.500771,False
PackageTypes,StockItemTransactions,5,11,55,5,0.500121,5,1.0,0.500121,False
Colors,StockItemTransactions,5,11,55,5,0.500026,5,1.0,0.500026,False
StockItems,Suppliers,25,29,725,25,0.499194,25,1.0,0.499194,False
StockGroups,SupplierTransactions,5,15,75,5,0.498059,5,1.0,0.498059,False
Invoices,Suppliers,25,29,725,25,0.49694,25,1.0,0.49694,False
CustomerTransactions,Orders,14,16,224,14,0.496633,14,1.0,0.496633,False
SupplierCategories,SystemParameters,5,13,65,5,0.496224,5,1.0,0.496224,False
Orders,PaymentMethods,16,5,80,5,0.495389,5,1.0,0.495389,False
PurchaseOrders,SpecialDeals,12,14,168,12,0.494003,12,1.0,0.494003,False
Orders,SupplierCategories,16,5,80,5,0.493594,5,1.0,0.493594,False
InvoiceLines,PurchaseOrders,13,12,156,12,0.493094,12,1.0,0.493094,False
PurchaseOrders,StockItemHoldings,12,9,108,9,0.492306,9,1.0,0.492306,False
CustomerCategories,PurchaseOrders,5,12,60,5,0.492084,5,1.0,0.492084,False
PaymentMethods,SpecialDeals,5,14,70,5,0.491473,5,1.0,0.491473,False
Colors,OrderLines,5,12,60,5,0.490448,5,1.0,0.490448,False
CustomerCategories,SupplierTransactions,5,15,75,5,0.489745,5,1.0,0.489745,False
BuyingGroups,CustomerTransactions,5,14,70,5,0.489497,5,1.0,0.489497,False
CustomerCategories,PurchaseOrderLines,5,12,60,5,0.489488,5,1.0,0.489488,False
Orders,StockGroups,16,5,80,5,0.48879,5,1.0,0.48879,False
Customers,StockItemHoldings,31,9,279,9,0.487047,9,1.0,0.487047,False
Orders,StockItems,16,25,400,16,0.486639,16,1.0,0.486639,False
PackageTypes,SpecialDeals,5,14,70,5,0.486359,5,1.0,0.486359,False
BuyingGroups,Invoices,5,25,125,5,0.486216,5,1.0,0.486216,False
PurchaseOrders,TransactionTypes,12,5,60,5,0.486141,5,1.0,0.486141,False
PurchaseOrders,StockGroups,12,5,60,5,0.485471,5,1.0,0.485471,False
Cities,SystemParameters,8,13,104,8,0.485081,8,1.0,0.485081,False
PackageTypes,SystemParameters,5,13,65,5,0.484623,5,1.0,0.484623,False
Invoices,StateProvinces,25,10,250,10,0.484387,10,1.0,0.484387,False
InvoiceLines,Orders,13,16,208,13,0.483997,13,1.0,0.483997,False
Orders,SupplierTransactions,16,15,240,15,0.483579,15,1.0,0.483579,False
Cities,StockItemHoldings,8,9,72,8,0.482972,8,1.0,0.482972,False
SpecialDeals,TransactionTypes,14,5,70,5,0.482531,5,1.0,0.482531,False
Orders,SystemParameters,16,13,208,13,0.481689,13,1.0,0.481689,False
DeliveryMethods,SpecialDeals,5,14,70,5,0.481679,5,1.0,0.481679,False
StockItemHoldings,Suppliers,9,29,261,9,0.480726,9,1.0,0.480726,False
Cities,SpecialDeals,8,14,112,8,0.480564,8,1.0,0.480564,False
PurchaseOrders,SystemParameters,12,13,156,12,0.47972,12,1.0,0.47972,False
Cities,OrderLines,8,12,96,8,0.47967,8,1.0,0.47967,False
CustomerCategories,InvoiceLines,5,13,65,5,0.479465,5,1.0,0.479465,False
OrderLines,PaymentMethods,12,5,60,5,0.479186,5,1.0,0.479186,False
Cities,CustomerTransactions,8,14,112,8,0.47915,8,1.0,0.47915,False
Cities,PurchaseOrderLines,8,12,96,8,0.478804,8,1.0,0.478804,False
BuyingGroups,Orders,5,16,80,5,0.478463,5,1.0,0.478463,False
Cities,InvoiceLines,8,13,104,8,0.478238,8,1.0,0.478238,False
PaymentMethods,PurchaseOrderLines,5,12,60,5,0.477734,5,1.0,0.477734,False
InvoiceLines,PaymentMethods,13,5,65,5,0.476958,5,1.0,0.476958,False
StockItemHoldings,TransactionTypes,9,5,45,5,0.476862,5,1.0,0.476862,False
CustomerCategories,StockItemHoldings,5,9,45,5,0.475647,5,1.0,0.475647,False
Orders,TransactionTypes,16,5,80,5,0.475557,5,1.0,0.475557,False
CustomerTransactions,Suppliers,14,29,406,14,0.475325,14,1.0,0.475325,False
BuyingGroups,PurchaseOrders,5,12,60,5,0.474727,5,1.0,0.474727,False
Customers,PurchaseOrderLines,31,12,372,12,0.474627,12,1.0,0.474627,False
Colors,InvoiceLines,5,13,65,5,0.474583,5,1.0,0.474583,False
CustomerTransactions,StockGroups,14,5,70,5,0.474311,5,1.0,0.474311,False
SystemParameters,TransactionTypes,13,5,65,5,0.474275,5,1.0,0.474275,False
SpecialDeals,SupplierTransactions,14,15,210,14,0.474187,14,1.0,0.474187,False
CustomerCategories,OrderLines,5,12,60,5,0.474101,5,1.0,0.474101,False
StockGroups,SystemParameters,5,13,65,5,0.473466,5,1.0,0.473466,False
People,PurchaseOrders,21,12,252,12,0.472699,12,1.0,0.472699,False
Customers,OrderLines,31,12,372,12,0.47226,12,1.0,0.47226,False
Customers,SupplierTransactions,31,15,465,15,0.469497,15,1.0,0.469497,False
OrderLines,SupplierCategories,12,5,60,5,0.469182,5,1.0,0.469182,False
DeliveryMethods,OrderLines,5,12,60,5,0.468373,5,1.0,0.468373,False
DeliveryMethods,PurchaseOrderLines,5,12,60,5,0.468078,5,1.0,0.468078,False
PaymentMethods,SystemParameters,5,13,65,5,0.467864,5,1.0,0.467864,False
BuyingGroups,SystemParameters,5,13,65,5,0.466527,5,1.0,0.466527,False
PackageTypes,StockItemHoldings,5,9,45,5,0.466486,5,1.0,0.466486,False
Colors,StockItemHoldings,5,9,45,5,0.465865,5,1.0,0.465865,False
BuyingGroups,OrderLines,5,12,60,5,0.465589,5,1.0,0.465589,False
BuyingGroups,StockItemStockGroups,5,5,25,5,0.464735,5,1.0,0.464735,False
Customers,StockItems,31,25,775,25,0.464523,25,1.0,0.464523,False
Orders,VehicleTemperatures,16,8,128,8,0.463414,8,1.0,0.463414,False
PurchaseOrderLines,SupplierCategories,12,5,60,5,0.463112,5,1.0,0.463112,False
People,StockItemStockGroups,21,5,105,5,0.463071,5,1.0,0.463071,False
PaymentMethods,StockItemHoldings,5,9,45,5,0.461892,5,1.0,0.461892,False
BuyingGroups,InvoiceLines,5,13,65,5,0.461881,5,1.0,0.461881,False
InvoiceLines,SupplierCategories,13,5,65,5,0.461469,5,1.0,0.461469,False
PurchaseOrderLines,SystemParameters,12,13,156,12,0.460856,12,1.0,0.460856,False
PaymentMethods,StockItemTransactions,5,11,55,5,0.460306,5,1.0,0.460306,False
OrderLines,Suppliers,12,29,348,12,0.459932,12,1.0,0.459932,False
Cities,SupplierTransactions,8,15,120,8,0.459446,8,1.0,0.459446,False
PurchaseOrderLines,Suppliers,12,29,348,12,0.459296,12,1.0,0.459296,False
OrderLines,SystemParameters,12,13,156,12,0.459266,12,1.0,0.459266,False
Cities,Orders,8,16,128,8,0.45905,8,1.0,0.45905,False
