CityID,CityName,StateProvinceID,Location,LatestRecordedPopulation,LastEditedBy,ValidFrom,ValidTo
28,Aberfoil,1,POINT (-85.6877257 32.0704299),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
29,Abernant,1,POINT (-87.198053 33.2903926),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
30,Abernathy,45,POINT (-101.8429491 33.8323038),2805,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
31,Abeytas,32,POINT (-106.8114154 34.4675637),56,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
32,Abie,28,POINT (-96.9489211 41.3341756),69,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
33,Abilene,45,POINT (-99.7331439 32.4487364),117063,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
34,Abilene,17,POINT (-97.2139094 38.9172216),6844,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
35,Abingdon,14,POINT (-90.4017954 40.8044833),3319,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
36,Abingdon,49,POINT (-81.9773482 36.7098335),8191,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
37,Abingdon,16,POINT (-92.1390672 41.0822387),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
38,Abingdon,21,POINT (-76.2791236 39.4623305),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
39,Abington,39,POINT (-75.1179512 40.1206656),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
40,Abington,22,POINT (-70.9453218 42.1048228),15985,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
41,Abiquiu,32,POINT (-106.3186397 36.207241),231,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
42,Abita Springs,19,POINT (-90.0375755 30.4785257),2365,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
43,Abo,32,POINT (-106.3330712 34.4558977),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
44,Aboite,15,POINT (-85.3180293 41.0008805),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
45,Abraham,46,POINT (-112.7180077 39.3966197),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
46,Abram,45,POINT (-98.4111287 26.1997957),2067,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
47,Abrams,52,POINT (-88.0598261 44.7791593),340,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
48,Absarokee,27,POINT (-109.4429444 45.5204982),1150,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
49,Absecon,31,POINT (-74.4957076 39.4284503),8411,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
50,Academy,43,POINT (-99.0798134 43.4563876),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
51,Acampo,5,POINT (-121.2785588 38.1746398),341,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
52,Accident,21,POINT (-79.319759 39.628696),325,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
53,Accokeek,21,POINT (-77.0283092 38.6676168),10573,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
54,Accomac,49,POINT (-75.6654845 37.7195742),519,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
55,Accord,33,POINT (-74.2290366 41.7856489),562,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
56,Accord,22,POINT (-70.8836552 42.1745451),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
57,Ace,45,POINT (-94.8243744 30.5363152),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
58,Aceitunas,40,POINT (-67.0649026 18.4432783),1436,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
59,Acequia,13,POINT (-113.5969537 42.6679642),124,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
60,Achille,37,POINT (-96.4109935885 33.8373817006),492,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
61,Achilles,49,POINT (-76.4402257 37.2801422),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
62,Ackerly,45,POINT (-101.71597 32.5264993),220,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
63,Ackerman,25,POINT (-89.1728434 33.3101243),1510,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
64,Ackley,16,POINT (-93.0532553 42.5541451),1589,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
65,Ackworth,16,POINT (-93.4727131 41.3669373),83,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
66,Acme,50,POINT (-122.2051584 48.7170574),246,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
67,Acme,45,POINT (-99.8239861 34.3167412),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
68,Acme,53,POINT (-106.9850706 44.9105275),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
69,Acme,19,POINT (-91.8204007 31.2857351),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
70,Acme,32,POINT (-104.3285785 33.5923153),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
71,Acoma,29,POINT (-114.1724807 37.5483023),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
72,Acomita,32,POINT (-107.5717171 35.0553199),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
73,Acorn,49,POINT (-76.6491233 38.0192976),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
74,Acra,33,POINT (-74.0554126 42.3109186),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
75,Acree,11,POINT (-83.9960153 31.5554539),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
76,Acton,20,POINT (-70.9097847 43.5342468),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
77,Acton,27,POINT (-108.6806978 45.9305083),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
78,Acton,22,POINT (-71.43284 42.4850931),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
79,Acton,5,POINT (-118.1967418 34.469994),7596,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
80,Acushnet,22,POINT (-70.907816 41.6806593),3073,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
81,Acworth,30,POINT (-72.2920317 43.2178539),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
82,Acworth,11,POINT (-84.6768796 34.0659329),20425,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
83,Acy,19,POINT (-90.8203734 30.2188079),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
84,Ada,19,POINT (-93.1404423 32.5459856),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
85,Ada,52,POINT (-87.8956469 43.8769382),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
86,Ada,17,POINT (-97.8892088 39.1513917),100,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
87,Ada,36,POINT (-83.8227149 40.7694969),5952,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
88,Ada,37,POINT (-96.7021280885 34.7784784006),16810,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
89,Ada,24,POINT (-96.5153463 47.299689),1707,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
90,Adair,16,POINT (-94.6434132 41.5003898),781,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
91,Adair,14,POINT (-90.4967942 40.4189309),210,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
92,Adair,37,POINT (-95.2951414885 36.4407049006),790,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
93,Adair Village,38,POINT (-123.2178759 44.6706763),840,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
94,Adairsville,11,POINT (-84.9341093 34.3687021),4648,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
95,Adairville,18,POINT (-86.8519417 36.6675425),852,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
96,Adak,2,POINT (-176.6580556 51.88),326,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
97,Adams,37,POINT (-101.100889188 36.7603623006),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
98,Adams,15,POINT (-85.559973 39.3825496),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
99,Adams,18,POINT (-82.7076584 38.0545335),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
100,Adams,25,POINT (-90.5606536 32.1598736),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
101,Adams,44,POINT (-87.0655564 36.5822667),633,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
102,Adams,28,POINT (-96.5100171 40.4594441),573,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
103,Adams,38,POINT (-118.5624734 45.767354),350,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
104,Adams,24,POINT (-92.7193503 43.5652435),787,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
105,Adams,33,POINT (-76.0240892 43.8092321),1775,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
106,Adams,22,POINT (-73.117603 42.6242495),5515,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
107,Adams,35,POINT (-98.0789893 48.4213852),127,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
108,Adams,52,POINT (-89.8181818 43.956082),1967,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
109,Adams Center,33,POINT (-76.0054785 43.8600635),1568,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
110,Adams City,6,POINT (-104.9288672 39.8266528),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
111,Adamsburg,39,POINT (-79.6561538 40.3117361),172,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
112,Adamstown,39,POINT (-76.0563303 40.2412035),1789,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
113,Adamstown,21,POINT (-77.4747088 39.3109356),2372,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
114,Adamsville,46,POINT (-112.7938352 38.2583031),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
115,Adamsville,45,POINT (-98.1689206 31.3012767),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
116,Adamsville,39,POINT (-80.3697888 41.5111646),67,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
117,Adamsville,44,POINT (-88.3905965 35.2359146),2207,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
118,Adamsville,36,POINT (-81.8823542 40.0697925),114,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
119,Adamsville,1,POINT (-86.9561059 33.6009389),4522,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
120,Adario,36,POINT (-82.4501677 40.9345),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
121,Addicks,45,POINT (-95.6424457 29.7824508),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
122,Addie,34,POINT (-83.1598661 35.4059341),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
123,Addieville,14,POINT (-89.4900881 38.391439),252,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
124,Addington,37,POINT (-97.9907627885 34.2484825006),114,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
125,Addis,19,POINT (-91.2653865 30.3538043),3593,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
126,Addison,1,POINT (-87.1814012 34.2023243),758,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
127,Addison,23,POINT (-84.3471684 41.9864341),605,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
128,Addison,14,POINT (-87.9889556 41.931696),36942,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
129,Addison,33,POINT (-77.2335879 42.1028514),1763,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
130,Addison,39,POINT (-79.3392013 39.7473003),207,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
131,Addison,51,POINT (-80.4082166 38.4781934),776,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
132,Addison,45,POINT (-96.8291685 32.96179),13056,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
133,Addison,20,POINT (-67.7441645 44.6184102),605,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
134,Addison,36,POINT (-82.1462561 38.886191),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
135,Addison,47,POINT (-73.302622 44.0886671),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
136,Addison,52,POINT (-88.3745423 43.4227761),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
137,Addy,50,POINT (-117.8374738 48.3560098),268,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
138,Addyston,36,POINT (-84.709114 39.1367249),938,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
139,Adel,11,POINT (-83.4234936 31.1371358),5334,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
140,Adel,16,POINT (-94.017453 41.6144325),3682,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
141,Adel,38,POINT (-119.8985576 42.177388),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
142,Adel,27,POINT (-111.6238645 47.0277236),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
143,Adelaide,50,POINT (-122.3604012 47.3309328),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
144,Adelanto,5,POINT (-117.409215 34.5827699),31765,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
145,Adeline,14,POINT (-89.4903897 42.1433589),85,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
146,Adelino,32,POINT (-106.7311374 34.7158909),823,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
147,Adell,52,POINT (-87.9520364 43.6191633),516,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
148,Adelphi,21,POINT (-76.97192 39.0031656),15086,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
149,Adelphi,36,POINT (-82.7471145 39.4667304),380,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
150,Adelphia,31,POINT (-74.2562566 40.2181677),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
151,Aden,32,POINT (-107.1275128 32.1528722),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
152,Adena,36,POINT (-80.8728672 40.2186805),759,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
153,Adgateville,11,POINT (-83.671006 33.2231838),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
154,Adin,5,POINT (-120.945245 41.19378),272,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
155,Adjuntas,40,POINT (-66.7221187 18.1627363),4406,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
156,Admire,17,POINT (-96.1030491 38.6411197),156,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
157,Adna,50,POINT (-123.0612431 46.6289921),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
158,Adolphus,18,POINT (-86.2613779 36.6517098),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
159,Adona,4,POINT (-92.8979475 35.0381433),209,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
160,Adrian,11,POINT (-82.5892995 32.5307224),664,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
161,Adrian,45,POINT (-102.6652114 35.2747775),166,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
162,Adrian,38,POINT (-117.0718261 43.7407155),177,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
163,Adrian,26,POINT (-94.3516159 38.397518),1677,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
164,Adrian,24,POINT (-95.932797 43.6349663),1257,15,2015-07-01 16:00:00,9999-12-31 23:59:59.999999
165,Adrian,23,POINT (-84.0371659 41.8975471),21133,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
166,Advance,26,POINT (-89.9106494 37.1044958),1347,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
167,Advance,15,POINT (-86.620004 39.9958763),477,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
168,Advance,34,POINT (-80.4092217 35.9412482),1138,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
169,Advance,23,POINT (-85.0775567 45.221397),328,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
170,Adwolf,49,POINT (-81.5820609 36.7892824),1530,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
171,Ady,21,POINT (-76.3327369 39.638717),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
172,Ady,45,POINT (-102.1324141 35.4856041),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
173,Aeneas,50,POINT (-118.9786447 48.5473813),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
174,Aetna,17,POINT (-98.9628777 37.0839169),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
175,Affton,26,POINT (-90.3331719 38.5506084),20307,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
176,Afton,24,POINT (-92.7835373 44.9027452),2886,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
177,Afton,16,POINT (-94.1980083 41.0274907),845,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
178,Afton,33,POINT (-75.5265715 42.228136),822,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
179,Afton,32,POINT (-106.9441731 32.0728753),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
180,Afton,5,POINT (-116.3797442 35.0363724),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
181,Afton,37,POINT (-94.9868001885 36.6976344006),1049,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
182,Afton,53,POINT (-110.9318687 42.7249282),1911,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
183,Agar,43,POINT (-100.0745668 44.8383153),76,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
184,Agate,6,POINT (-103.9421807 39.461651),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
185,Agate Beach,38,POINT (-124.0617836 44.6773386),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
186,Agawam,27,POINT (-112.1675232 47.9999571),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
187,Agawam,22,POINT (-72.6148117 42.0695391),28438,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
188,Agawam,37,POINT (-97.9699353885 34.8773502006),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
189,Agency,16,POINT (-92.3068492 40.9950162),638,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
190,Agency,26,POINT (-94.7399611 39.644718),684,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
191,Agency Village,43,POINT (-97.0831191 45.5808427),181,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
192,Agenda,17,POINT (-97.4317035 39.7077797),68,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
193,Agnes,45,POINT (-97.7886421 32.9792888),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
194,Agness,38,POINT (-124.0689776 42.5564976),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
195,Agnew,28,POINT (-96.8147413 41.0169486),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
196,Agnos,4,POINT (-91.6915332 36.2772888),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
197,Agoura,5,POINT (-118.7378669 34.1430611),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
198,Agoura Hills,5,POINT (-118.7745348 34.1363945),20330,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
199,Agra,17,POINT (-99.1192544 39.7616776),267,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
200,Agra,37,POINT (-96.8960317885 35.8987316006),339,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
201,Agricola,25,POINT (-88.5200194 30.807689),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
202,Agricola,17,POINT (-95.5349823 38.4194601),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
203,Agua Dulce,45,POINT (-97.9086105 27.781692),812,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
204,Agua Dulce,5,POINT (-118.3256348 34.4963817),3342,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
205,Agua Fria,32,POINT (-106.0222447 35.6544755),2800,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
206,Agua Nueva,45,POINT (-98.6002976 26.9017168),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
207,Aguada,40,POINT (-67.1882365 18.3793913),3212,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
208,Aguadilla,40,POINT (-67.1540698 18.4274454),13310,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
209,Aguanga,5,POINT (-116.8650235 33.4428094),1128,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
210,Aguas Buenas,40,POINT (-66.1029442 18.2568989),4204,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
211,Aguas Claras,40,POINT (-65.6534952 18.252734),3006,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
212,Agudo,32,POINT (-104.3035865 34.4053469),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
213,Aguila,3,POINT (-113.1740805 33.9428069),798,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
214,Aguilar,6,POINT (-104.6533188 37.4027931),538,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
215,Aguilares,45,POINT (-99.0872507 27.4486359),21,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
216,Aguilita,40,POINT (-66.5346166 18.0232976),4747,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
217,Ahloso,37,POINT (-96.6612926885 34.7390353006),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
218,Ahmeek,23,POINT (-88.3965014 47.2988116),146,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
219,Ahoskie,34,POINT (-76.9846808 36.2868223),5039,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
220,Ahtanum,50,POINT (-120.6220123 46.5595702),3601,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
221,Ahwahnee,5,POINT (-119.7262667 37.3654982),2246,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
222,Aibonito,40,POINT (-66.2660016 18.1399594),8249,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
223,Aid,36,POINT (-82.4932125 38.5961913),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
224,'Aiea,12,POINT (-157.9231834 21.3864663),9338,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
225,Aiken,45,POINT (-101.5257226 34.1422953),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
226,Aiken,42,POINT (-81.7195533 33.5604168),29524,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
227,Ailey,11,POINT (-82.5656886 32.1874042),432,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
228,Ainsworth,16,POINT (-91.5523838 41.2889098),567,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
229,Ainsworth,28,POINT (-99.8626236 42.5499993),1728,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
230,Ainsworth,15,POINT (-87.2586458 41.4878149),,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
231,Airmont,33,POINT (-74.1162544 41.1009293),8628,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
232,Airport Drive,26,POINT (-94.5107824 37.1425588),698,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
233,Airport Road Addition,45,POINT (-98.0994483 27.2200435),93,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
234,Airway Heights,50,POINT (-117.5932728 47.644611),6114,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
235,Aitkin,24,POINT (-93.7102493 46.533013),2165,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
236,Ajo,3,POINT (-112.8607099 32.3717249),3304,1,2013-01-01 00:00:00,9999-12-31 23:59:59.999999
