col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
customer.c_custkey,lineitem.l_shipinstruct,customer,lineitem,0.372053,0.116101,0.214286,0.123878,0.515612
customer.c_custkey,lineitem.l_shipmode,customer,lineitem,0.303869,0.094824,0.100000,0.133654,0.462329
customer.c_custkey,lineitem.l_comment,customer,lineitem,0.198925,0.062076,0.222222,0.073072,0.544288
customer.c_custkey,nation.n_nationkey,customer,nation,0.069301,0.021626,0.363636,0.088774,0.640268
customer.c_custkey,nation.n_name,customer,nation,0.290289,0.090586,0.222222,0.060829,0.531458
customer.c_custkey,nation.n_regionkey,customer,nation,0.069301,0.021626,0.363636,0.087081,0.640268
customer.c_custkey,nation.n_comment,customer,nation,0.605329,0.188896,0.222222,0.061909,0.487219
customer.c_custkey,orders.o_orderkey,customer,orders,0.000000,0.000000,0.400000,0.120035,0.670000
customer.c_custkey,orders.o_custkey,customer,orders,0.013638,0.004256,0.888889,0.137597,0.936974
customer.c_custkey,orders.o_orderstatus,customer,orders,0.722892,0.225583,0.230769,0.106519,0.475411
customer.c_custkey,orders.o_totalprice,customer,orders,1.550326,0.483788,0.083333,0.096349,0.278129
customer.c_custkey,orders.o_orderdate,customer,orders,0.272169,0.084932,0.090909,0.092301,0.461781
customer.c_custkey,orders.o_orderpriority,customer,orders,0.265645,0.082896,0.133333,0.107887,0.486030
customer.c_custkey,orders.o_clerk,customer,orders,0.237217,0.074025,0.333333,0.120038,0.600022
customer.c_custkey,orders.o_shippriority,customer,orders,1.864287,0.581761,0.142857,0.129398,0.266779
customer.c_custkey,orders.o_comment,customer,orders,0.397049,0.123901,0.222222,0.083999,0.516466
customer.c_custkey,part.p_partkey,customer,part,0.000000,0.000000,0.555556,0.099980,0.755556
customer.c_custkey,part.p_name,customer,part,0.247778,0.077321,0.222222,0.058775,0.537428
customer.c_custkey,part.p_mfgr,customer,part,0.244208,0.076207,0.111111,0.087662,0.476818
customer.c_custkey,part.p_brand,customer,part,0.286150,0.089295,0.111111,0.084600,0.470928
customer.c_custkey,part.p_type,customer,part,0.202778,0.063278,0.222222,0.079460,0.543747
customer.c_custkey,part.p_size,customer,part,0.036806,0.011486,0.333333,0.101913,0.628165
customer.c_custkey,part.p_container,customer,part,0.285425,0.089069,0.363636,0.100832,0.609919
customer.c_custkey,part.p_retailprice,customer,part,0.148875,0.046457,0.076923,0.093226,0.471402
customer.c_custkey,part.p_comment,customer,part,0.225685,0.070426,0.222222,0.078486,0.540530
customer.c_custkey,partsupp.ps_partkey,customer,partsupp,0.000000,0.000000,0.500000,0.109524,0.725000
customer.c_custkey,partsupp.ps_suppkey,customer,partsupp,0.126181,0.039376,0.500000,0.111522,0.707281
customer.c_custkey,partsupp.ps_availqty,customer,partsupp,0.092936,0.029001,0.181818,0.109293,0.536949
customer.c_custkey,partsupp.ps_supplycost,customer,partsupp,0.008465,0.002642,0.153846,0.103022,0.533427
customer.c_custkey,partsupp.ps_comment,customer,partsupp,1.075021,0.335466,0.200000,0.055270,0.409040
customer.c_custkey,region.r_regionkey,customer,region,0.069301,0.021626,0.363636,0.087195,0.640268
customer.c_custkey,region.r_name,customer,region,0.284993,0.088934,0.222222,0.068169,0.532202
customer.c_custkey,region.r_comment,customer,region,0.600967,0.187535,0.222222,0.057108,0.487831
customer.c_custkey,supplier.s_suppkey,customer,supplier,0.000000,0.000000,0.555556,0.111903,0.755556
customer.c_custkey,supplier.s_name,customer,supplier,0.225960,0.070512,0.222222,0.083330,0.540492
customer.c_custkey,supplier.s_address,customer,supplier,0.178726,0.055772,0.111111,0.079088,0.486013
customer.c_custkey,supplier.s_nationkey,customer,supplier,0.041882,0.013070,0.363636,0.106973,0.644119
customer.c_custkey,supplier.s_phone,customer,supplier,0.237217,0.074025,0.222222,0.103851,0.538911
customer.c_custkey,supplier.s_acctbal,customer,supplier,0.068237,0.021294,0.222222,0.107277,0.562640
customer.c_custkey,supplier.s_comment,customer,supplier,0.305003,0.095178,0.222222,0.075348,0.529392
customer.c_name,customer.c_address,customer,customer,0.091023,0.028404,0.333333,0.109661,0.620551
customer.c_name,customer.c_nationkey,customer,customer,0.260835,0.081395,0.454545,0.143543,0.663372
customer.c_name,customer.c_phone,customer,customer,0.020971,0.006544,0.428571,0.119044,0.682769
customer.c_name,customer.c_acctbal,customer,customer,0.317271,0.099006,0.222222,0.126872,0.527669
customer.c_name,customer.c_mktsegment,customer,customer,0.068636,0.021418,0.333333,0.169314,0.623695
customer.c_name,customer.c_comment,customer,customer,0.437192,0.136428,0.444444,0.111879,0.633051
customer.c_name,lineitem.l_orderkey,customer,lineitem,0.225960,0.070512,0.200000,0.086633,0.528270
customer.c_name,lineitem.l_partkey,customer,lineitem,0.266380,0.083125,0.333333,0.082828,0.595927
customer.c_name,lineitem.l_suppkey,customer,lineitem,0.229515,0.071621,0.222222,0.085869,0.539992
customer.c_name,lineitem.l_linenumber,customer,lineitem,0.225960,0.070512,0.333333,0.079039,0.601603
customer.c_name,lineitem.l_quantity,customer,lineitem,0.240193,0.074954,0.200000,0.078255,0.526271
customer.c_name,lineitem.l_extendedprice,customer,lineitem,0.468580,0.146223,0.200000,0.058606,0.494200
customer.c_name,lineitem.l_discount,customer,lineitem,0.207402,0.064721,0.100000,0.065119,0.475876
customer.c_name,lineitem.l_tax,customer,lineitem,0.215639,0.067291,0.333333,0.060808,0.603052
customer.c_name,lineitem.l_returnflag,customer,lineitem,0.608482,0.189880,0.166667,0.098654,0.456221
customer.c_name,lineitem.l_linestatus,customer,lineitem,0.975509,0.304413,0.250000,0.082850,0.450514
customer.c_name,lineitem.l_shipdate,customer,lineitem,0.055923,0.017451,0.300000,0.070114,0.607147
customer.c_name,lineitem.l_commitdate,customer,lineitem,0.055923,0.017451,0.250000,0.064979,0.579647
customer.c_name,lineitem.l_receiptdate,customer,lineitem,0.055923,0.017451,0.230769,0.077153,0.569070
customer.c_name,lineitem.l_shipinstruct,customer,lineitem,0.316999,0.098921,0.142857,0.084627,0.484057
customer.c_name,lineitem.l_shipmode,customer,lineitem,0.104880,0.032728,0.300000,0.091306,0.600272
customer.c_name,lineitem.l_comment,customer,lineitem,0.082994,0.025899,0.333333,0.062972,0.621679
customer.c_name,nation.n_nationkey,customer,nation,0.237238,0.074031,0.363636,0.065875,0.616686
customer.c_name,nation.n_name,customer,nation,0.089683,0.027986,0.833333,0.053033,0.895739
customer.c_name,nation.n_regionkey,customer,nation,0.237238,0.074031,0.181818,0.068694,0.516686
customer.c_name,nation.n_comment,customer,nation,0.503922,0.157252,0.333333,0.052719,0.562570
customer.c_name,orders.o_orderkey,customer,orders,0.225960,0.070512,0.200000,0.099564,0.528270
customer.c_name,orders.o_custkey,customer,orders,0.212322,0.066256,0.222222,0.119962,0.542407
customer.c_name,orders.o_orderstatus,customer,orders,0.608482,0.189880,0.153846,0.090502,0.449169
customer.c_name,orders.o_totalprice,customer,orders,1.566229,0.488751,0.250000,0.068866,0.367562
customer.c_name,orders.o_orderdate,customer,orders,0.055923,0.017451,0.272727,0.073522,0.592147
customer.c_name,orders.o_orderpriority,customer,orders,0.089738,0.028003,0.133333,0.087190,0.510732
customer.c_name,orders.o_clerk,customer,orders,0.020971,0.006544,0.142857,0.104654,0.525626
customer.c_name,orders.o_shippriority,customer,orders,1.749877,0.546059,0.071429,0.088398,0.243559
customer.c_name,orders.o_comment,customer,orders,0.295641,0.092256,0.333333,0.073234,0.591818
customer.c_name,part.p_partkey,customer,part,0.225960,0.070512,0.333333,0.074022,0.601603
customer.c_name,part.p_name,customer,part,0.126184,0.039376,0.833333,0.049991,0.890614
customer.c_name,part.p_mfgr,customer,part,0.027961,0.008725,0.166667,0.074830,0.537740
customer.c_name,part.p_brand,customer,part,0.069904,0.021814,0.285714,0.073757,0.597326
customer.c_name,part.p_type,customer,part,0.023182,0.007234,0.333333,0.065320,0.630078
customer.c_name,part.p_size,customer,part,0.204540,0.063828,0.333333,0.076547,0.604611
customer.c_name,part.p_container,customer,part,0.082625,0.025784,0.363636,0.072798,0.638397
customer.c_name,part.p_retailprice,customer,part,0.353321,0.110256,0.230769,0.068751,0.527308
customer.c_name,part.p_comment,customer,part,0.034671,0.010819,0.333333,0.068427,0.628464
customer.c_name,partsupp.ps_partkey,customer,partsupp,0.225960,0.070512,0.300000,0.079344,0.583270
customer.c_name,partsupp.ps_suppkey,customer,partsupp,0.293214,0.091499,0.200000,0.082371,0.518825
customer.c_name,partsupp.ps_availqty,customer,partsupp,0.187960,0.058654,0.181818,0.079357,0.523606
customer.c_name,partsupp.ps_supplycost,customer,partsupp,0.218346,0.068136,0.076923,0.073877,0.461646
customer.c_name,partsupp.ps_comment,customer,partsupp,0.973614,0.303822,0.300000,0.045490,0.478280
customer.c_name,region.r_regionkey,customer,region,0.237238,0.074031,0.181818,0.070821,0.516686
customer.c_name,region.r_name,customer,region,0.095441,0.029783,0.833333,0.059432,0.894931
customer.c_name,region.r_comment,customer,region,0.499559,0.155890,0.333333,0.049789,0.563183
customer.c_name,supplier.s_suppkey,customer,supplier,0.225960,0.070512,0.222222,0.088339,0.540492
customer.c_name,supplier.s_name,customer,supplier,0.000000,0.000000,0.833333,0.072650,0.908333
customer.c_name,supplier.s_address,customer,supplier,0.084346,0.026321,0.222222,0.063336,0.560378
customer.c_name,supplier.s_nationkey,customer,supplier,0.209660,0.065426,0.363636,0.077798,0.620558
customer.c_name,supplier.s_phone,customer,supplier,0.020971,0.006544,0.285714,0.090541,0.604198
customer.c_name,supplier.s_acctbal,customer,supplier,0.162181,0.050610,0.111111,0.092723,0.488337
customer.c_name,supplier.s_comment,customer,supplier,0.203596,0.063533,0.333333,0.065691,0.604743
customer.c_address,customer.c_nationkey,customer,customer,0.236821,0.073901,0.272727,0.114533,0.566744
customer.c_address,customer.c_phone,customer,customer,0.090913,0.028370,0.333333,0.094985,0.620567
customer.c_address,customer.c_acctbal,customer,customer,0.293257,0.091513,0.333333,0.101231,0.592153
customer.c_address,customer.c_mktsegment,customer,customer,0.103177,0.032197,0.250000,0.135095,0.573011
customer.c_address,customer.c_comment,customer,customer,0.395358,0.123374,0.333333,0.089268,0.577815
customer.c_address,lineitem.l_orderkey,customer,lineitem,0.201946,0.063018,0.300000,0.072904,0.586642
customer.c_address,lineitem.l_partkey,customer,lineitem,0.242366,0.075632,0.222222,0.070367,0.538188
customer.c_address,lineitem.l_suppkey,customer,lineitem,0.205500,0.064127,0.111111,0.073912,0.482254
customer.c_address,lineitem.l_linenumber,customer,lineitem,0.201946,0.063018,0.083333,0.066931,0.467475
customer.c_address,lineitem.l_quantity,customer,lineitem,0.216179,0.067460,0.100000,0.070522,0.474643
customer.c_address,lineitem.l_extendedprice,customer,lineitem,0.444566,0.138729,0.266667,0.054678,0.534239
customer.c_address,lineitem.l_discount,customer,lineitem,0.183388,0.057227,0.100000,0.057493,0.479248
customer.c_address,lineitem.l_tax,customer,lineitem,0.191625,0.059798,0.111111,0.051438,0.484202
customer.c_address,lineitem.l_returnflag,customer,lineitem,0.650316,0.202935,0.166667,0.078715,0.450346
customer.c_address,lineitem.l_linestatus,customer,lineitem,1.017343,0.317468,0.250000,0.071892,0.444640
customer.c_address,lineitem.l_shipdate,customer,lineitem,0.097757,0.030506,0.100000,0.065414,0.491272
customer.c_address,lineitem.l_commitdate,customer,lineitem,0.097757,0.030506,0.083333,0.053383,0.482106
customer.c_address,lineitem.l_receiptdate,customer,lineitem,0.097757,0.030506,0.076923,0.061560,0.478580
customer.c_address,lineitem.l_shipinstruct,customer,lineitem,0.299477,0.093454,0.142857,0.078954,0.486517
customer.c_address,lineitem.l_shipmode,customer,lineitem,0.129457,0.040398,0.100000,0.085185,0.486821
customer.c_address,lineitem.l_comment,customer,lineitem,0.083217,0.025968,0.222222,0.050245,0.560536
customer.c_address,nation.n_nationkey,customer,nation,0.213224,0.066538,0.181818,0.056580,0.520058
customer.c_address,nation.n_name,customer,nation,0.115876,0.036160,0.222222,0.042378,0.555950
customer.c_address,nation.n_regionkey,customer,nation,0.213224,0.066538,0.090909,0.061066,0.470058
customer.c_address,nation.n_comment,customer,nation,0.462088,0.144197,0.222222,0.042064,0.507333
customer.c_address,orders.o_orderkey,customer,orders,0.201946,0.063018,0.300000,0.079442,0.586642
customer.c_address,orders.o_custkey,customer,orders,0.188308,0.058763,0.111111,0.095717,0.484668
customer.c_address,orders.o_orderstatus,customer,orders,0.650316,0.202935,0.307692,0.072211,0.527910
customer.c_address,orders.o_totalprice,customer,orders,1.542214,0.481257,0.250000,0.057794,0.370934
customer.c_address,orders.o_orderdate,customer,orders,0.097757,0.030506,0.272727,0.058828,0.586272
customer.c_address,orders.o_orderpriority,customer,orders,0.091232,0.028469,0.200000,0.069569,0.547189
customer.c_address,orders.o_clerk,customer,orders,0.090913,0.028370,0.222222,0.083503,0.559456
customer.c_address,orders.o_shippriority,customer,orders,1.791711,0.559114,0.142857,0.082472,0.276970
customer.c_address,orders.o_comment,customer,orders,0.253807,0.079202,0.222222,0.058433,0.536581
customer.c_address,part.p_partkey,customer,part,0.201946,0.063018,0.222222,0.063722,0.543864
customer.c_address,part.p_name,customer,part,0.132070,0.041213,0.222222,0.039888,0.553676
customer.c_address,part.p_mfgr,customer,part,0.090877,0.028359,0.222222,0.059706,0.559461
customer.c_address,part.p_brand,customer,part,0.111738,0.034868,0.222222,0.058851,0.556531
customer.c_address,part.p_type,customer,part,0.071921,0.022443,0.222222,0.052118,0.562123
customer.c_address,part.p_size,customer,part,0.180525,0.056334,0.222222,0.064954,0.546872
customer.c_address,part.p_container,customer,part,0.111012,0.034642,0.090909,0.064265,0.484411
customer.c_address,part.p_retailprice,customer,part,0.329307,0.102762,0.230769,0.059418,0.530680
customer.c_address,part.p_comment,customer,part,0.065327,0.020386,0.222222,0.054597,0.563049
customer.c_address,partsupp.ps_partkey,customer,partsupp,0.201946,0.063018,0.200000,0.069805,0.531642
customer.c_address,partsupp.ps_suppkey,customer,partsupp,0.269200,0.084005,0.100000,0.071079,0.467198
customer.c_address,partsupp.ps_availqty,customer,partsupp,0.163946,0.051160,0.181818,0.069658,0.526978
customer.c_address,partsupp.ps_supplycost,customer,partsupp,0.194332,0.060642,0.153846,0.065661,0.507326
customer.c_address,partsupp.ps_comment,customer,partsupp,0.931780,0.290767,0.200000,0.036297,0.429155
customer.c_address,region.r_regionkey,customer,region,0.213224,0.066538,0.090909,0.067545,0.470058
customer.c_address,region.r_name,customer,region,0.110580,0.034507,0.222222,0.059357,0.556694
customer.c_address,region.r_comment,customer,region,0.457725,0.142836,0.222222,0.042637,0.507946
customer.c_address,supplier.s_suppkey,customer,supplier,0.201946,0.063018,0.111111,0.071322,0.482753
customer.c_address,supplier.s_name,customer,supplier,0.091023,0.028404,0.222222,0.057967,0.559440
customer.c_address,supplier.s_address,customer,supplier,0.047973,0.014970,0.888889,0.050535,0.932152
customer.c_address,supplier.s_nationkey,customer,supplier,0.185645,0.057932,0.181818,0.068179,0.523931
customer.c_address,supplier.s_phone,customer,supplier,0.090913,0.028370,0.222222,0.072242,0.559456
customer.c_address,supplier.s_acctbal,customer,supplier,0.138167,0.043116,0.222222,0.073984,0.552820
customer.c_address,supplier.s_comment,customer,supplier,0.161762,0.050479,0.222222,0.052415,0.549507
customer.c_nationkey,customer.c_phone,customer,customer,0.272092,0.084908,0.454545,0.124333,0.661791
customer.c_nationkey,customer.c_acctbal,customer,customer,0.145744,0.045480,0.272727,0.132508,0.579534
customer.c_nationkey,customer.c_mktsegment,customer,customer,0.312464,0.097506,0.333333,0.176835,0.589455
customer.c_nationkey,customer.c_comment,customer,customer,0.573474,0.178956,0.272727,0.116849,0.519470
customer.c_nationkey,lineitem.l_orderkey,customer,lineitem,0.093027,0.029030,0.363636,0.118964,0.636936
customer.c_nationkey,lineitem.l_partkey,customer,lineitem,0.024154,0.007537,0.454545,0.114825,0.696608
customer.c_nationkey,lineitem.l_suppkey,customer,lineitem,0.097803,0.030520,0.363636,0.120610,0.636266
customer.c_nationkey,lineitem.l_linenumber,customer,lineitem,0.093027,0.029030,0.166667,0.109217,0.528604
customer.c_nationkey,lineitem.l_quantity,customer,lineitem,0.107600,0.033577,0.272727,0.115077,0.584890
customer.c_nationkey,lineitem.l_extendedprice,customer,lineitem,0.493311,0.153941,0.200000,0.092402,0.490727
customer.c_nationkey,lineitem.l_discount,customer,lineitem,0.053634,0.016737,0.181818,0.094540,0.542468
customer.c_nationkey,lineitem.l_tax,customer,lineitem,0.045398,0.014167,0.181818,0.088889,0.543625
customer.c_nationkey,lineitem.l_returnflag,customer,lineitem,0.757767,0.236466,0.250000,0.112967,0.481091
customer.c_nationkey,lineitem.l_linestatus,customer,lineitem,1.124793,0.350998,0.083333,0.117314,0.337884
customer.c_nationkey,lineitem.l_shipdate,customer,lineitem,0.307044,0.095815,0.181818,0.106742,0.506883
customer.c_nationkey,lineitem.l_commitdate,customer,lineitem,0.307044,0.095815,0.166667,0.089169,0.498550
customer.c_nationkey,lineitem.l_receiptdate,customer,lineitem,0.307044,0.095815,0.153846,0.089486,0.491499
customer.c_nationkey,lineitem.l_shipinstruct,customer,lineitem,0.406927,0.126984,0.142857,0.128837,0.471429
customer.c_nationkey,lineitem.l_shipmode,customer,lineitem,0.338744,0.105707,0.181818,0.139004,0.502432
customer.c_nationkey,lineitem.l_comment,customer,lineitem,0.233799,0.072958,0.181818,0.075997,0.517169
customer.c_nationkey,nation.n_nationkey,customer,nation,0.023749,0.007411,0.909091,0.092328,0.946665
customer.c_nationkey,nation.n_name,customer,nation,0.325163,0.101469,0.363636,0.071326,0.604339
customer.c_nationkey,nation.n_regionkey,customer,nation,0.023749,0.007411,0.636364,0.108370,0.796665
customer.c_nationkey,nation.n_comment,customer,nation,0.640204,0.199779,0.181818,0.064388,0.460099
customer.c_nationkey,orders.o_orderkey,customer,orders,0.093027,0.029030,0.363636,0.124839,0.636936
customer.c_nationkey,orders.o_custkey,customer,orders,0.100958,0.031505,0.363636,0.125291,0.635823
customer.c_nationkey,orders.o_orderstatus,customer,orders,0.757767,0.236466,0.076923,0.110783,0.385898
customer.c_nationkey,orders.o_totalprice,customer,orders,1.590960,0.496468,0.166667,0.100634,0.318256
customer.c_nationkey,orders.o_orderdate,customer,orders,0.307044,0.095815,0.090909,0.095995,0.456883
customer.c_nationkey,orders.o_orderpriority,customer,orders,0.300519,0.093779,0.266667,0.112206,0.554466
customer.c_nationkey,orders.o_clerk,customer,orders,0.272092,0.084908,0.181818,0.109303,0.511791
customer.c_nationkey,orders.o_shippriority,customer,orders,1.899162,0.592644,0.285714,0.134577,0.340453
customer.c_nationkey,orders.o_comment,customer,orders,0.431923,0.134784,0.181818,0.081728,0.489347
customer.c_nationkey,part.p_partkey,customer,part,0.093027,0.029030,0.454545,0.103982,0.686936
customer.c_nationkey,part.p_name,customer,part,0.282653,0.088203,0.363636,0.061128,0.610308
customer.c_nationkey,part.p_mfgr,customer,part,0.279082,0.087089,0.090909,0.091171,0.460810
customer.c_nationkey,part.p_brand,customer,part,0.321025,0.100178,0.181818,0.077034,0.504920
customer.c_nationkey,part.p_type,customer,part,0.237653,0.074161,0.272727,0.082640,0.566627
customer.c_nationkey,part.p_size,customer,part,0.056295,0.017567,0.272727,0.105992,0.592095
customer.c_nationkey,part.p_container,customer,part,0.320299,0.099951,0.272727,0.104868,0.555022
customer.c_nationkey,part.p_retailprice,customer,part,0.241850,0.075471,0.230769,0.096957,0.542961
customer.c_nationkey,part.p_comment,customer,part,0.260560,0.081309,0.181818,0.074608,0.513411
customer.c_nationkey,partsupp.ps_partkey,customer,partsupp,0.093027,0.029030,0.363636,0.113908,0.636936
customer.c_nationkey,partsupp.ps_suppkey,customer,partsupp,0.033154,0.010346,0.272727,0.115986,0.595344
customer.c_nationkey,partsupp.ps_availqty,customer,partsupp,0.185834,0.057991,0.181818,0.113668,0.523904
customer.c_nationkey,partsupp.ps_supplycost,customer,partsupp,0.101362,0.031631,0.076923,0.107145,0.478074
customer.c_nationkey,partsupp.ps_comment,customer,partsupp,1.109895,0.346349,0.090909,0.057482,0.344143
customer.c_nationkey,region.r_regionkey,customer,region,0.023749,0.007411,0.636364,0.119867,0.796665
customer.c_nationkey,region.r_name,customer,region,0.319868,0.099817,0.363636,0.105337,0.605082
customer.c_nationkey,region.r_comment,customer,region,0.635841,0.198418,0.181818,0.075665,0.460712
customer.c_nationkey,supplier.s_suppkey,customer,supplier,0.093027,0.029030,0.363636,0.116383,0.636936
customer.c_nationkey,supplier.s_name,customer,supplier,0.260835,0.081395,0.363636,0.078669,0.613372
customer.c_nationkey,supplier.s_address,customer,supplier,0.213601,0.066655,0.181818,0.082254,0.520005
customer.c_nationkey,supplier.s_nationkey,customer,supplier,0.051175,0.015969,0.909091,0.111255,0.942814
customer.c_nationkey,supplier.s_phone,customer,supplier,0.272092,0.084908,0.363636,0.094563,0.611791
customer.c_nationkey,supplier.s_acctbal,customer,supplier,0.107185,0.033448,0.181818,0.111571,0.534948
customer.c_nationkey,supplier.s_comment,customer,supplier,0.339878,0.106061,0.181818,0.074315,0.502273
customer.c_phone,customer.c_acctbal,customer,customer,0.328528,0.102519,0.222222,0.109893,0.526089
customer.c_phone,customer.c_mktsegment,customer,customer,0.047665,0.014874,0.250000,0.146654,0.580807
customer.c_phone,customer.c_comment,customer,customer,0.458163,0.142972,0.333333,0.096906,0.568996
customer.c_phone,lineitem.l_orderkey,customer,lineitem,0.237217,0.074025,0.200000,0.080070,0.526689
customer.c_phone,lineitem.l_partkey,customer,lineitem,0.277637,0.086638,0.333333,0.078548,0.594346
customer.c_phone,lineitem.l_suppkey,customer,lineitem,0.240772,0.075134,0.222222,0.084428,0.538412
customer.c_phone,lineitem.l_linenumber,customer,lineitem,0.237217,0.074025,0.250000,0.073441,0.554189
customer.c_phone,lineitem.l_quantity,customer,lineitem,0.251450,0.078466,0.200000,0.080375,0.524690
customer.c_phone,lineitem.l_extendedprice,customer,lineitem,0.479837,0.149736,0.200000,0.067155,0.492619
customer.c_phone,lineitem.l_discount,customer,lineitem,0.218659,0.068234,0.300000,0.068710,0.584295
customer.c_phone,lineitem.l_tax,customer,lineitem,0.226896,0.070804,0.142857,0.070741,0.496709
customer.c_phone,lineitem.l_returnflag,customer,lineitem,0.587511,0.183336,0.166667,0.085451,0.459166
customer.c_phone,lineitem.l_linestatus,customer,lineitem,0.954538,0.297869,0.166667,0.083312,0.407626
customer.c_phone,lineitem.l_shipdate,customer,lineitem,0.034952,0.010907,0.300000,0.071776,0.610092
customer.c_phone,lineitem.l_commitdate,customer,lineitem,0.034952,0.010907,0.166667,0.064806,0.536759
customer.c_phone,lineitem.l_receiptdate,customer,lineitem,0.034952,0.010907,0.230769,0.066828,0.572015
customer.c_phone,lineitem.l_shipinstruct,customer,lineitem,0.301776,0.094171,0.214286,0.086634,0.525480
customer.c_phone,lineitem.l_shipmode,customer,lineitem,0.083909,0.026184,0.400000,0.093470,0.658217
customer.c_phone,lineitem.l_comment,customer,lineitem,0.103965,0.032443,0.222222,0.054545,0.557623
customer.c_phone,nation.n_nationkey,customer,nation,0.248495,0.077544,0.363636,0.062084,0.615105
customer.c_phone,nation.n_name,customer,nation,0.068712,0.021442,0.285714,0.045936,0.597494
customer.c_phone,nation.n_regionkey,customer,nation,0.248495,0.077544,0.363636,0.060900,0.615105
customer.c_phone,nation.n_comment,customer,nation,0.524893,0.163796,0.222222,0.045664,0.498514
customer.c_phone,orders.o_orderkey,customer,orders,0.237217,0.074025,0.200000,0.086239,0.526689
customer.c_phone,orders.o_custkey,customer,orders,0.223580,0.069769,0.222222,0.103907,0.540826
customer.c_phone,orders.o_orderstatus,customer,orders,0.587511,0.183336,0.076923,0.078434,0.409806
customer.c_phone,orders.o_totalprice,customer,orders,1.577486,0.492264,0.250000,0.073138,0.365981
customer.c_phone,orders.o_orderdate,customer,orders,0.034952,0.010907,0.181818,0.067278,0.545092
customer.c_phone,orders.o_orderpriority,customer,orders,0.068767,0.021459,0.200000,0.075521,0.550343
customer.c_phone,orders.o_clerk,customer,orders,0.000000,0.000000,0.142857,0.090648,0.528571
customer.c_phone,orders.o_shippriority,customer,orders,1.728906,0.539515,0.214286,0.090494,0.325076
customer.c_phone,orders.o_comment,customer,orders,0.316612,0.098801,0.222222,0.063433,0.527762
customer.c_phone,part.p_partkey,customer,part,0.237217,0.074025,0.333333,0.069920,0.600022
customer.c_phone,part.p_name,customer,part,0.147155,0.045921,0.285714,0.043301,0.586478
customer.c_phone,part.p_mfgr,customer,part,0.006990,0.002181,0.142857,0.064815,0.527590
customer.c_phone,part.p_brand,customer,part,0.048933,0.015270,0.285714,0.063886,0.600271
customer.c_phone,part.p_type,customer,part,0.044153,0.013778,0.285714,0.056578,0.600943
customer.c_phone,part.p_size,customer,part,0.215797,0.067341,0.285714,0.071272,0.576839
customer.c_phone,part.p_container,customer,part,0.061654,0.019239,0.272727,0.070516,0.591342
customer.c_phone,part.p_retailprice,customer,part,0.364578,0.113769,0.230769,0.067005,0.525727
customer.c_phone,part.p_comment,customer,part,0.025587,0.007985,0.222222,0.059269,0.568629
customer.c_phone,partsupp.ps_partkey,customer,partsupp,0.237217,0.074025,0.300000,0.076595,0.581689
customer.c_phone,partsupp.ps_suppkey,customer,partsupp,0.304471,0.095012,0.200000,0.077992,0.517245
customer.c_phone,partsupp.ps_availqty,customer,partsupp,0.199217,0.062167,0.090909,0.076434,0.472025
customer.c_phone,partsupp.ps_supplycost,customer,partsupp,0.229603,0.071649,0.230769,0.072048,0.544681
